Hours,HPHtgLd_W,HPClgLd_W
1,11496.8,0
2,11681.4,0
3,12085.3,0
4,14004.3,0
5,13101.7,0
6,14552.7,0
7,13440,0
8,14458.2,0
9,11052.6,0
10,9864.5,0
11,7945.7,0
12,8757.6,0
13,7542.4,0
14,7954.4,0
15,6447.8,0
16,6855.4,0
17,7100.9,0
18,9823.4,0
19,9847.7,0
20,11883.1,0
21,12187.5,0
22,13766.6,0
23,13369.3,0
24,14268.8,0
25,13921.7,0
26,14901.4,0
27,14265.6,0
28,15111.7,0
29,14456.8,0
30,15203.5,0
31,7604.5,0
32,5868.1,0
33,1202.9,0
34,609,0
35,403,0
36,358,0
37,727.4,0
38,101.9,0
39,51.2,0
40,110.3,0
41,211,0
42,2210.8,0
43,3412.3,0
44,3947.3,0
45,4423.7,0
46,4523.4,0
47,10789.3,0
48,12837.7,0
49,12441,0
50,13513.4,0
51,12439.9,0
52,13747.8,0
53,12791,0
54,14098,0
55,7198.3,0
56,5515.5,0
57,1570.3,0
58,698.1,0
59,288.9,0
60,64.9,0
61,416,0
62,0,0
63,0,0
64,0,0
65,0,0
66,1567.6,0
67,2734.8,0
68,3073.7,0
69,3492.7,0
70,3757.4,0
71,9312.9,0
72,11112.6,0
73,11270.2,0
74,12888.8,0
75,12486.3,0
76,14491.1,0
77,14102.6,0
78,15848,0
79,7886.2,0
80,6019.4,0
81,1378.4,0
82,583.6,0
83,344,0
84,200,0
85,527.6,0
86,66,77.1
87,18,30.1
88,0,0
89,68.3,0
90,1762.7,0
91,3104.3,0
92,3618.8,0
93,4251.5,0
94,4678.8,0
95,12750.9,0
96,14710.1,0
97,13926.1,0
98,15957.2,0
99,15002.8,0
100,17022.8,0
101,16064.6,0
102,18057.5,0
103,9308.8,0
104,7289.8,0
105,2039.9,0
106,1182.6,0
107,882.4,0
108,729.6,0
109,1159.3,0
110,444.6,0
111,353.8,0
112,325.8,0
113,455.6,0
114,2364.8,0
115,3742.7,0
116,4214,0
117,4706.7,0
118,5045.8,0
119,12365.3,0
120,14540.3,0
121,14299.1,0
122,16960.9,0
123,16175.8,0
124,18252.9,0
125,17064,0
126,19390.9,0
127,9969.8,0
128,7694.4,0
129,2082.6,0
130,1200,0
131,821.4,0
132,605.3,0
133,966.1,97.3
134,327.6,1000.6
135,248.8,931.4
136,204.4,98.9
137,244.7,0
138,1882.9,0
139,2921.8,0
140,3417.2,0
141,3983.7,0
142,4260.5,0
143,11361.2,0
144,13761.9,0
145,12926.2,0
146,14510.5,0
147,13702.5,0
148,15396.2,0
149,14058.4,0
150,15776.6,0
151,7848.8,0
152,6675.2,0
153,5209.3,0
154,4437.1,0
155,4064.8,0
156,3722.8,0
157,4968.6,0
158,5219.5,0
159,5277.9,0
160,5397.9,0
161,5473.4,0
162,6101.1,0
163,12039.4,0
164,14279.1,0
165,13627.7,0
166,15145.9,0
167,14002.7,0
168,15643,0
169,14478.6,0
170,16019.1,0
171,14714.8,0
172,16178.5,0
173,14712.4,0
174,16343.2,0
175,14930.6,0
176,16494.2,0
177,14693.8,0
178,15740.5,0
179,14150.6,0
180,15182.6,0
181,13551.4,0
182,13920.5,0
183,12909.3,0
184,14247.4,0
185,13430,0
186,16147.7,0
187,15167.1,0
188,17297,0
189,16066,0
190,18045.7,0
191,16701.5,0
192,18747.4,0
193,16831.1,0
194,18873.6,0
195,17524.3,0
196,19942.6,0
197,18547.2,0
198,20644,0
199,10943.1,0
200,8865.2,0
201,4026.6,0
202,2537.7,0
203,1590.5,0
204,1433.7,0
205,1792.8,0
206,922.9,0
207,708.6,0
208,701.5,0
209,832.6,0
210,3253.8,0
211,4834.4,0
212,5339.4,0
213,5911.5,0
214,6245.5,0
215,14062.2,0
216,16550.9,0
217,16037.2,0
218,18311.9,0
219,17024.2,0
220,19090.2,0
221,17505.9,0
222,19600.5,0
223,10310.8,0
224,8089.2,0
225,2403.3,0
226,1390.8,0
227,1066.2,0
228,906.8,0
229,1291.1,0
230,480.6,327.4
231,356.8,223.9
232,301.5,0
233,385.3,0
234,2183.8,0
235,3399.7,0
236,3816.5,0
237,4230.3,0
238,4502.9,0
239,11539.1,0
240,14028.3,0
241,12779.5,0
242,14325.7,0
243,13212.3,0
244,14858.9,0
245,13673.3,0
246,15094.1,0
247,7729.4,0
248,6184.9,0
249,2147.1,0
250,1250.4,0
251,782.9,0
252,510.6,0
253,869.8,0
254,346.1,0
255,262,0
256,352.4,0
257,378,0
258,2572.9,0
259,3748.7,0
260,4060.2,0
261,4504,0
262,4753.4,0
263,11143,0
264,14145.7,0
265,14310.7,0
266,16039,0
267,15446.3,0
268,16755.7,0
269,13610.4,0
270,14738.7,0
271,7795.9,0
272,6115.4,0
273,1550.9,0
274,614,0
275,333.3,0
276,149.3,0
277,410.5,112.1
278,14.6,725.3
279,0,719.9
280,0,74.5
281,0,0
282,1124.4,0
283,2202,0
284,2757.6,0
285,3316.8,0
286,3624.5,0
287,10614.2,0
288,12739.5,0
289,12734.4,0
290,14258.7,0
291,14102.1,0
292,15142.1,0
293,14028.9,0
294,15980.5,0
295,7768.3,0
296,6025.2,0
297,1543.6,0
298,557.2,0
299,169.4,0
300,11.2,0
301,110.9,0
302,0,0
303,0,0
304,0,0
305,0,0
306,1237.5,0
307,2332.7,0
308,2650.9,0
309,2869.4,0
310,2757.1,0
311,5539.7,0
312,5998.6,0
313,6800.7,0
314,8316.3,0
315,7707.5,0
316,9435.9,0
317,9365.8,0
318,11268.5,0
319,5456.7,0
320,4281.6,0
321,1671.6,0
322,1162.5,0
323,964.3,0
324,903.1,0
325,1443,0
326,1262.1,0
327,1044.4,0
328,1054.4,0
329,1210.6,0
330,2188.9,0
331,7455.5,0
332,8338.7,0
333,8700,0
334,9848.9,0
335,9738,0
336,11212.6,0
337,11298.9,0
338,12652.8,0
339,12573,0
340,13596.9,0
341,13207.6,0
342,13990.5,0
343,13721.8,0
344,14041.2,0
345,10735.9,0
346,9300.1,0
347,7397.8,0
348,8219.6,0
349,7495.2,0
350,8115,0
351,7365.5,0
352,9159.8,0
353,9369.4,0
354,10804.9,0
355,11048.6,0
356,12498.8,0
357,11989,0
358,12685.1,0
359,12136.3,0
360,13005.8,0
361,12654.2,0
362,13665.6,0
363,13248.4,0
364,14101.2,0
365,13423.1,0
366,14129.9,0
367,13402.7,0
368,13844,0
369,12719.8,0
370,12337.9,0
371,11010.9,0
372,11024.6,0
373,9726.3,0
374,9821,0
375,7421.7,0
376,8151.2,0
377,8608.3,0
378,11120.6,0
379,11063.5,0
380,12569.9,0
381,12623.9,0
382,13761.1,0
383,13410.5,0
384,13748.3,0
385,11999.9,0
386,12838.9,0
387,12889.3,0
388,14275.1,0
389,14272.9,0
390,15634.4,0
391,7994.2,0
392,6120.7,0
393,1264.3,0
394,600.4,0
395,361.5,0
396,231.8,0
397,632.4,0
398,93.3,0
399,98.2,0
400,194.4,0
401,265.4,0
402,2398.6,0
403,3759.3,0
404,4330.7,0
405,4936.4,0
406,5373.2,0
407,13217.9,0
408,15820.2,0
409,15465.9,0
410,17859.1,0
411,16936.8,0
412,19313.9,0
413,18204.1,0
414,20504.3,0
415,10679.1,0
416,8245.5,0
417,2591.4,0
418,1619.1,0
419,1353.5,0
420,1363.1,0
421,1851.4,0
422,1012.7,0
423,776.3,0
424,719.6,0
425,777,0
426,2935.8,0
427,4638.8,0
428,5312.5,0
429,5997.4,0
430,6459.7,0
431,15169.3,0
432,17993.8,0
433,17832,0
434,20343.9,0
435,18864.4,0
436,21440.2,0
437,20360.7,0
438,22588.2,0
439,11703.9,0
440,9096.9,0
441,2906.4,0
442,1760.9,0
443,1433.8,0
444,1347.8,0
445,1769.8,0
446,863.6,214.5
447,645.5,125
448,588,0
449,665,0
