Hours,HPHtgLd_W,HPClgLd_W
1,9317.3,0
2,11029.3,0
3,11203.8,0
4,12949,0
5,12928.5,0
6,14644.9,0
7,14312,0
8,15094.3,0
9,10170.7,0
10,7778.2,0
11,6218.7,0
12,6486.3,0
13,5220.4,0
14,5059.8,24.4
15,3785.1,122
16,3953.5,0
17,4039.7,0
18,4947.4,0
19,5408.7,0
20,6534.6,0
21,6206,0
22,7520.5,0
23,8331.8,0
24,9386.4,0
25,7987.5,0
26,9209.1,0
27,9593.9,0
28,10501.2,0
29,10928.4,0
30,12134,0
31,6361.9,0
32,5131.6,0
33,1606.9,0
34,939.5,0
35,584.1,0
36,263.1,0
37,334.2,0
38,0,0
39,0,144.5
40,0,32.7
41,0,0
42,487.6,0
43,1288.5,0
44,1483.3,0
45,1594.5,0
46,1599.8,0
47,3504,0
48,4062.8,0
49,4259.2,0
50,5155.8,0
51,4655.8,0
52,4940.8,0
53,4365.7,0
54,4712.3,0
55,2503.3,0
56,1765.2,0
57,0,0
58,0,0
59,0,0
60,0,147.9
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,84.6,0
67,779.4,0
68,1052.7,0
69,1485,0
70,1787.2,0
71,5032.1,0
72,7081.7,0
73,8146,0
74,8366.3,0
75,9064.9,0
76,10573,0
77,10337.2,0
78,12202.9,0
79,6548.8,0
80,5259.6,0
81,1787.1,0
82,928.1,0
83,628.9,0
84,407.6,0
85,722.3,0
86,82,127.6
87,0.9,641.8
88,0,812.6
89,0,502.5
90,853,0
91,1820.6,0
92,2135.7,0
93,2416.6,0
94,2568.6,0
95,7212.6,0
96,7967.4,0
97,9144.2,0
98,11214.8,0
99,11434.5,0
100,13053.8,0
101,12860.4,0
102,14949.6,0
103,7574.4,0
104,5703.1,0
105,1788.9,0
106,1255.5,0
107,925.1,0
108,617.9,464.4
109,763.5,1075.9
110,209.3,1602.9
111,68,1712.8
112,0,1686.2
113,0,1474.6
114,569.7,209.6
115,996.5,0
116,1230.6,0
117,1475.8,0
118,1608.8,0
119,4149.1,0
120,5849.3,0
121,6162.4,0
122,6169.1,0
123,5843.4,0
124,7481.1,0
125,6993.8,0
126,7066.4,0
127,3547.3,0
128,2975.4,0
129,601.4,0
130,90.4,0
131,0,0
132,0,32.5
133,0,427.7
134,0,886.2
135,0,1426.6
136,0,1446.7
137,0,1385.9
138,0,15.5
139,0,0
140,0,0
141,0,0
142,0,0
143,439.6,0
144,739.4,0
145,1120.7,0
146,1422,0
147,1322.4,0
148,1593.8,0
149,2230.5,0
150,2659.9,0
151,911,0
152,706.9,0
153,177.1,0
154,29.5,0
155,0,0
156,0,0
