ln(t/ts),H: 133.94 m,H: 133.94 m bhw
-49.207914340831756,-1.9114358924480606,1.0337640693514914e-05
-47.80764804690779,-1.9059037242338388,1.2659920290202394e-05
-46.40738175298382,-1.900371556019617,1.4982199886889873e-05
-45.00711545905985,-1.8948393878053953,1.7304479483577357e-05
-43.60684916513588,-1.8893072195911735,1.9626759080264836e-05
-42.20658287121191,-1.8837750513769518,2.1949038676952316e-05
-40.80631657728794,-1.87824288316273,2.4271318273639796e-05
-39.40605028336397,-1.8727107149485083,2.6593597870327276e-05
-38.00578398944,-1.8671785467342865,2.8915877467014755e-05
-36.60551769551603,-1.8616463785200648,3.1238157063702235e-05
-35.20525140159206,-1.856114210305843,3.3560436660389715e-05
-33.80498510766809,-1.8505820420916212,3.5882716257077195e-05
-32.404718813744125,-1.8450498738773995,3.820499585376466e-05
-31.004452519820152,-1.8395177056631777,4.052727545045215e-05
-29.604186225896182,-1.833985537448956,4.2849555047139634e-05
-28.203919931972212,-1.8284533692347342,4.517183464382711e-05
-26.803653638048242,-1.8229212010205125,4.7494114240514594e-05
-25.403387344124273,-1.8173890328062907,4.9816393837202067e-05
-24.003121050200303,-1.8118568645920692,5.213867343388955e-05
-22.602854756276333,-1.8063246963778474,5.4460953030577026e-05
-21.202588462352363,-1.8007925281636257,5.678323262726451e-05
-19.802322168428393,-1.795260359949404,5.9105512223951986e-05
-18.402055874504423,-1.7897281917351822,6.142779182063947e-05
-17.001789580580457,-1.7841960235209604,6.375007141732695e-05
-15.601523286656487,-1.5529206969449307,0.0007249286631174294
-14.201256992732517,-0.9579115727420108,0.02577811108793305
-12.800990698808548,-0.009482795876086955,0.29779675945557793
-11.400724404884578,0.985101311153888,0.9545125503702837
-10.000458110960608,1.8098631815866604,1.6982538567377123
-8.600191817036634,2.547922170804092,2.4193438221177272
-8.5,2.6106922666026455,2.6106922666026455
-7.8,2.9576097950159013,2.9576097950159013
-7.2,3.2544369732563143,3.2544369732563143
-6.5,3.599495513353828,3.599495513353828
-5.9,3.894769867988431,3.894769867988431
-5.2,4.255227840225014,4.255227840225014
-4.5,4.681423892735749,4.681423892735749
-3.963,5.078990717749878,5.078990717749878
-3.27,5.68655573570689,5.68655573570689
-2.864,6.08355599156701,6.08355599156701
-2.577,6.376211831052195,6.376211831052195
-2.171,6.797348814681675,6.797348814681675
-1.884,7.0945084628128265,7.0945084628128265
-1.191,7.778504342071934,7.778504342071934
-0.497,8.37494344243201,8.37494344243201
-0.274,8.540376179934176,8.540376179934176
-0.051,8.690089627779457,8.690089627779457
0.196,8.836820919789277,8.836820919789277
0.419,8.951451032483247,8.951451032483247
0.642,9.049700806006948,9.049700806006948
0.873,9.134708403202968,9.134708403202968
1.112,9.206150991153084,9.206150991153084
1.335,9.2595050089939,9.2595050089939
1.679,9.320608422827306,9.320608422827306
2.028,9.362327106533469,9.362327106533469
2.275,9.382769619788522,9.382769619788522
3.003,9.415763337436584,9.415763337436584
