Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,6.1,6.1
2,0.002688172043010753,-33.268774310124925,-0.08279215215312609,2.1798496261529623,7.654465685354209
3,0.004032258064516129,-30.49859703393478,-0.07589833224850556,1.2536349418216233,6.27239840898886
4,0.005376344086021506,-34.192906929850615,-0.08509193415737959,0.16017685797121484,5.786865585483607
5,0.006720430107526882,-31.141085711485353,-0.07749721953700538,-0.09679668161041644,5.027692917790759
6,0.008064516129032258,-34.794314822143065,-0.08658858844528985,-0.8715875468410221,4.854067174265928
7,0.009408602150537635,-31.611294158966935,-0.0786673729356454,-0.9321087947965729,4.269756986058072
8,0.010752688172043012,-35.15552965468303,-0.08748750203605936,-1.5719066540460638,4.213188565367527
9,0.012096774193548387,-31.09741424607581,-0.07738853941025252,-1.4089560575821238,3.7083470881303393
10,0.013440860215053764,-33.08576126228578,-0.08233670874058971,-1.732093591093605,3.712406354979944
11,0.01478494623655914,-29.031901971070166,-0.07224833782205115,-1.4382377060933091,3.3391705410030124
12,0.016129032258064516,-31.17457950487149,-0.0775805716681167,-1.6965590241254613,3.433442219842058
13,0.01747311827956989,-27.677161300463084,-0.06887695134765391,-1.411004885064818,3.143471042306655
14,0.01881720430107527,-30.63849376211111,-0.07624647706132406,-1.7396699008859544,3.3021145789451234
15,0.020161290322580645,-28.1880804360383,-0.07014841672886014,-1.5816152442401465,3.056936101074273
16,0.021505376344086023,-32.264145557123165,-0.08029204872879844,-2.0759392634744103,3.233357909811496
17,0.0228494623655914,-30.42883371842885,-0.07572472035110797,-2.0497770723962194,2.9575063395140475
18,0.024193548387096774,-34.59446235331973,-0.08609123871269198,-2.6132711768916543,3.07949638326695
19,0.025537634408602152,-31.927357137439394,-0.07945392232756869,-2.5304377303336256,2.7234384865393286
20,0.026881720430107527,-36.16996598254371,-0.09001201243800522,-3.1007531446745293,2.851274867626867
21,0.028225806451612902,-33.45733881543139,-0.08326141083601242,-3.0178549671528483,2.487790737424662
22,0.02956989247311828,-37.56985850721829,-0.09349576311124867,-3.5754174884796956,2.6069729058348794
23,0.030913978494623656,-34.42107183175726,-0.08565974176876216,-3.437891750444601,2.2263431524838184
24,0.03225806451612903,-38.432925094803515,-0.09564357714165281,-3.9650603980540513,2.3593538098374527
25,0.033602150537634407,-34.42218212325073,-0.08566250482283216,-3.710731882723584,1.9536857266545489
26,0.03494623655913978,-38.28377593751499,-0.09527240687825106,-4.17814864849494,2.121721992985114
27,0.036290322580645164,-35.09779449702295,-0.08734382322441997,-3.988658318198608,1.7869361658299039
28,0.03763440860215054,-39.45679890035864,-0.0981915735031936,-4.522848575833811,1.9700514297680598
29,0.038978494623655914,-36.63628840979816,-0.09117249514740026,-4.396434706863003,1.6323300143178667
30,0.04032258064516129,-41.01120699120682,-0.10205984920117706,-4.957136206805272,1.791552828394841
31,0.041666666666666664,-21.779848032934428,-0.05420098965491164,-2.909871264283785,0.6741593554369263
32,0.043010752688172046,-17.707668932076686,-0.0440670283442183,-1.8641996938266558,1.0497245704965639
33,0.04435483870967742,-6.392503273613145,-0.015908283807957,-0.06315511015838648,0.9887772740643868
34,0.0456989247311828,-2.9783569312144613,-0.007411892542743317,1.0600888194988372,1.5501988708540417
35,0.04704301075268817,-2.197822011309982,-0.00546946553154162,1.7525550080115764,2.11422242521852
36,0.04838709677419355,-1.9494868139387604,-0.004851462437887595,2.2338289002084153,2.5546309748295446
37,0.04973118279569892,-2.725580567869388,-0.0067828372328093385,2.4982234375399774,2.946737320510515
38,0.051075268817204304,-0.5667399975569085,-0.0014103803065180517,2.9911320732327895,3.0843932154406186
39,0.05241935483870968,-0.5151331384619012,-0.0012819522829753132,3.2725353939767188,3.357304256398921
40,0.053763440860215055,-0.8362345431598726,-0.0020810402237127707,3.441031304539771,3.578639712248635
41,0.05510752688172043,-1.4156216541653075,-0.0035228939392349403,3.52493893915942,3.757889662543534
42,0.056451612903225805,-5.899718899097822,-0.014681948309893904,3.106054808996701,4.076895980621841
43,0.05779569892473118,-9.221525998956835,-0.022948545578286905,2.647947134354876,4.165415552446452
44,0.05913978494623656,-10.668420863521348,-0.026549265540493173,2.343653915306328,4.099219288448934
45,0.06048387096774194,-12.149549715800973,-0.03023517966985742,2.049652845832183,4.048948622891972
46,0.06182795698924731,-12.91398540905024,-0.03213754239704429,1.8362554594947298,3.9613446271819397
47,0.06317204301075269,-30.471024795180444,-0.07582971640576752,-0.3365255548174142,4.677700702181948
48,0.06451612903225806,-35.57447964488306,-0.08853009443846824,-1.6666341344637337,4.187402318641573
49,0.06586021505376344,-33.8711074453286,-0.08429110898609468,-2.1042380413964388,3.469496266774127
50,0.06720430107526881,-37.870932550529005,-0.09424501127322714,-2.9416758863470207,3.2902584069147376
51,0.06854838709677419,-35.0123020520263,-0.08713106806103087,-3.0390232601732343,2.7225028272273737
52,0.06989247311827956,-38.86704906874755,-0.0967239312830182,-3.7066462834658243,2.6892061462634738
53,0.07123655913978495,-35.72603443374076,-0.08890725131902161,-3.6727049487946175,2.206270934696518
54,0.07258064516129033,-39.352246451390876,-0.09793138591160305,-4.22221444513462,2.253480703119274
55,0.0739247311827957,-20.17103565890656,-0.05019732430749875,-2.213949579456754,1.105339394629776
56,0.07526881720430108,-16.10958937581896,-0.04009007251948196,-1.205477397263281,1.4454713837729836
57,0.07661290322580645,-7.294985209216308,-0.018154186257845727,0.2691631927174978,1.4696054694820124
58,0.07795698924731183,-3.698380964725208,-0.009203733107130657,1.292631580162002,1.9012267641561074
59,0.0793010752688172,-2.6188075359146974,-0.006517123533078808,1.9462738150833667,2.3772174278065017
60,0.08064516129032258,-2.462256435336416,-0.006127532909210472,2.369365668799558,2.7745476721131554
61,0.08198924731182795,-3.3275436059085703,-0.008280873047754602,2.576253265209944,3.1238244949998966
62,0.08333333333333333,-2.0766151899402723,-0.005167832128901242,2.9176024112593395,3.259324374372611
63,0.0846774193548387,-2.1201016067675726,-0.005276051746642446,3.114822524591986,3.463700490319018
64,0.08602150537634409,-2.4411608969606196,-0.006075034881880698,3.2273499184920107,3.6290604992610604
65,0.08736559139784947,-3.0768027769681794,-0.007656883336948936,3.260326462793582,3.766636486023342
66,0.08870967741935484,-7.70949403344249,-0.019185726443974652,2.7842299183655066,4.052882603022886
67,0.09005376344086022,-10.600693082420108,-0.026380719242223898,2.3371185297514443,4.081538809461556
68,0.0913978494623656,-11.517793856020534,-0.02866300190403414,2.078003789333417,3.973339596506492
69,0.09274193548387097,-12.537041447019554,-0.031199485540283296,1.8396835772333002,3.9027439052429367
70,0.09408602150537634,-13.139559630805469,-0.032698902882263556,1.6567099354128754,3.818918963466783
71,0.09543010752688172,-29.17920064253626,-0.07261490299533625,-0.3290972787117159,4.4725500240465355
72,0.0967741935483871,-34.648126442170444,-0.08622478632607475,-1.64273650175811,4.058861870136625
73,0.09811827956989247,-32.95474686605714,-0.0820106683603311,-2.0607800223613957,3.3621605626460154
74,0.09946236559139784,-36.77507484648104,-0.09151787690614879,-2.863191346817951,3.1884116805770475
75,0.10080645161290322,-33.66792410202486,-0.08378547009128683,-2.915055566571482,2.6252434613015985
76,0.10215053763440861,-37.567452875649124,-0.09348977649409704,-3.566463309021607,2.61553122131859
77,0.10349462365591398,-34.716779466182906,-0.08639563516940235,-3.5521785777493022,2.160717142952689
78,0.10483870967741936,-38.66479096835504,-0.09622059493326869,-4.140043111572922,2.2225262932336536
