ln(t/ts),H: 131.46 m,H: 131.46 m bhw
-49.17038925784715,-1.9071635844292256,1.0425439216747251e-05
-47.77141732234411,-1.9016393476044229,1.2763425579387868e-05
-46.372445386841065,-1.8961151107796201,1.5101411942028484e-05
-44.97347345133802,-1.8905908739548174,1.74393983046691e-05
-43.57450151583498,-1.8850666371300147,1.9777384667309718e-05
-42.17552958033195,-1.879542400305212,2.2115371029950322e-05
-40.776557644828905,-1.8740181634804092,2.4453357392590943e-05
-39.377585709325864,-1.8684939266556067,2.6791343755231557e-05
-37.97861377382282,-1.862969689830804,2.9129330117872174e-05
-36.57964183831978,-1.8574454530060012,3.146731648051279e-05
-35.18066990281674,-1.8519212161811984,3.3805302843153406e-05
-33.781697967313704,-1.8463969793563957,3.6143289205794013e-05
-32.38272603181066,-1.840872742531593,3.8481275568434634e-05
-30.983754096307617,-1.8353485057067902,4.081926193107525e-05
-29.58478216080458,-1.8298242688819875,4.315724829371586e-05
-28.185810225301537,-1.8243000320571847,4.549523465635648e-05
-26.786838289798496,-1.818775795232382,4.78332210189971e-05
-25.387866354295454,-1.8132515584075792,5.017120738163771e-05
-23.988894418792412,-1.8077273215827765,5.250919374427833e-05
-22.589922483289374,-1.8022030847579738,5.484718010691894e-05
-21.190950547786333,-1.796678847933171,5.718516646955956e-05
-19.79197861228329,-1.7911546111083685,5.9523152832200175e-05
-18.393006676780253,-1.7856303742835657,6.186113919484079e-05
-16.99403474127721,-1.780106137458763,6.41991255574814e-05
-15.59506280577417,-1.5581224489117078,0.0006655860153607162
-14.196090870271128,-0.9728496197175637,0.023969065672882758
-12.797118934768086,-0.032717564430193774,0.2862722732654271
-11.398146999265045,0.962909918127684,0.9361633174704841
-9.99917506376201,1.7901105527910628,1.6793260508818302
-8.600203128258972,2.5286462507984147,2.4002594672443065
-8.5,2.5937010537739997,2.5937010537739997
-7.8,2.9406192270203095,2.9406192270203095
-7.2,3.237446768221634,3.237446768221634
-6.5,3.5825084447206166,3.5825084447206166
-5.9,3.8776744490978587,3.8776744490978587
-5.2,4.236332119464251,4.236332119464251
-4.5,4.656606743386456,4.656606743386456
-3.963,5.048236189405398,5.048236189405398
-3.27,5.648944917711472,5.648944917711472
-2.864,6.0428153345617375,6.0428153345617375
-2.577,6.333785084212827,6.333785084212827
-2.171,6.753325162475798,6.753325162475798
-1.884,7.049844881453234,7.049844881453234
-1.191,7.733409569817573,7.733409569817573
-0.497,8.330092988208573,8.330092988208573
-0.274,8.495638825551993,8.495638825551993
-0.051,8.64546096733308,8.64546096733308
0.196,8.79230371956446,8.79230371956446
0.419,8.907022898715724,8.907022898715724
0.642,9.005349966249128,9.005349966249128
0.873,9.09042476523767,9.09042476523767
1.112,9.161923859793516,9.161923859793516
1.335,9.215320245866742,9.215320245866742
1.679,9.276471948319543,9.276471948319543
2.028,9.3182239321471,9.3182239321471
2.275,9.338682976771256,9.338682976771256
3.003,9.371703789387187,9.371703789387187
