Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,6.1,6.1
2,0.002688172043010753,-35.177994789578264,-0.08920140622041128,1.8550008919161902,7.631705193141581
3,0.004032258064516129,-31.971894472685225,-0.0810716461683889,0.9218363756790584,6.17205548064639
4,0.005376344086021506,-35.733261690027994,-0.09060940541547738,-0.21954435344122558,5.648342310830802
5,0.006720430107526882,-32.39165297229876,-0.08213603453567553,-0.4569700733981552,4.862179075612271
6,0.008064516129032258,-36.15053950767011,-0.09166750347765823,-1.2638690837087179,4.672540262950348
7,0.009408602150537635,-32.72596027859186,-0.08298374294001976,-1.2989360783687118,4.075110868704002
8,0.010752688172043012,-36.38078729678419,-0.09225134649346882,-1.9648765377929518,4.009342621553817
9,0.012096774193548387,-32.085105649767584,-0.08135871756788225,-1.7563655308713404,3.5124443862645176
10,0.013440860215053764,-34.136974546873766,-0.08656167447593262,-2.0915147124125593,3.5142399326523455
11,0.01478494623655914,-29.887560333120156,-0.07578636662376013,-1.763303261724662,3.144639881771904
12,0.016129032258064516,-32.11159061181837,-0.08142587591140797,-2.0346687874522775,3.238490319997347
13,0.01747311827956989,-28.459926462380206,-0.07216629249504317,-1.720317988494367,2.9531882926679724
14,0.01881720430107527,-31.53487189531183,-0.07996348100192738,-2.0686050258024427,3.109849039186163
15,0.020161290322580645,-28.970137799107917,-0.07346004357374851,-1.8905375326233553,2.8667523763733396
16,0.021505376344086023,-33.19346908635987,-0.08416921253039245,-2.4137852224686682,3.0370330174775746
17,0.0228494623655914,-31.252644551813116,-0.07924783259545838,-2.373197128520415,2.7589113753051797
18,0.024193548387096774,-35.55545583509529,-0.09015854025419993,-2.9663798708215925,2.8723086582776736
19,0.025537634408602152,-32.743116115724675,-0.08302724527169866,-2.862745358599545,2.514118809828424
20,0.026881720430107527,-37.121099812453124,-0.0941285688262154,-3.4617944514447974,2.6339940730433504
21,0.028225806451612902,-34.26122948773909,-0.08687674972457368,-3.356871844375556,2.2692871487949966
22,0.02956989247311828,-38.498739269015786,-0.09762187131617196,-3.9407298356216867,2.38128578969658
23,0.030913978494623656,-35.190758500956996,-0.08923377136829379,-3.777376515749891,2.001423760156893
24,0.03225806451612903,-39.32270606888677,-0.09971121716055756,-4.3288136715046175,2.1285084880647647
25,0.033602150537634407,-35.13299948822759,-0.08908731091231316,-4.042910697812443,1.7264047641001288
26,0.03494623655913978,-39.113278461586404,-0.0991801682140695,-4.53301540476963,1.8899158986090003
27,0.036290322580645164,-35.78595951214029,-0.09074303212914561,-4.317774422362842,1.5587659396961766
28,0.03763440860215054,-40.2738648769123,-0.10212308582226831,-4.877806365346833,1.7357089829001844
29,0.038978494623655914,-37.318463006461805,-0.09462902584620854,-4.728065960641102,1.400132279595575
30,0.04032258064516129,-41.81457043515455,-0.10602987764451079,-5.310679197377832,1.5558409192892608
31,0.041666666666666664,-22.060507347640076,-0.055939182694068564,-3.144195860748871,0.4784389268394447
32,0.043010752688172046,-17.980162581397934,-0.04559258695460009,-2.0719296132890666,0.8806571712045269
33,0.04435483870967742,-6.490078635473714,-0.016456996603365633,-0.20510199701899,0.8606570206024201
34,0.0456989247311828,-3.034618982918141,-0.00769493208008681,0.9452246484157616,1.44355028170049
35,0.04704301075268817,-2.2472638635804407,-0.0056984230618817786,1.654080586141557,2.023111820138427
36,0.04838709677419355,-1.9987963806398366,-0.005068380075892308,2.1446017808448494,2.472831281087331
37,0.04973118279569892,-2.801297007923843,-0.007103293801779346,2.412475595513937,2.8724865930560024
38,0.051075268817204304,-0.6297327755400949,-0.0015968235101877029,2.9113479633759383,3.0147586340194734
39,0.05241935483870968,-0.5557456723752574,-0.001409213224725003,3.198405136164803,3.289666120061152
40,0.053763440860215055,-0.8627834240757738,-0.002187773781637516,3.3686612535706324,3.5103420044689484
41,0.05510752688172043,-1.4621633908594016,-0.0037076311873041564,3.4517310332312947,3.6918381115225833
42,0.056451612903225805,-6.1052296065384,-0.015481128741398696,3.003806651896492,4.006368234471614
43,0.05779569892473118,-9.547364441188837,-0.024209405309966656,2.519022969911207,4.0868298208327145
44,0.05913978494623656,-11.040497693962532,-0.02799556727339184,2.200197636657535,4.013197237626177
45,0.06048387096774194,-12.568872669703723,-0.031871092239601426,1.8908666669700516,3.9548461873190055
46,0.06182795698924731,-13.352167263663482,-0.03385730491840813,1.6685817580628735,3.861188884309207
47,0.06317204301075269,-31.63541343860547,-0.0802184258075938,-0.6454498359240821,4.549514515369082
48,0.06451612903225806,-36.8164663705975,-0.09335610491638119,-2.02680732326375,4.018956254538527
49,0.06586021505376344,-34.897268237910204,-0.08848956339588462,-2.4536727389733937,3.276932451481491
50,0.06720430107526881,-38.97226614987643,-0.09882260103111434,-3.318114039396999,3.0816611280946016
51,0.06854838709677419,-35.90489378678173,-0.09104461567901195,-3.391083861358057,2.504987123182258
52,0.06989247311827956,-39.847829357996275,-0.10104278071634992,-4.080267759346574,2.463286773074577
53,0.07123655913978495,-36.51961344784867,-0.0926033701937733,-4.0193839577489605,1.977632340228756
54,0.07258064516129033,-40.23825083347653,-0.10203277872049436,-4.5815221573851925,2.0261448814533427
55,0.0739247311827957,-20.485618414988284,-0.05194571154047338,-2.4500357242186883,0.9139809208171401
56,0.07526881720430108,-16.397731470359656,-0.04157999097816995,-1.4105530252665073,1.2821770885951416
