ln(t/ts),H: 130.55 m,H: 130.55 m bhw
-49.15652786671997,-1.9056246503552274,1.0457270944452194e-05
-47.75802878754123,-1.9001032970118412,1.280093380376468e-05
-46.35952970836249,-1.8945819436684548,1.5144596663077167e-05
-44.96103062918375,-1.8890605903250686,1.748825952238964e-05
-43.56253155000501,-1.8835392369816821,1.9831922381702126e-05
-42.16403247082627,-1.878017883638296,2.2175585241014616e-05
-40.76553339164754,-1.8724965302949097,2.4519248100327087e-05
-39.367034312468796,-1.8669751769515233,2.6862910959639578e-05
-37.968535233290055,-1.861453823608137,2.9206573818952062e-05
-36.570036154111314,-1.8559324702647506,3.1550236678264546e-05
-35.17153707493257,-1.8504111169213644,3.389389953757704e-05
-33.77303799575384,-1.844889763577978,3.623756239688951e-05
-32.3745389165751,-1.8393684102345917,3.858122525620199e-05
-30.976039837396357,-1.8338470568912055,4.092488811551448e-05
-29.57754075821762,-1.828325703547819,4.326855097482696e-05
-28.179041679038882,-1.8228043502044329,4.5612213834139445e-05
-26.78054259986014,-1.8172829968610464,4.795587669345193e-05
-25.3820435206814,-1.8117616435176602,5.029953955276442e-05
-23.983544441502662,-1.8062402901742738,5.26432024120769e-05
-22.585045362323925,-1.8007189368308876,5.4986865271389375e-05
-21.186546283145184,-1.7951975834875014,5.7330528130701865e-05
-19.788047203966443,-1.789676230144115,5.967419099001435e-05
-18.389548124787705,-1.7841548768007287,6.201785384932683e-05
-16.991049045608968,-1.7786335234573425,6.436151670863931e-05
-15.592549966430227,-1.5600393355661881,0.0006437093862716378
-14.194050887251485,-0.9782130644120703,0.023364914514830002
-12.795551808072744,-0.04118688062412276,0.2821319011399586
-11.39705272889401,0.9547784397425901,0.9294703778559014
-9.99855364971527,1.7828823150440098,1.6724072570263904
-8.60005457053653,2.5216002850850026,2.3932853229719986
-8.5,2.5873334036070346,2.5873334036070346
-7.8,2.934250030280619,2.934250030280619
-7.2,3.231076905000469,3.231076905000469
-6.5,3.576139199846278,3.576139199846278
-5.9,3.871266750829902,3.871266750829902
-5.2,4.229287399537974,4.229287399537974
-4.5,4.647452997395773,4.647452997395773
-3.963,5.036939314844545,5.036939314844545
-3.27,5.635123896172593,5.635123896172593
-2.864,6.027818442965056,6.027818442965056
-2.577,6.3181430723652445,6.3181430723652445
-2.171,6.737054064636817,6.737054064636817
-1.884,7.033307708299237,7.033307708299237
-1.191,7.716651285113723,7.716651285113723
-0.497,8.313389565006748,8.313389565006748
-0.274,8.478971187547588,8.478971187547588
-0.051,8.628829611889715,8.628829611889715
0.196,8.775711158220899,8.775711158220899
0.419,8.890462384812851,8.890462384812851
0.642,8.988817942528739,8.988817942528739
0.873,9.073918048340252,9.073918048340252
1.112,9.14543881926182,9.14543881926182
1.335,9.19885168533775,9.19885168533775
1.679,9.260022434544132,9.260022434544132
2.028,9.301787709559674,9.301787709559674
2.275,9.32225340037823,9.32225340037823
3.003,9.355285172827672,9.355285172827672
