Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,6.1,6.1
2,0.002688172043010753,-35.37560043435963,-0.09032633798533345,1.794527856456848,7.599303013515066
3,0.004032258064516129,-32.16132955490133,-0.08211917501793485,0.859684226980928,6.1370303221987434
4,0.005376344086021506,-35.937713195405024,-0.09176160937625348,-0.29232925356638617,5.604682873344433
5,0.006720430107526882,-32.57575212091087,-0.08317734144639126,-0.5276021528956383,4.817746457789306
6,0.008064516129032258,-36.351449894441124,-0.09281802454533067,-1.3428456887888585,4.622056409815427
7,0.009408602150537635,-32.9040054550985,-0.08401548754835383,-1.3739869025055942,4.0252247317356415
8,0.010752688172043012,-36.57650074029551,-0.09339265843187762,-2.0434164365984078,3.958414210017789
9,0.012096774193548387,-32.25299331424357,-0.08235322480382376,-1.8285769791666642,3.4638102038772005
10,0.013440860215053764,-34.3143304586697,-0.08761654283441501,-2.167275658700518,3.46335592159361
11,0.01478494623655914,-30.038699689934663,-0.07669935513511758,-1.8326570071969455,3.096387180590323
12,0.016129032258064516,-32.27466398154062,-0.08240855763194842,-2.107515440792165,3.1884276776879386
13,0.01747311827956989,-28.60103467381399,-0.07302849119044016,-1.787562676252314,2.905575348324129
14,0.01881720430107527,-31.693091628871453,-0.08092359906601274,-2.140712563104909,3.059800465048672
15,0.020161290322580645,-29.112154884245214,-0.07433356068217106,-1.9589798485406362,2.81802778851876
16,0.021505376344086023,-33.35824053011804,-0.08517530930140477,-2.489314416324776,2.9844325599760366
17,0.0228494623655914,-31.403303404414036,-0.08018366790484192,-2.4462555620901565,2.706706174622882
18,0.024193548387096774,-35.72788334879325,-0.09122584004904068,-3.046725295579913,2.815855894021972
19,0.025537634408602152,-32.89566514827456,-0.08399419181446295,-2.939097492316799,2.4587455826559186
20,0.026881720430107527,-37.29530466153124,-0.09522801741200844,-3.5453256147672594,2.574453422648052
21,0.028225806451612902,-34.41480890024144,-0.08787309960128853,-3.4360669373267836,2.2110521302267565
22,0.02956989247311828,-38.672702205128836,-0.09874499732289421,-4.026593149856783,2.3192027733299567
