Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,6.1,6.1
2,0.002688172043010753,-35.36825703200451,-0.09030778540959675,1.7954100580208951,7.598978864141465
3,0.004032258064516129,-32.15498316571249,-0.08210315020473552,0.8607216332359924,6.137025101993176
4,0.005376344086021506,-35.93691568139762,-0.09175977393236265,-0.2918369472208049,5.605042920170389
5,0.006720430107526882,-32.5739678327785,-0.08317296762234447,-0.5270997319670645,4.817954830230398
6,0.008064516129032258,-36.35145887551471,-0.09281825068408549,-1.3425766093381313,4.622325551263341
7,0.009408602150537635,-32.903002084874835,-0.08401310952144442,-1.373665157983858,4.025380555654388
8,0.010752688172043012,-36.576611113023304,-0.0933931447177671,-2.043235703814771,3.9586116333909858
9,0.012096774193548387,-32.25233870265742,-0.08235173364301192,-1.8283566761879158,3.4639218392560607
10,0.013440860215053764,-34.31443584839333,-0.08761700375124339,-2.1671548174229773,3.4634927236519166
11,0.01478494623655914,-30.038398651357486,-0.07669875439437139,-1.8325155646808184,3.096478059208605
12,0.016129032258064516,-32.274729710596354,-0.08240890587907161,-2.107424794171642,3.188527856390002
13,0.01747311827956989,-28.60089357453762,-0.07302829079518461,-1.787463276378447,2.905650484533208
14,0.01881720430107527,-31.693104902503546,-0.080923810124689,-2.1406383391910033,3.0598756362315513
15,0.020161290322580645,-29.112068431156022,-0.07433350267533193,-1.9589024903812717,2.81808983004377
16,0.021505376344086023,-33.35823873815241,-0.08517549120051818,-2.4892530772360466,2.984492309557529
17,0.0228494623655914,-31.40315115236067,-0.08018345469742222,-2.446181751935308,2.706753782230609
18,0.024193548387096774,-35.72793394866991,-0.09122616896968036,-3.0466773676629764,2.8159107373716474
19,0.025537634408602152,-32.89534360966956,-0.08399355470044272,-2.939011528547063,2.45877750773319
20,0.026881720430107527,-37.29535207539464,-0.09522834695960171,-3.5452779351385892,2.5745074340466565
21,0.028225806451612902,-34.414456147202365,-0.08787239127778382,-3.435979296980376,2.2110805509159044
22,0.02956989247311828,-38.67275739047772,-0.09874535441360208,-4.026547746745457,2.319255729941305
23,0.030913978494623656,-35.34111952006021,-0.09023849365447864,-3.857856520660004,1.9412592976400718
24,0.03225806451612903,-39.493317222082716,-0.10084053657429672,-4.415659343132232,2.064789599344632
25,0.033602150537634407,-35.275670550693825,-0.09007137907273743,-4.122940369669989,1.6654359429579866
26,0.03494623655913978,-39.27613672205671,-0.10028599723203427,-4.6190214767745505,1.8257903695879085
27,0.036290322580645164,-35.92626592540751,-0.09173258130373667,-4.398327785417955,1.4968045660693292
28,0.03763440860215054,-40.43640270055526,-0.10324857044873215,-4.965143311315003,1.6700563009337943
29,0.038978494623655914,-37.459341762788384,-0.09564707116999013,-4.810567046536725,1.3361273510867222
30,0.04032258064516129,-41.977424905784716,-0.10718335022867308,-5.39759469760387,1.4904708783738139
31,0.041666666666666664,-22.127278181784167,-0.0564988398475729,-3.2000964588282343,0.4307633062981892
32,0.043010752688172046,-18.042681411835783,-0.046069406238462854,-2.1202114668040384,0.8404077948618239
33,0.04435483870967742,-6.513129410345876,-0.016630344339620774,-0.2351494354224517,0.8335884060240563
34,0.0456989247311828,-3.047110108653499,-0.007780359817072316,0.9233135465957751,1.4233131128563878
35,0.04704301075268817,-2.2575565341811803,-0.005764347698965824,1.635253527736488,2.00569543749675
36,0.04838709677419355,-2.008586946040997,-0.005128639467176685,2.1288019418027204,2.45839049161099
37,0.04973118279569892,-2.815636814950617,-0.007189325870534982,2.3945068620266463,2.856524031089443
38,0.051075268817204304,-0.6226413304649001,-0.001589825577434829,2.8988056366604695,3.0009747031094505
39,0.05241935483870968,-0.5535543291468956,-0.0014134218014734306,3.185417122411907,3.2762497193991678
40,0.053763440860215055,-0.8674799145417973,-0.0022149858812292172,3.355308718192612,3.497653289128501
41,0.05510752688172043,-1.4702254260532606,-0.0037540103307778373,3.4377137776858464,3.6789627149147
42,0.056451612903225805,-6.1394204337330995,-0.015676131921546353,2.9825658207907333,3.9899818459748633
43,0.05779569892473118,-9.600857004292836,-0.02451441509564154,2.4915406164609633,4.066942937579533
44,0.05913978494623656,-11.101960384303865,-0.028347267865202332,2.1695295694738705,3.991247583873875
45,0.06048387096774194,-12.638420811543625,-0.03227039979754346,1.8567268444720284,3.9305622815456602
46,0.06182795698924731,-13.425530745101097,-0.034280172428101656,1.6327729470915742,3.835765064214442
47,0.06317204301075269,-31.8118584786641,-0.08122703039542004,-0.713477559528136,4.506522661699435
48,0.06451612903225806,-37.01472632764923,-0.09451180925221997,-2.1056109165515835,3.9681266410512093
49,0.06586021505376344,-35.07454048269509,-0.08955782221287265,-2.531252190230955,3.224120737821012
50,0.06720430107526881,-39.165119356223606,-0.10000253026782048,-3.4032782778336657,3.0233167556193035
51,0.06854838709677419,-36.071001912634586,-0.09210214394471501,-3.4717902234600686,2.4470918214269783
52,0.06989247311827956,-40.02998418441968,-0.10221083890011648,-4.167431579425902,2.401078916072247
