ln(t/ts),H: 128.02 m,H: 128.02 m bhw
-49.117433749235225,-1.9013950385253513,1.0545323362188827e-05
-47.720287918856215,-1.895881822882257,1.2904578549082501e-05
-46.3231420884772,-1.8903686072391628,1.5263833735976186e-05
-44.92599625809819,-1.8848553915960684,1.762308892286986e-05
-43.52885042771918,-1.8793421759529743,1.9982344109763534e-05
-42.13170459734016,-1.8738289603098799,2.234159929665722e-05
-40.73455876696115,-1.8683157446667857,2.4700854483550896e-05
-39.33741293658214,-1.8628025290236914,2.706010967044457e-05
-37.94026710620312,-1.857289313380597,2.9419364857338255e-05
-36.54312127582411,-1.8517760977375028,3.177862004423193e-05
-35.1459754454451,-1.8462628820944085,3.41378752311256e-05
-33.748829615066086,-1.8407496664513143,3.6497130418019286e-05
-32.351683784687076,-1.83523645080822,3.885638560491296e-05
-30.954537954308066,-1.8297232351651258,4.121564079180664e-05
-29.557392123929052,-1.8242100195220314,4.357489597870032e-05
-28.160246293550042,-1.8186968038789373,4.593415116559399e-05
-26.76310046317103,-1.813183588235843,4.829340635248767e-05
-25.365954632792015,-1.8076703725927485,5.065266153938135e-05
-23.968808802413005,-1.8021571569496544,5.301191672627502e-05
-22.57166297203399,-1.79664394130656,5.53711719131687e-05
-21.17451714165498,-1.7911307256634659,5.773042710006237e-05
-19.777371311275967,-1.7856175100203715,6.008968228695605e-05
-18.380225480896954,-1.7801042943772774,6.244893747384974e-05
-16.983079650517944,-1.774591078734183,6.480819266074342e-05
-15.585933820138926,-1.5656788611678256,0.000580426236675495
-14.188787989759916,-0.9936653091573209,0.021625766652053107
-12.791642159380906,-0.06541808668080573,0.27044944117738523
-11.394496329001896,0.931422300780823,0.9103441748737923
-9.997350498622879,1.7621567449800484,1.6525933634574637
-8.60020466824387,2.501422817783315,2.3733192920658213
-8.5,2.5691273311439398,2.5691273311439398
-7.8,2.9160346388945797,2.9160346388945797
-7.2,3.212857410397689,3.212857410397689
-6.5,3.557919947704776,3.557919947704776
-5.9,3.852943448112949,3.852943448112949
-5.2,4.209245892306836,4.209245892306836
-4.5,4.621682964019991,4.621682964019991
-3.963,5.005266231570538,5.005266231570538
-3.27,5.596358018968354,5.596358018968354
-2.864,5.985682559492085,5.985682559492085
-2.577,6.274126438239304,6.274126438239304
-2.171,6.691154905773148,6.691154905773148
-1.884,6.986575902260443,6.986575902260443
-1.191,7.669124299236778,7.669124299236778
-0.497,8.265918935654637,8.265918935654637
-0.274,8.431584798800415,8.431584798800415
-0.051,8.581534769485964,8.581534769485964
0.196,8.7285190818556,8.7285190818556
0.419,8.843358291375488,8.843358291375488
0.642,8.941794001588747,8.941794001588747
0.873,9.02696679803253,9.02696679803253
1.112,9.09855091384637,9.09855091384637
1.335,9.152012547373197,9.152012547373197
1.679,9.213240355800819,9.213240355800819
2.028,9.255045854849227,9.255045854849227
2.275,9.27553178285554,9.27553178285554
3.003,9.308597097479398,9.308597097479398
