Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.2,21.2
2,0.002688172043010753,-23.370034907488524,-0.059097640691560954,18.389517037664707,22.228348771065317
3,0.004032258064516129,-23.628393211183848,-0.05975097160278587,17.4810808964561,21.362351336462808
4,0.005376344086021506,-27.251455521372876,-0.06891289350227257,16.499172113800178,20.975577589911804
5,0.006720430107526882,-27.129950731971082,-0.06860563480904443,15.991182494201421,20.447629230706447
6,0.008064516129032258,-30.69455376775313,-0.07761972615510368,15.184425705795423,20.226404783390425
7,0.009408602150537635,-29.91981826339858,-0.07566059170585776,14.843041992098867,19.75776070183899
8,0.010752688172043012,-31.514873108303384,-0.07969413202707107,14.348044979202893,19.524772161731942
9,0.012096774193548387,-21.148341723963576,-0.053479470842581575,15.308242904531806,18.7821326800553
10,0.013440860215053764,-16.16812356973364,-0.040885602488967776,16.06586431791308,18.72168858495975
11,0.01478494623655914,-12.932933981528008,-0.03270452477086855,16.6877508953209,18.812153258038645
12,0.016129032258064516,-13.508922590884566,-0.034161072354684026,16.8545289944579,19.073544966458993
13,0.01747311827956989,-10.872592277978748,-0.02749437706761559,17.289936256389467,19.075900737240843
14,0.01881720430107527,-10.472170418605245,-0.026481798898007492,17.51305370884415,19.23324369913121
15,0.020161290322580645,-7.514663408410505,-0.0190029188996188,17.99747110962178,19.231852165201076
16,0.021505376344086023,-8.25107036612511,-0.020865128946033325,18.09656349413825,19.451908956025125
17,0.0228494623655914,-8.435449241822003,-0.021331382273860295,18.162807836313604,19.548439923008523
18,0.024193548387096774,-10.338727814158887,-0.026144352115333242,17.988835303992847,19.687105613519304
19,0.025537634408602152,-11.303620534102011,-0.028584352033811315,17.844840924045897,19.701607393604107
20,0.026881720430107527,-13.660751158356996,-0.034545013164473955,17.51252538086316,19.75648116682504
21,0.028225806451612902,-12.963220066064377,-0.03278111156883311,17.47855074811429,19.607927993533707
22,0.02956989247311828,-15.714890117567016,-0.0397394755014999,17.095066993427103,19.676441779944398
23,0.030913978494623656,-17.40340919445218,-0.044009366158557946,16.746834521802814,19.605570495004603
24,0.03225806451612903,-19.599226918904307,-0.04956210270420388,16.320963738941913,19.540391289831046
25,0.033602150537634407,-16.648508945360213,-0.04210039067540573,16.481218228177628,19.215952031796107
26,0.03494623655913978,-19.203812438037204,-0.048562187085462706,16.147526162050557,19.302001749324422
27,0.036290322580645164,-19.99538946694977,-0.05056391001910618,15.918995791975245,19.203498186228625
28,0.03763440860215054,-21.88084643508765,-0.05533181297190441,15.563522295687774,19.157735482839016
29,0.038978494623655914,-22.754928547924955,-0.05754217298393961,15.291986884766667,19.029779410401588
30,0.04032258064516129,-25.25945227728084,-0.06387555862272334,14.839266714947525,18.988459788650324
31,0.041666666666666664,-13.189851970113887,-0.03335421344428091,16.085670102749948,18.252274581612113
32,0.043010752688172046,-10.650272282270432,-0.02693217905306708,16.69205478460596,18.44150031895713
33,0.04435483870967742,-3.333742481621115,-0.008430296151329536,17.825339318649224,18.372949815599405
34,0.0456989247311828,-1.953110647119849,-0.004938984118391934,18.421522962352416,18.742346750621717
35,0.04704301075268817,-1.216266977125278,-0.003075669723374202,18.839519987212878,19.039307633511157
36,0.04838709677419355,-0.5485513918767715,-0.001387164939475605,19.181034756159086,19.271141446152214
37,0.04973118279569892,-0.6976755266096715,-0.0017642668380295052,19.38691326670153,19.5015155324563
38,0.051075268817204304,0.0,0.0,19.623563669926575,19.623563669926575
39,0.05241935483870968,0.4458112558638772,0.0011273578973925588,19.82417371405969,19.750943425662943
40,0.053763440860215055,0.10095885921553564,0.00025530258770121793,19.90781587578014,19.89123207203065
41,0.05510752688172043,0.0,0.0,19.9812040214671,19.9812040214671
42,0.056451612903225805,-1.021241820115832,-0.0025824943087723886,19.928378411634064,20.096130643158556
43,0.05779569892473118,-2.700103406981861,-0.006827963313171699,19.749697489752723,20.19322453980705
44,0.05913978494623656,-3.1080846087135314,-0.007859657384844808,19.669174635382095,20.179717896154045
45,0.06048387096774194,-3.3408800634272096,-0.008448345514398653,19.619388942273144,20.168171879728675
46,0.06182795698924731,-3.3517238939922254,-0.008475767159466291,19.603396823934347,20.153961001385852
47,0.06317204301075269,-7.348117337341334,-0.018581760783869337,19.11906436004381,20.326088060564615
48,0.06451612903225806,-8.515448054744809,-0.021533681548148005,18.830636094775983,20.229409025414785
49,0.06586021505376344,-8.921639369965638,-0.022560849393381353,18.652369349471222,20.117864478723508
50,0.06720430107526881,-10.798848670251544,-0.027307895821438024,18.329210266873957,20.103061402469358
51,0.06854838709677419,-9.741724094164462,-0.024634661972574814,18.318164465465188,19.918369160868902
52,0.06989247311827956,-10.33646005776078,-0.026138617461819807,18.19237652784388,19.890274328931255
53,0.07123655913978495,-9.127181199024403,-0.02308061914164599,18.268632863621537,19.767890907608674
54,0.07258064516129033,-9.853349953916503,-0.024916939041377945,18.177946083931715,19.796486776452273
55,0.0739247311827957,-5.227442825678301,-0.013219044775522487,18.69700575037054,19.555681121767652
56,0.07526881720430108,-3.6877071086783335,-0.00932539427292656,19.027890141529447,19.63364392530943
57,0.07661290322580645,0.0,0.0,19.614728029949326,19.614728029949326
58,0.07795698924731183,0.0,0.0,19.84520660202715,19.84520660202715
59,0.0793010752688172,0.0,0.0,19.996947119930063,19.996947119930063
60,0.08064516129032258,0.457089337016103,0.0011558776659878094,20.161694900965585,20.086612041274424
61,0.08198924731182795,0.0,0.0,20.21086217156237,20.21086217156237
62,0.08333333333333333,0.0,0.0,20.269656729224604,20.269656729224604
63,0.0846774193548387,0.0,0.0,20.319698482297444,20.319698482297444
64,0.08602150537634409,0.0,0.0,20.359195699806193,20.359195699806193
65,0.08736559139784947,0.0,0.0,20.394025680156634,20.394025680156634
66,0.08870967741935484,-0.1775155580870662,-0.0004488975181474708,20.403821622791284,20.432980858550003
67,0.09005376344086022,-1.6361696392716876,-0.0041375105272579305,20.249192744989433,20.517954856698996
68,0.0913978494623656,-2.209801702970074,-0.00558809892919237,20.146862684645544,20.509851312410323
69,0.09274193548387097,-3.1173673195523697,-0.007883131303988229,20.003190674601573,20.51525874118067
70,0.09408602150537634,-3.7512697155032333,-0.00948613002340476,19.87532401022197,20.49151877764203
71,0.09543010752688172,-10.576429916535043,-0.026745448069766472,19.000510638446485,20.737826605256288
72,0.0967741935483871,-14.876032697456877,-0.03761819093340396,18.19300490601313,20.636586467280022
73,0.09811827956989247,-17.088865996413986,-0.04321395609720287,17.585003100413527,20.392071268456522
