ln(t/ts),H: 129.96 m,H: 129.96 m bhw
-49.14746126038182,-1.9046292737378743,1.0477917920553052e-05
-47.74927765205244,-1.8991098235373989,1.2825244569704363e-05
-46.35109404372307,-1.8935903733369235,1.517257121885566e-05
-44.9529104353937,-1.888070923136448,1.751989786800697e-05
-43.55472682706432,-1.8825514729359725,1.986722451715828e-05
-42.15654321873495,-1.877032022735497,2.221455116630958e-05
-40.75835961040558,-1.8715125725350217,2.456187781546089e-05
-39.3601760020762,-1.8659931223345463,2.69092044646122e-05
-37.96199239374683,-1.8604736721340709,2.9256531113763496e-05
-36.56380878541746,-1.8549542219335955,3.16038577629148e-05
-35.16562517708809,-1.84943477173312,3.39511844120661e-05
-33.76744156875871,-1.8439153215326447,3.629851106121742e-05
-32.36925796042934,-1.8383958713321693,3.8645837710368724e-05
-30.971074352099965,-1.8328764211316937,4.099316435952003e-05
-29.572890743770593,-1.8273569709312183,4.334049100867133e-05
-28.174707135441217,-1.821837520730743,4.5687817657822646e-05
-26.776523527111845,-1.8163180705302675,4.8035144306973946e-05
-25.378339918782473,-1.810798620329792,5.0382470956125253e-05
-23.980156310453097,-1.8052791701293167,5.272979760527656e-05
-22.581972702123725,-1.7997597199288413,5.507712425442787e-05
-21.183789093794353,-1.794240269728366,5.742445090357917e-05
-19.785605485464977,-1.7887208195278905,5.977177755273048e-05
-18.387421877135605,-1.783201369327415,6.211910420188179e-05
-16.989238268806233,-1.7776819191269395,6.446643085103309e-05
-15.591054660476857,-1.5613466821061817,0.0006290318769230328
-14.192871052147488,-0.98181246683472,0.02296053701072019
-12.794687443818113,-0.04684317577761075,0.27937976886565863
-11.396503835488737,0.9493435231783148,0.9250072044572849
-9.998320227159368,1.7780556977489084,1.667789835276389
-8.600136618829993,2.516898145315072,2.3886317194110434
-8.5,2.583142130621974,2.583142130621974
-7.8,2.930057240067065,2.930057240067065
-7.2,3.2268834520496545,3.2268834520496545
-6.5,3.571945998376257,3.571945998376257
-5.9,3.8670488396596663,3.8670488396596663
-5.2,4.224660706921467,4.224660706921467
-4.5,4.6414688531614,4.6414688531614
-3.963,5.029567420114204,5.029567420114204
-3.27,5.626103228311325,5.626103228311325
-2.864,6.018022984345566,6.018022984345566
-2.577,6.3079192907666775,6.3079192907666775
-2.171,6.726407659318635,6.726407659318635
-1.884,7.022478838651538,7.022478838651538
-1.191,7.705660260170336,7.705660260170336
-0.497,8.302424404576925,8.302424404576925
-0.274,8.468027738701327,8.468027738701327
-0.051,8.61790880184232,8.61790880184232
0.196,8.764815051859753,8.764815051859753
0.419,8.879587000845074,8.879587000845074
0.642,8.977961178113693,8.977961178113693
0.873,9.063077975329737,9.063077975329737
1.112,9.134613153485498,9.134613153485498
1.335,9.188037034999564,9.188037034999564
1.679,9.249220586276794,9.249220586276794
2.028,9.290994836317298,9.290994836317298
2.275,9.311465027629746,9.311465027629746
3.003,9.344504238927327,9.344504238927327
