Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.2,21.2
2,0.002688172043010753,-23.123767318386612,-0.059311430724523655,18.370119656257295,22.1626427188848
3,0.004032258064516129,-23.434273139657257,-0.060107864292388326,17.465881123725605,21.309330165326816
4,0.005376344086021506,-27.052865559621495,-0.06938939228399459,16.479814538657894,20.91674798174118
5,0.006720430107526882,-26.968761568668867,-0.06917366930233855,15.970242139824947,20.39338170923034
6,0.008064516129032258,-30.52746059758217,-0.07830157342006376,15.157071259454195,20.163872130855662
7,0.009408602150537635,-29.791407448600165,-0.0764136299567726,14.813783231835359,19.699864217744196
8,0.010752688172043012,-31.39641831257084,-0.08053041116114024,14.317793100488817,19.46711150068077
9,0.012096774193548387,-21.10736766513372,-0.054139455643639346,15.29108033478811,18.752894214818234
10,0.013440860215053764,-16.13870445456237,-0.041395056353089245,16.05417949683871,18.70108421621761
11,0.01478494623655914,-12.907035106084988,-0.033105968764218105,16.679973781691476,18.796853251891296
12,0.016129032258064516,-13.473872002762223,-0.034559880095640434,16.845523222494606,19.05536946466533
13,0.01747311827956989,-10.844468585147197,-0.02781557772901463,17.285063957802468,19.063662429445444
14,0.01881720430107527,-10.44182368358285,-0.026782811534090702,17.508463152992253,19.221023939070992
15,0.020161290322580645,-7.4950561903608754,-0.019224484483440035,17.995419148100712,19.224681364168365
16,0.021505376344086023,-8.222643888856952,-0.02109071444420651,18.091524958434434,19.440118643662665
17,0.0228494623655914,-8.40442234068182,-0.021556968056957965,18.156822100310464,19.535229222135868
18,0.024193548387096774,-10.2971774771353,-0.026411800472823994,17.980054406788245,19.668891806174813
19,0.025537634408602152,-11.257702459953526,-0.0288755041675199,17.834591860896126,19.680964712850212
20,0.026881720430107527,-13.60323640816553,-0.03489169401954187,17.49885439096071,19.729917655609643
21,0.028225806451612902,-12.913292169653397,-0.03312201785290105,17.465635355707608,19.583541045275613
22,0.02956989247311828,-15.651457903219427,-0.04014529070384052,17.0779257280694,19.644917267311577
23,0.030913978494623656,-17.335884321716268,-0.0444657692597631,16.72750803049296,19.570761908457463
24,0.03225806451612903,-19.525893165284714,-0.05008304416237473,16.298649125403376,19.50108578410739
25,0.033602150537634407,-16.599306938458504,-0.042576481158961024,16.4631341434174,19.185582156362074
26,0.03494623655913978,-19.142684666136503,-0.04910013147183726,16.125077707446614,19.26466443989061
27,0.036290322580645164,-19.936169281788224,-0.05113538408289346,15.89499582909579,19.164721766941078
28,0.03763440860215054,-21.818018641841835,-0.05596224366922303,15.536439905437584,19.114807467293648
29,0.038978494623655914,-22.696196666427117,-0.058214731092739586,15.264171135281048,18.986568446506027
30,0.04032258064516129,-25.19629237188359,-0.06462736495110548,14.809357205670157,18.941794563188996
