ln(t/ts),H: 129.96 m,H: 129.96 m bhw
-49.14746887247531,-1.904630105734018,1.0477900687692377e-05
-47.74928526414593,-1.8991106549836618,1.2825223827244831e-05
-46.351101655816564,-1.8935912042333056,1.5172546966797273e-05
-44.95291804748719,-1.8880717534829494,1.7519870106349726e-05
-43.55473443915781,-1.8825523027325932,1.986719324590218e-05
-42.156550830828444,-1.877032851982237,2.221451638545462e-05
-40.75836722249907,-1.8715134012318808,2.4561839525007076e-05
-39.3601836141697,-1.8659939504815246,2.690916266455952e-05
-37.96200000584032,-1.8604744997311684,2.925648580411197e-05
-36.56381639751095,-1.8549550489808122,3.160380894366442e-05
-35.16563278918157,-1.8494355982304558,3.395113208321688e-05
-33.7674491808522,-1.8439161474800996,3.629845522276932e-05
-32.36926557252283,-1.8383966967297434,3.8645778362321774e-05
-30.971081964193456,-1.8328772459793872,4.0993101501874226e-05
-29.572898355864083,-1.827357795229031,4.334042464142667e-05
-28.174714747534708,-1.8218383444786748,4.5687747780979124e-05
-26.776531139205336,-1.8163188937283186,4.8035070920531576e-05
-25.378347530875963,-1.8107994429779624,5.038239406008402e-05
-23.980163922546588,-1.8052799922276062,5.2729717199636475e-05
-22.581980314217216,-1.79976054147725,5.507704033918892e-05
-21.183796705887843,-1.7942410907268938,5.742436347874137e-05
-19.785613097558468,-1.7887216399765375,5.9771686618293825e-05
-18.387429489229095,-1.7832021892261813,6.211900975784627e-05
-16.989245880899723,-1.7776827384758251,6.446633289739872e-05
-15.591062272570348,-1.5613474700026282,0.0006290310706927946
-14.192878664240979,-0.9818131229026528,0.022960520317375402
-12.794695055911603,-0.046843536138200706,0.2793797040187373
-11.396511447582228,0.9493434295672204,0.9250071668222164
-9.998327839252859,1.7780556794469384,1.6677898263106945
-8.600144230923483,2.5168981412383697,2.3886317173663154
-8.5,2.583145656971055,2.583145656971055
-7.8,2.9300607678553954,2.9300607678553954
-7.2,3.2268869804686067,3.2268869804686067
-6.5,3.571949526634314,3.571949526634314
-5.9,3.867052388511525,3.867052388511525
-5.2,4.224664596276632,4.224664596276632
-4.5,4.641473874597168,4.641473874597168
-3.963,5.029573601681935,5.029573601681935
-3.27,5.626110792958391,5.626110792958391
-2.864,6.0180312011331925,6.0180312011331925
-2.577,6.307927869130726,6.307927869130726
-2.171,6.7264165960462945,6.7264165960462945
-1.884,7.022487931285547,7.022487931285547
-1.191,7.705669494650395,7.705669494650395
-0.497,8.302433620635227,8.302433620635227
-0.274,8.468036937093071,8.468036937093071
-0.051,8.61791798159188,8.61791798159188
0.196,8.764824211095624,8.764824211095624
0.419,8.879596142767188,8.879596142767188
0.642,8.977970304413521,8.977970304413521
0.873,9.063087087575049,9.063087087575049
1.112,9.13462225356372,9.13462225356372
1.335,9.18804612575511,9.18804612575511
1.679,9.249229666174802,9.249229666174802
2.028,9.291003908590273,9.291003908590273
2.275,9.311474096075179,9.311474096075179
3.003,9.344513301040733,9.344513301040733
