Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.2,21.2
2,0.002688172043010753,-23.121806018736535,-0.059306174355988464,18.3703727506062,22.162575688260855
3,0.004032258064516129,-23.432693487982057,-0.060103583798885196,17.466160896615694,21.309352428033204
4,0.005376344086021506,-27.052405589805026,-0.0693879483876737,16.479989976998237,20.91684979085328
5,0.006720430107526882,-26.968017023055502,-0.06917149630563289,15.970433485219958,20.393452746547545
6,0.008064516129032258,-30.527212345286895,-0.07830063864755138,15.157207288622542,20.163969487059596
7,0.009408602150537635,-29.790736503666274,-0.07641161818622876,14.813955586087648,19.699928524038636
8,0.010752688172043012,-31.396158213694154,-0.0805294375197466,14.317923732911545,19.46720157533275
9,0.012096774193548387,-21.106341229639913,-0.05413661683553958,15.291286228328016,18.75293317534084
10,0.013440860215053764,-16.138644431296637,-0.04139474484545829,16.05428613064984,18.701182085599612
11,0.01478494623655914,-12.906978690145715,-0.03310569805777815,16.680056178615832,18.79692725976554
12,0.016129032258064516,-13.473744021342629,-0.03455942029399344,16.845602356177967,19.055428509789753
13,0.01747311827956989,-10.844429219461226,-0.02781537089098402,17.285125937007518,19.06371867798563
14,0.01881720430107527,-10.441762467897698,-0.026782552582750026,17.508520223183996,19.221071668039407
15,0.020161290322580645,-7.49502867650353,-0.019224340742745368,17.995466340362846,19.224724545444687
16,0.021505376344086023,-8.222579998737285,-0.021090470297433276,18.09157187685068,19.440155633718295
17,0.0228494623655914,-8.40438463962399,-0.02155678930912369,18.156864354448082,19.535265855340153
18,0.024193548387096774,-10.297123236209767,-0.026411560823445,17.980097275338096,19.66892646775083
19,0.025537634408602152,-11.257660677322756,-0.028875287096035478,17.834632352909686,19.680999105449178
20,0.026881720430107527,-13.603183198660275,-0.034891424740889826,17.498895947204176,19.729951395278245
21,0.028225806451612902,-12.913219982866915,-0.033121706634012656,17.465677883057186,19.583572597420186
22,0.02956989247311828,-15.651394792731413,-0.04014497603430983,17.077968533807475,19.644950769680076
23,0.030913978494623656,-17.335811781896638,-0.04446541396059777,16.727552179709605,19.57079532052067
24,0.03225806451612903,-19.525812620228233,-0.05008264695064219,16.29869519224822,19.501119947413173
25,0.033602150537634407,-16.599099790806076,-0.042575787788733895,16.46319395136664,19.185609100862703
26,0.03494623655913978,-19.1426036265558,-0.04909973673268154,16.125128104522155,19.264702826676594
27,0.036290322580645164,-19.936078214365743,-0.05113495587661734,15.895045837789677,19.16475817377968
28,0.03763440860215054,-21.817933429732843,-0.05596181211028909,15.536489527919798,19.11484457417962
29,0.038978494623655914,-22.696080040591323,-0.05821421038624951,15.264224305603761,18.98660400783944
30,0.04032258064516129,-25.19619516850231,-0.06462686965541656,14.809409733644088,18.94183283494886
31,0.041666666666666664,-13.179501534542089,-0.03380470432539688,16.074860981999166,18.23642848220284
32,0.043010752688172046,-10.637692345621382,-0.027285102058358126,16.68453896498462,18.42922483122891
33,0.04435483870967742,-3.330492871183012,-0.008542532998923132,17.831620348592015,18.377853840893767
34,0.0456989247311828,-1.9496399482179876,-0.005000720385194829,18.43004245537045,18.749802526578122
35,0.04704301075268817,-1.2133007551980286,-0.0031120504200977087,18.849327231930857,19.048320454363054
36,0.04838709677419355,-0.5469256510134123,-0.0014028345360427151,19.192013744551087,19.28171491489959
37,0.04973118279569892,-0.6952258796788612,-0.001783216553396335,19.39397513203239,19.507998994230498
38,0.051075268817204304,1.1883727989679005e-16,3.0481115687240557e-19,19.629907995676177,19.629907995676177
39,0.05241935483870968,0.4414846052822246,0.0011323839909017231,19.828889655527252,19.756481850716334
40,0.053763440860215055,0.09996590187651258,0.0002564070990621541,19.91122154769377,19.89482615944191
41,0.05510752688172043,1.0139581272163993e-16,2.6007474257693503e-19,19.98407473919863,19.98407473919863
42,0.056451612903225805,-1.0161898078042633,-0.0026064715650491056,19.929415805541552,20.096080899576478
43,0.05779569892473118,-2.6860734369576336,-0.0068896322136822175,19.748290392537523,20.188832777943432
44,0.05913978494623656,-3.0920320048666277,-0.007930893851731102,19.667666408434794,20.174789980126196
45,0.06048387096774194,-3.3237160011173588,-0.008525150695941444,19.617820387308942,20.16294240646062
46,0.06182795698924731,-3.334625107226054,-0.008553131959534175,19.60232482033474,20.1492360398715
47,0.06317204301075269,-7.307318003719464,-0.018742873080591697,19.11282622568048,20.311298039587513
