Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.2,21.2
2,0.002688172043010753,-22.335900301000084,-0.05815722332926644,18.417407615087974,22.074902450666354
3,0.004032258064516129,-22.68928760595366,-0.05907735746932582,17.538058327543343,21.25342019446627
4,0.005376344086021506,-26.223565683919208,-0.06827975346492264,16.570345412681647,20.86444391629515
5,0.006720430107526882,-26.182050269870217,-0.06817165747712195,16.070376240293797,20.35767661128516
6,0.008064516129032258,-29.658004253952303,-0.07722219179229635,15.268777334587549,20.12526379497595
7,0.009408602150537635,-28.983834432639718,-0.07546681840991372,14.930305878821905,19.67639729775128
8,0.010752688172043012,-30.568103135592064,-0.07959186676388769,14.445014126732612,19.45052891884732
9,0.012096774193548387,-20.59711325209955,-0.05362984698167338,15.406574130570585,18.779343274960258
10,0.013440860215053764,-15.751960661260355,-0.041014254259082644,16.15796750329165,18.73734482824389
11,0.01478494623655914,-12.593751480314182,-0.0327910497237095,16.773536088235623,18.8357579095671
12,0.016129032258064516,-13.13567951931463,-0.034202097837634386,16.934675897265745,19.085638220533045
13,0.01747311827956989,-10.572052073235911,-0.027527038766567462,17.36824959803182,19.099418941476404
14,0.01881720430107527,-10.167787129136004,-0.026474431693587333,17.588160551802773,19.25313167062578
15,0.020161290322580645,-7.270229972093694,-0.01892990129989289,18.069731819317678,19.260229100289568
16,0.021505376344086023,-8.006399485008462,-0.020846706720485875,18.158085820324,19.469130567720402
17,0.0228494623655914,-8.180966738229083,-0.021301237166750166,18.220610356880577,19.560240422912507
18,0.024193548387096774,-10.019188266632316,-0.026087516587563378,18.04520897581228,19.685847089703504
19,0.025537634408602152,-10.95338633984198,-0.028519939961829256,17.901268899429397,19.69488157813002
20,0.026881720430107527,-13.233493885098344,-0.034456782530842806,17.569862150678897,19.73684153763641
21,0.028225806451612902,-12.568032175025298,-0.03272408294102323,17.53774671818155,19.595757013449553
22,0.02956989247311828,-15.230081529532349,-0.03965540859780297,17.15481998338981,19.648739807038382
23,0.030913978494623656,-16.873079354797902,-0.04393337322720228,16.809930391112978,19.572890458485517
24,0.03225806451612903,-19.008794264849733,-0.04949425267767007,16.387667696222188,19.50035023497559
25,0.033602150537634407,-16.17582291298978,-0.042117887929652445,16.552084622597416,19.20086922354057
26,0.03494623655913978,-18.64973656187971,-0.04855935420756962,16.217286463310185,19.271173445287722
27,0.036290322580645164,-19.42901126071144,-0.050588394993213465,15.990248437771577,19.171741343310043
28,0.03763440860215054,-21.266422732255183,-0.055372565224020814,15.636612496682982,19.118980803590553
29,0.038978494623655914,-22.131563458193114,-0.05762518015028654,15.371476037438352,18.99551079586679
30,0.04032258064516129,-24.573074832703348,-0.06398227882796904,14.922084967937986,18.945916247793285
31,0.041666666666666664,-12.883751836012479,-0.03354613974580981,16.177507999075285,18.287217263894092
32,0.043010752688172046,-10.39221945042859,-0.02705879858526504,16.777391118663747,18.47911294128658
33,0.04435483870967742,-3.254200918796028,-0.008473143551068358,17.91349213343615,18.4463662461442
34,0.0456989247311828,-1.9026210487328825,-0.004953960026279621,18.500847791673827,18.81240123550307
35,0.04704301075268817,-1.1828855290738443,-0.003079944706066979,18.912336881211182,19.10603391850832
36,0.04838709677419355,-0.5328148993311563,-0.0013873197263588805,19.247468999743134,19.334717228664342
37,0.04973118279569892,-0.6768025061059385,-0.0017622282499017022,19.44057231183426,19.551398454386398
38,0.051075268817204304,0.0,0.0,19.671216085270192,19.671216085270192
39,0.05241935483870968,0.4680089393228765,0.0012185808513424888,19.8692250425098,19.792588763895086
40,0.053763440860215055,0.10590928938310078,0.0002757618950788885,19.946042571400117,19.92869996717381
41,0.05510752688172043,0.0,0.0,20.015577635956205,20.015577635956205
42,0.056451612903225805,-0.9874593117212916,-0.0025711026171516163,19.95974138004922,20.121437451588484
43,0.05779569892473118,-2.6093956586400413,-0.006794228306398394,19.780627433469395,20.207914939987734
44,0.05913978494623656,-3.0038933492128623,-0.00782140383925552,19.701564525053126,20.19345087229306
45,0.06048387096774194,-3.2290891561517627,-0.00840775866088649,19.65294604121748,20.181708112729698
46,0.06182795698924731,-3.239822409540037,-0.008435705428464222,19.63821674212746,20.168736379634673
47,0.06317204301075269,-7.096098089153826,-0.018476504451393073,19.155080374490826,20.317063628538374
48,0.06451612903225806,-8.227747521864773,-0.021423042889588975,18.872670210764884,20.219960611605178
49,0.06586021505376344,-8.625485439875565,-0.02245865518246957,18.699483770119453,20.11190359764209
50,0.06720430107526881,-10.441227890427882,-0.02718640458061998,18.379883690622854,20.089630625902068
51,0.06854838709677419,-9.428656816062324,-0.02454991707328649,18.373307712584317,19.917246535128434
52,0.06989247311827956,-10.00582232845069,-0.026052714952466575,18.24803327655145,19.88648272335457
53,0.07123655913978495,-8.841163078715427,-0.0230202270215316,18.327995969542513,19.775732925077726
54,0.07258064516129033,-9.543077347465632,-0.024847840161615176,18.23785513647009,19.80053027575327
55,0.0739247311827957,-5.0695383409186,-0.013199838354215832,18.759716517510054,19.589851414729583
56,0.07526881720430108,-3.5747809209401638,-0.00930785549589014,19.087226171149748,19.67259513234973
57,0.07661290322580645,0.0,0.0,19.671498021842332,19.671498021842332
58,0.07795698924731183,0.0,0.0,19.892772613485022,19.892772613485022
59,0.0793010752688172,0.0,0.0,20.03801235084785,20.03801235084785
60,0.08064516129032258,0.47902091436576766,0.001247253341962312,20.20295884345801,20.124519358287653
61,0.08198924731182795,0.0,0.0,20.24266871650503,20.24266871650503
62,0.08333333333333333,0.0,0.0,20.29816142015166,20.29816142015166
63,0.0846774193548387,0.0,0.0,20.344655874421782,20.344655874421782
64,0.08602150537634409,0.0,0.0,20.382722868348598,20.382722868348598
65,0.08736559139784947,0.0,0.0,20.416437252007956,20.416437252007956
66,0.08870967741935484,-0.1713270257826523,-0.0004460936862408259,20.424984021130562,20.45303875380534
67,0.09005376344086022,-1.5783957907210309,-0.0041097567264314384,20.270139176145843,20.52860086227731
68,0.0913978494623656,-2.131867139969245,-0.005550860797939923,20.169489363052023,20.518581763604494
69,0.09274193548387097,-3.007336090865705,-0.007830367896780453,20.027476596394354,20.519926691217588
70,0.09408602150537634,-3.6193340482122482,-0.009423860946212814,19.902023122002063,20.49468764016239
71,0.09543010752688172,-10.190717806629843,-0.026534137571305676,19.03159284397536,20.70031885216391
72,0.0967741935483871,-14.341449154669135,-0.0373416271613671,18.23591261431362,20.584319238225874
73,0.09811827956989247,-16.496807943563663,-0.042953654469477166,17.638662044967546,20.340007817647724
74,0.09946236559139784,-16.94294675892912,-0.04411529086520828,17.28531184820211,20.059712675353367
75,0.10080645161290322,-18.35771106403268,-0.04779899121045464,16.88210415432066,19.888172076585395
76,0.10215053763440861,-21.411827938534078,-0.055751164830073904,16.276510648396624,19.782689000292955
77,0.10349462365591398,-20.93429941986328,-0.05450779732161543,16.05343838420356,19.48142163013402
78,0.10483870967741936,-24.712607126750918,-0.06434558680647959,15.40046961942581,19.447149257216005
79,0.10618279569892473,-13.262250903610324,-0.03453165877605107,16.541616401500775,18.71330473885996
80,0.10752688172043011,-10.65143764546617,-0.02773373938714241,17.087907576028837,18.832076275511852
81,0.10887096774193548,-3.619131533997375,-0.009423333648711346,18.160197501209115,18.752828857746895
82,0.11021505376344086,-1.8795344282373476,-0.004893848111112417,18.74951499016642,19.057288009025307
83,0.11155913978494623,-1.273611897336998,-0.003316173986724059,19.122133381725337,19.33068682592354
84,0.11290322580645161,-0.8254479398228024,-0.002149264615978258,19.403411395454683,19.53857816895633
85,0.11424731182795698,-1.4627601740284841,-0.003808669853093954,19.504029323279422,19.74355572293654
86,0.11559139784946236,0.24721128953137758,0.0006436777555883226,19.819912375009398,19.77943162417451
87,0.11693548387096774,2.076849602221312,0.005407608581252261,20.19290357616124,19.85282027564358
88,0.11827956989247312,2.631862035251,0.006852725258137762,20.43163677390165,20.00067040710361
89,0.1196236559139785,1.6275051350155392,0.00423762545190035,20.448285026009344,20.181781704183088
90,0.12096774193548387,-1.7274462528676409,-0.004497847687510928,20.100396418358123,20.383265058684195
91,0.12231182795698925,-3.6869737959798674,-0.00959997831170269,19.79538533253714,20.39912583262817
92,0.12365591397849462,-4.325096087045042,-0.011261492738824253,19.623010106032083,20.33124287876877
93,0.125,-4.893958516623612,-0.012742671420444206,19.477587537683725,20.27897130815499
94,0.12634408602150538,-5.2017801232307415,-0.013544163622673586,19.371446401082387,20.223235837825122
95,0.12768817204301075,-14.606540261938038,-0.038031859590787004,18.1439898253136,20.5358050131399
96,0.12903225806451613,-16.135117555800285,-0.04201190113185764,17.56563790362807,20.20775701843927
97,0.1303763440860215,-18.51830483642706,-0.04821713812911773,16.972247948387057,20.004613037331577
98,0.13172043010752688,-22.711564169589707,-0.05913536019448717,16.157844501767535,19.876854147170633
99,0.13306451612903225,-23.156487899665933,-0.0602938328052095,15.737556334995999,19.5294220651349
100,0.13440860215053763,-26.43580058110622,-0.06883236124645972,15.054454200761352,19.383306084804133
101,0.135752688172043,-26.044138089541626,-0.06781256787862312,14.77395832523482,19.038675631271666
102,0.13709677419354838,-30.275065066670674,-0.07882886727926537,14.02637484270603,18.9839047669952
103,0.13844086021505375,-15.339236691348955,-0.03993962195109352,15.552290852569218,18.064084790770632
104,0.13978494623655913,-11.549588188428421,-0.030072303806147213,16.33996043101368,18.231200926492726
105,0.14112903225806453,-3.6227767898650916,-0.009432825003737749,17.621954656403133,18.21518292214676
106,0.1424731182795699,-2.5425659677319143,-0.006620220130914384,18.222416955254687,18.63876112633251
107,0.14381720430107528,-1.8734590017911543,-0.004878029186068417,18.640950775087013,18.947728945269485
108,0.14516129032258066,0.2527709045104201,0.0006581536336860787,19.16463060155803,19.12323946597036
109,0.14650537634408603,1.9384463072810456,0.005047240240380548,19.642902895643022,19.325483079903204
110,0.1478494623655914,4.7676362177559675,0.012413759039581591,20.24111063987805,19.460412095858395
111,0.14919354838709678,5.4097347025521865,0.014085626503012438,20.599865402025326,19.714023485210006
112,0.15053763440860216,5.4612918580362235,0.014219868730337057,20.824687954814152,19.9304035741904
113,0.15188172043010753,4.7759583524257,0.01243542784352688,20.90663517140913,20.124573881130523
114,0.1532258064516129,-0.47486760889976387,-0.0012364391499984344,20.360630820636818,20.43839020368065
115,0.15456989247311828,-2.018054151210556,-0.005254519602115639,20.065694087405337,20.396149656086383
116,0.15591397849462366,-2.49213992822851,-0.006488923053049177,19.90854088211882,20.31662780918244
117,0.15725806451612903,-2.988704783097379,-0.007781856526645518,19.777031081007944,20.266430306556853
118,0.1586021505376344,-3.2580486888786173,-0.008483162203596226,19.68521772750848,20.218721911044923
119,0.15994623655913978,-8.402517289300269,-0.021878100633354738,18.99910627431512,20.37501515541349
120,0.16129032258064516,-11.845663970572911,-0.030843212753291528,18.351766407484654,20.291489195127443
121,0.16263440860215053,-12.47973597734062,-0.03249418123038375,18.0134630143662,20.057014842203703
122,0.1639784946236559,-12.49330442973712,-0.03252951016298202,17.821926280331212,19.86769993687937
123,0.16532258064516128,-11.833715631895396,-0.03081210220070499,17.77007363956339,19.707839891475903
124,0.16666666666666666,-15.150290928872344,-0.03944765338222509,17.279698675701116,19.760552820066163
125,0.16801075268817203,-14.16343915979567,-0.036878132657577875,17.21513111449089,19.534388672184313
126,0.1693548387096774,-14.310464479793549,-0.037260950643642696,17.10909818032378,19.45243107598634
127,0.17069892473118278,-7.183786744193884,-0.018704824269528155,17.92228465933096,19.09862689594137
128,0.17204301075268819,-6.025607949334559,-0.015689209858640113,18.271493534791023,19.25818445205503
129,0.17338709677419356,-1.2179204882468924,-0.0031711671738207173,19.025083303705163,19.224517301702935
130,0.17473118279569894,-0.1830728502452928,-0.0004766769413258944,19.428217690149157,19.458195796931662
131,0.1760752688172043,0.0,0.0,19.66725164653311,19.66725164653311
132,0.1774193548387097,0.10526152614528364,0.00027407527798360476,19.837058922304692,19.81982238905225
133,0.17876344086021506,1.3852416840719326,0.0036068306582642384,20.115799969284485,19.888967191682315
134,0.18010752688172044,2.8702389067677037,0.007473400349202171,20.436659062081983,19.96665857690302
135,0.1814516129032258,4.620495175349589,0.012030639740658787,20.808205082128946,20.05160082557703
136,0.1827956989247312,4.68559538075021,0.012200144758734799,20.98946200466099,20.22219761523602
137,0.18413978494623656,4.488675356453803,0.011687413161768549,21.09168865644748,20.356669843076315
138,0.18548387096774194,0.05020165093082758,0.0001307128248844884,20.631169034552716,20.622948534078475
139,0.1868279569892473,0.0,0.0,20.536673481193688,20.536673481193688
140,0.1881720430107527,0.0,0.0,20.499643185741228,20.499643185741228
141,0.18951612903225806,0.0,0.0,20.484598547461097,20.484598547461097
142,0.19086021505376344,0.0,0.0,20.47969285966706,20.47969285966706
143,0.1922043010752688,-0.8902524885821982,-0.0023179998164476016,20.370224684808434,20.516003177525132
144,0.1935483870967742,-1.4973901047717861,-0.0038988377258447593,20.268575557892802,20.513772595005463
145,0.19489247311827956,-2.26957680608296,-0.005909423098937276,20.142132070655062,20.513774374539505
146,0.19623655913978494,-2.8797521354956452,-0.007498170470856436,20.02306180692796,20.49462007954657
147,0.1975806451612903,-2.6780479774820267,-0.006972982159395606,20.001752667261993,20.440281963823775
148,0.1989247311827957,-3.2276715566476506,-0.008404067578376221,19.912801628645404,20.441331568799793
149,0.20026881720430106,-4.517079562744751,-0.011761370770214682,19.718278383312498,20.457948374223758
150,0.20161290322580644,-5.386675601409892,-0.014025586241512681,19.541165924778362,20.423231922906524
151,0.20295698924731181,-1.8449044974940454,-0.004803680238361612,19.907227339657418,20.20932972106076
152,0.20430107526881722,-1.431572984938025,-0.003727466037868083,20.040761776734534,20.275181286519413
153,0.2056451612903226,-0.3586526745402804,-0.0009338438750975208,20.234030013940007,20.292759247470777
154,0.20698924731182797,-0.05974169338756789,-0.0001555527629326757,20.34753513552148,20.35731781417285
155,0.20833333333333334,0.0,0.0,20.417443975532333,20.417443975532333
156,0.20967741935483872,0.0,0.0,20.464984750727897,20.464984750727897
157,0.2110215053763441,0.0,0.0,20.500670817096708,20.500670817096708
158,0.21236559139784947,0.0,0.0,20.52651659504902,20.52651659504902
159,0.21370967741935484,0.0,0.0,20.547221579061524,20.547221579061524
160,0.21505376344086022,0.0,0.0,20.563881603312314,20.563881603312314
161,0.2163978494623656,0.0,0.0,20.577983387838568,20.577983387838568
162,0.21774193548387097,0.0,0.0,20.5903687020826,20.5903687020826
163,0.21908602150537634,0.0,0.0,20.601647371341528,20.601647371341528
164,0.22043010752688172,0.0,0.0,20.61255939516611,20.61255939516611
165,0.2217741935483871,0.0,0.0,20.623704435933043,20.623704435933043
166,0.22311827956989247,-0.12252109999823245,-0.00031901498838735184,20.619240743611314,20.63930352525226
167,0.22446236559139784,-0.43520304776231655,-0.0011331623306519323,20.586092721649006,20.65735704850255
168,0.22580645161290322,-0.7112299226343676,-0.001851868825151041,20.547348499199547,20.66381211758468
169,0.2271505376344086,-1.252955447419941,-0.0032623896415744564,20.470148425680392,20.6753193843788
170,0.22849462365591397,-2.014611409557713,-0.005245555544590705,20.351596322430787,20.681488143528533
171,0.22983870967741934,-2.8809672207848838,-0.007501334255865235,20.20236559503357,20.674122837387465
172,0.23118279569892472,-3.295513818630143,-0.008580712241367564,20.093310947710567,20.632950031418208
173,0.2325268817204301,-3.6904165376327103,-0.009608942369227625,19.992012483876895,20.596316731551223
174,0.23387096774193547,-4.096255024238426,-0.010665646562166885,19.89125628807568,20.562016427334235
175,0.23521505376344087,-3.9097394323402903,-0.010180005563316058,19.86410542712245,20.5043237120152
176,0.23655913978494625,-4.30545220820235,-0.011210344881181986,19.78592851906159,20.490944614411216
177,0.23790322580645162,-4.584516796297498,-0.011936960838203094,19.713521216599705,20.464234027819124
178,0.239247311827957,-4.474146549191652,-0.011649583699903744,19.68853947759255,20.421179204523842
179,0.24059139784946237,-3.6217642187907257,-0.009430188516230413,19.76991980371859,20.36298226134948
180,0.24193548387096775,-2.473508620460184,-0.006440411682914242,19.923507996618362,20.328544054407654
181,0.24327956989247312,-1.7598485272473388,-0.0045822152877456,20.05617785024725,20.344352350180845
182,0.2446236559139785,-1.3035840011382187,-0.003394214016941131,20.16320686560894,20.376668229944105
183,0.24596774193548387,-0.8712161523841256,-0.0022684338513097317,20.265379216341945,20.40804051653922
184,0.24731182795698925,-0.7480875097412737,-0.0019478369704179794,20.329074616475296,20.451573650163983
185,0.24865591397849462,-0.912124023788494,-0.002374947946606004,20.345999357167607,20.49535930511938
186,0.25,-2.4810016464104887,-0.006459921690468508,20.170706944244255,20.576969982067787
187,0.2513440860215054,-2.8767144222725483,-0.007490261008334434,20.077942690251817,20.549003538532222
188,0.25268817204301075,-3.0036908349979896,-0.007820876541754054,20.024237267368942,20.51609045298633
189,0.2540322580645161,-3.5454163597835624,-0.00923139735817747,19.92826407206106,20.508824597991726
190,0.2553763440860215,-4.277910274979607,-0.011138632420982515,19.797437621333554,20.497943736016786
191,0.2567204301075269,-4.180500937625641,-0.010885002322777032,19.755818919707913,20.44037429394603
192,0.25806451612903225,-4.273859990682144,-0.011128086470953178,19.712842464865766,20.41268534709806
193,0.2594086021505376,-3.6707726587900185,-0.009557794511585354,19.762560296125393,20.363647866412663
