ln(t/ts),H: 125.35 m,H: 125.35 m bhw
-49.07529746618414,-1.742259259181599,1.346325169133031e-05
-47.67960409584679,-1.7372457538114952,1.639490843617036e-05
-46.283910725509436,-1.732232248441391,1.9326565181010422e-05
-44.88821735517209,-1.727218743071287,2.2258221925850468e-05
-43.49252398483474,-1.7222052377011832,2.5189878670690517e-05
-42.09683061449739,-1.717191732331079,2.8121535415530566e-05
-40.70113724416004,-1.712178226960975,3.1053192160370626e-05
-39.30544387382269,-1.707164721590871,3.398484890521068e-05
-37.90975050348534,-1.702151216220767,3.6916505650050724e-05
-36.514057133147986,-1.6971377108506631,3.984816239489079e-05
-35.11836376281064,-1.692124205480559,4.2779819139730836e-05
-33.72267039247329,-1.687110700110455,4.571147588457088e-05
-32.326977022135935,-1.6820971947403511,4.864313262941095e-05
-30.93128365179859,-1.677083689370247,5.157478937425099e-05
-29.53559028146124,-1.672070184000143,5.4506446119091046e-05
-28.13989691112389,-1.6670566786300391,5.743810286393109e-05
-26.74420354078654,-1.662043173259935,6.0369759608771145e-05
-25.348510170449188,-1.657029667889831,6.330141635361121e-05
-23.95281680011184,-1.652016162519727,6.623307309845124e-05
-22.55712342977449,-1.647002657149623,6.91647298432913e-05
-21.16143005943714,-1.641989151779519,7.209638658813136e-05
-19.76573668909979,-1.636975646409415,7.502804333297141e-05
-18.37004331876244,-1.631962141039311,7.795970007781145e-05
-16.974349948425093,-1.626948635669207,8.08913568226515e-05
-15.578656578087738,-1.44443178410787,0.0006506315010054477
-14.18296320775039,-0.9266431760954399,0.021799767884833746
-12.787269837413042,-0.05570742311356964,0.2639166481648662
-11.391576467075687,0.9135642789063143,0.8921248132599142
-9.99588309673834,1.7409121875169142,1.631529456391525
-8.600189726400993,2.4799097133734516,2.3518568351250377
-8.5,2.5486230729908876,2.5486230729908876
-7.8,2.8955138857862623,2.8955138857862623
-7.2,3.193337487430175,3.193337487430175
-6.5,3.5527499009741907,3.5527499009741907
-5.9,3.8965882054245338,3.8965882054245338
-5.2,4.368603201496727,4.368603201496727
-4.5,4.91405674991384,4.91405674991384
-3.963,5.363331092711956,5.363331092711956
-3.27,5.954899743577027,5.954899743577027
-2.864,6.297911981600517,6.297911981600517
-2.577,6.535643020486711,6.535643020486711
-2.171,6.861552111020947,6.861552111020947
-1.884,7.082977861255763,7.082977861255763
-1.191,7.575695413060065,7.575695413060065
-0.497,7.993875229143527,7.993875229143527
-0.274,8.108705959745711,8.108705959745711
-0.051,8.212481072877289,8.212481072877289
0.196,8.314063949466213,8.314063949466213
0.419,8.393417777478513,8.393417777478513
0.642,8.461398167208692,8.461398167208692
0.873,8.520248646083528,8.520248646083528
1.112,8.56974898501192,8.56974898501192
1.335,8.606725662617098,8.606725662617098
1.679,8.649114048687196,8.649114048687196
2.028,8.67805769835497,8.67805769835497
2.275,8.69223593762728,8.69223593762728
3.003,8.715105380606762,8.715105380606762
