ln(t/ts),H: 80.08 m,H: 80.08 m bhw
-48.17916758639534,-1.7235011716132551,1.3995046699869848e-05
-46.809646759406924,-1.7185955718885892,1.6974166770628757e-05
-45.4401259324185,-1.7136899721639234,1.9953286841387682e-05
-44.07060510543009,-1.7087843724392575,2.2932406912146586e-05
-42.70108427844168,-1.7038787727145916,2.5911526982905498e-05
-41.33156345145326,-1.6989731729899258,2.8890647053664405e-05
-39.96204262446484,-1.69406757326526,3.186976712442333e-05
-38.59252179747643,-1.689161973540594,3.484888719518224e-05
-37.223000970488016,-1.6842563738159282,3.782800726594115e-05
-35.853480143499596,-1.6793507740912623,4.080712733670007e-05
-34.48395931651118,-1.6744451743665965,4.378624740745898e-05
-33.11443848952277,-1.6695395746419306,4.676536747821788e-05
-31.744917662534352,-1.6646339749172647,4.97444875489768e-05
-30.37539683554594,-1.6597283751925989,5.272360761973571e-05
-29.00587600855752,-1.654822775467933,5.570272769049462e-05
-27.636355181569108,-1.6499171757432671,5.8681847761253534e-05
-26.26683435458069,-1.6450115760186013,6.166096783201245e-05
-24.897313527592274,-1.6401059762939354,6.464008790277137e-05
-23.52779270060386,-1.6352003765692695,6.761920797353027e-05
-22.158271873615444,-1.6302947768446037,7.059832804428919e-05
-20.78875104662703,-1.6253891771199378,7.35774481150481e-05
-19.419230219638614,-1.620483577395272,7.655656818580701e-05
-18.0497093926502,-1.615577977670606,7.953568825656592e-05
-16.680188565661783,-1.6106723779459402,8.251480832732484e-05
-15.310667738673367,-1.54373299739804,0.00021186857337949898
-13.941146911684953,-1.1996815969762031,0.004326097562608749
-12.57162608469654,-0.5042740167851284,0.096439682431178
-11.20210525770812,0.43937957143765893,0.5410919123999826
-9.832584430719706,1.3246899236204144,1.2443184565391616
-8.5,2.0893917596816776,2.0893917596816776
-7.8,2.434715277781449,2.434715277781449
-7.2,2.7304748701385755,2.7304748701385755
-6.5,3.0728936860060663,3.0728936860060663
-5.9,3.3770425135901165,3.3770425135901165
-5.2,3.8083688591512064,3.8083688591512064
-4.5,4.409223349590184,4.409223349590184
-3.963,5.010204348195154,5.010204348195154
-3.27,5.934354848442307,5.934354848442307
-2.864,6.524674032229138,6.524674032229138
-2.577,6.951262436948208,6.951262436948208
-2.171,7.553335279871862,7.553335279871862
-1.884,7.971032338082858,7.971032338082858
-1.191,8.914717573105284,8.914717573105284
-0.497,9.724318956364993,9.724318956364993
-0.274,9.947795695391202,9.947795695391202
-0.051,10.14975241852941,10.14975241852941
0.196,10.34761412757481,10.34761412757481
0.419,10.502184452089958,10.502184452089958
0.642,10.634815987130557,10.634815987130557
0.873,10.749675086956143,10.749675086956143
1.112,10.846311680833356,10.846311680833356
1.335,10.918593452215866,10.918593452215866
1.679,11.001487310866256,11.001487310866256
2.028,11.05820052326981,11.05820052326981
2.275,11.086040252935494,11.086040252935494
3.003,11.131067376654464,11.131067376654464
