Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,14.427405867111679,0.04503925347758393,25.64,25.64
31,0.041666666666666664,9.26171624380587,0.028913083154687696,27.15405687272723,25.01142823254837
32,0.043010752688172046,3.1131304429403808,0.009718522679673193,26.063616012297707,24.688149163719956
33,0.04435483870967742,2.064813265024326,0.0064459022560184025,25.293938055300202,24.83160390395688
34,0.0456989247311828,1.4946030353320527,0.004665828741266504,25.31633157613771,25.00968406937092
35,0.04704301075268817,0.0674595267332382,0.00021059411178985763,25.34480524462214,25.12284023589519
36,0.04838709677419355,-0.5471417782130488,-0.0017080587781403377,25.256104486458746,25.246086003901112
37,0.04973118279569892,-1.6969796175886105,-0.005297604839487895,25.27884997893921,25.360106557913678
38,0.051075268817204304,-2.339401506786138,-0.007303107600942288,25.233372583332468,25.48539274301576
39,0.05241935483870968,-1.5902335355976025,-0.004964366564442786,25.257902247454485,25.605329131780504
40,0.053763440860215055,-1.1840964458085605,-0.003696494051383795,25.42109056174654,25.657257752808338
41,0.05510752688172043,0.408759415156233,0.001276058848010783,25.493423984791594,25.669275345798003
42,0.056451612903225805,0.9577950686616142,0.002990029896876154,25.672738421733065,25.61203314748463
43,0.05779569892473118,1.1872626862258184,0.0037063783719634862,25.6890103948569,25.546767280298475
44,0.05913978494623656,1.4603113629398137,0.004558777526427871,25.67704352475863,25.500721942184867
45,0.06048387096774194,1.622085045089944,0.005063800116315022,25.67696504203409,25.46009272426378
46,0.06182795698924731,0.0,0.0,25.665081006592207,25.42418351563451
47,0.06317204301075269,0.0,0.0,25.46952240853242,25.46952240853242
