ln(t/ts),H: 111.00 m,H: 111.00 m bhw
-48.83217996091885,-1.7354276223291425,1.365423509298415e-05
-47.44486651757812,-1.730449324183274,1.6605607016112266e-05
-46.05755307423738,-1.7254710260374053,1.9556978939240397e-05
-44.67023963089665,-1.7204927278915367,2.2508350862368512e-05
-43.28292618755592,-1.7155144297456681,2.545972278549663e-05
-41.89561274421519,-1.7105361315997996,2.8411094708624745e-05
-40.508299300874455,-1.705557833453931,3.136246663175288e-05
-39.120985857533725,-1.7005795353080624,3.431383855488099e-05
-37.733672414192995,-1.6956012371621938,3.726521047800911e-05
-36.346358970852265,-1.6906229390163252,4.021658240113723e-05
-34.95904552751153,-1.6856446408704566,4.316795432426536e-05
-33.5717320841708,-1.680666342724588,4.611932624739348e-05
-32.18441864083006,-1.6756880445787194,4.907069817052161e-05
-30.797105197489334,-1.6707097464328509,5.2022070093649713e-05
-29.4097917541486,-1.6657314482869823,5.497344201677784e-05
-28.02247831080787,-1.6607531501411137,5.7924813939905956e-05
-26.635164867467136,-1.655774851995245,6.0876185863034075e-05
-25.247851424126402,-1.6507965538493763,6.38275577861622e-05
-23.860537980785672,-1.6458182557035077,6.677892970929031e-05
-22.47322453744494,-1.6408399575576391,6.973030163241844e-05
-21.08591109410421,-1.6358616594117705,7.268167355554656e-05
-19.698597650763475,-1.630883361265902,7.563304547867467e-05
-18.311284207422744,-1.6259050631200334,7.85844174018028e-05
-16.92397076408201,-1.6209267649741648,8.153578932493091e-05
-15.536657320741277,-1.4812495127729983,0.0004562258718769428
-14.149343877400547,-1.0229063077707314,0.013286199328796593
-12.762030434059817,-0.20473117685980785,0.1984763002061617
-11.37471699071908,0.765804244966682,0.7752782862644656
-9.98740354737835,1.6107249174407585,1.5082052992588213
-8.600090104037621,2.3543262141138532,2.227859418126513
-8.5,2.427763822846565,2.427763822846565
-7.8,2.7744128042481107,2.7744128042481107
-7.2,3.0715161088937712,3.0715161088937712
-6.5,3.423350482859008,3.423350482859008
-5.9,3.748355327045427,3.748355327045427
-5.2,4.190674400036116,4.190674400036116
-4.5,4.711554336505376,4.711554336505376
-3.963,5.1486609735436915,5.1486609735436915
-3.27,5.731653786167084,5.731653786167084
-2.864,6.072196071570483,6.072196071570483
-2.577,6.308942183515311,6.308942183515311
-2.171,6.6342330941341885,6.6342330941341885
-1.884,6.855603667707711,6.855603667707711
-1.191,7.348977184200958,7.348977184200958
-0.497,7.768350050819669,7.768350050819669
-0.274,7.883610496457223,7.883610496457223
-0.051,7.987813199501821,7.987813199501821
0.196,8.089859060084429,8.089859060084429
0.419,8.169609283614147,8.169609283614147
0.642,8.237957375078603,8.237957375078603
0.873,8.297149810978302,8.297149810978302
1.112,8.346956983971275,8.346956983971275
1.335,8.384175980795469,8.384175980795469
1.679,8.426857039438548,8.426857039438548
2.028,8.45601195066969,8.45601195066969
2.275,8.470297902082326,8.470297902082326
3.003,8.493348120393097,8.493348120393097
