Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,15.13613067970355,0.0681785818915894,21.18,21.18
31,0.041666666666666664,8.747650845652897,0.03940256873833083,22.40574434928621,20.14330587823637
32,0.043010752688172046,0.8237690369580044,0.003710552315811337,21.336757144671395,20.02922206696127
33,0.04435483870967742,0.0,0.0,20.586239054038824,20.463108063701075
34,0.0456989247311828,0.0,0.0,20.71010860094139,20.71010860094139
35,0.04704301075268817,0.0,0.0,20.833278122792198,20.833278122792198
36,0.04838709677419355,0.0,0.0,20.921876542322746,20.921876542322746
37,0.04973118279569892,-0.4280621608706281,-0.0019281460835128329,20.977934890966647,20.977934890966647
38,0.051075268817204304,-1.547922750508699,-0.00697240135148454,20.974609884279122,21.038593495497086
39,0.05241935483870968,-2.2500424750331747,-0.010135001367906286,20.921078816975548,21.15245102530751
40,0.053763440860215055,-3.074116457318381,-0.013846927267257766,20.931308957149355,21.267628903424487
41,0.05510752688172043,-0.041828409120607056,-0.00018841021374427425,20.935565021489033,21.395061539106358
42,0.056451612903225805,0.0,0.0,21.261103412601926,21.267355618266627
43,0.05779569892473118,0.0,0.0,21.21062138575818,21.21062138575818
44,0.05913978494623656,0.0,0.0,21.183489419416098,21.183489419416098
45,0.06048387096774194,0.0,0.0,21.168222962784515,21.168222962784515
46,0.06182795698924731,0.0,0.0,21.157912493540174,21.157912493540174
47,0.06317204301075269,0.0,0.0,21.154337644476144,21.154337644476144
48,0.06451612903225806,0.0,0.0,21.152723659413944,21.152723659413944
49,0.06586021505376344,0.0,0.0,21.151948141910633,21.151948141910633
50,0.06720430107526881,0.0,0.0,21.151686086495776,21.151686086495776
51,0.06854838709677419,0.0,0.0,21.1539220103667,21.1539220103667
52,0.06989247311827956,0.0,0.0,21.157366045743057,21.157366045743057
53,0.07123655913978495,0.0,0.0,21.15881241182483,21.15881241182483
54,0.07258064516129033,0.0,0.0,21.159129259644157,21.159129259644157
55,0.0739247311827957,0.0,0.0,21.15940435542605,21.15940435542605
56,0.07526881720430108,-4.823847701181697,-0.021728346727911112,21.159727991998963,21.159727991998963
57,0.07661290322580645,-8.13969976965164,-0.036664138217457225,20.76944095729604,21.4904745456406
58,0.07795698924731183,-10.47339906292603,-0.04717596001285206,20.677036797033143,21.893699779888422
59,0.0793010752688172,-13.436425784333185,-0.06052249911503573,20.717890773899278,22.283378114359085
60,0.08064516129032258,-12.908681635493322,-0.058145349470197276,20.714969079226762,22.723348053428168
61,0.08198924731182795,-16.70230105229539,-0.07523317710244583,21.03108427955738,22.96057990566456
62,0.08333333333333333,-18.332250942767878,-0.08257505822374057,20.893548891047555,23.390087091952505
63,0.0846774193548387,-18.647865302496093,-0.08399669892744736,21.030686116593238,23.770857344731056
64,0.08602150537634409,-18.601419471589445,-0.08378749018361444,21.255961855390595,24.043308817180236
65,0.08736559139784947,-8.402892811455978,-0.037849654432510475,21.45575158981659,24.236156167394128
66,0.08870967741935484,-3.677640646058569,-0.01656541749413944,22.43676678924086,23.692769949298047
67,0.09005376344086022,-3.084437753075414,-0.01389341809922064,22.574310704118673,23.124017617755236
68,0.0913978494623656,-2.2122882616061332,-0.009964942798357882,22.327581039657403,22.788620309321864
69,0.09274193548387097,-1.5185885415150264,-0.006840269513274269,22.201551329193613,22.532228050875283
70,0.09408602150537634,0.0,0.0,22.09570652646253,22.322694071081585
71,0.09543010752688172,0.0,0.0,22.091568902656245,22.091568902656245
72,0.0967741935483871,0.0,0.0,21.952002698466732,21.952002698466732
73,0.09811827956989247,0.0,0.0,21.85527293346789,21.85527293346789
74,0.09946236559139784,0.0,0.0,21.782790529622535,21.782790529622535
