ln(t/ts),H: 129.29 m,H: 129.29 m bhw
-49.13712386744026,-1.7442762218223322,1.3407445572138588e-05
-47.739299939484674,-1.739253548665523,1.6332579791440395e-05
-46.34147601152909,-1.7342308755087137,1.9257714010742203e-05
-44.943652083573504,-1.7292082023519046,2.218284823004401e-05
-43.54582815561792,-1.7241855291950954,2.5107982449345817e-05
-42.148004227662334,-1.7191628560382861,2.8033116668647624e-05
-40.750180299706756,-1.7141401828814768,3.095825088794942e-05
-39.35235637175117,-1.7091175097246676,3.3883385107251224e-05
-37.954532443795586,-1.7040948365678585,3.680851932655303e-05
-36.55670851584,-1.6990721634110493,3.973365354585484e-05
-35.158884587884415,-1.69404949025424,4.265878776515664e-05
-33.76106065992883,-1.6890268170974307,4.558392198445845e-05
-32.363236731973245,-1.6840041439406215,4.850905620376026e-05
-30.96541280401766,-1.6789814707838124,5.1434190423062066e-05
-29.567588876062075,-1.6739587976270032,5.4359324642363874e-05
-28.16976494810649,-1.668936124470194,5.728445886166568e-05
-26.771941020150905,-1.6639134513133846,6.020959308096749e-05
-25.37411709219532,-1.6588907781565754,6.31347273002693e-05
-23.976293164239735,-1.6538681049997663,6.605986151957111e-05
-22.57846923628415,-1.648845431842957,6.898499573887291e-05
-21.180645308328565,-1.6438227586861478,7.191012995817471e-05
-19.782821380372983,-1.6388000855293385,7.483526417747651e-05
-18.384997452417398,-1.6337774123725293,7.776039839677831e-05
-16.98717352446181,-1.62875473921572,8.068553261608014e-05
-15.589349596506231,-1.4338880341693077,0.0007354656274215542
-14.191525668550646,-0.9008557769677582,0.02466447759982606
-12.793701740595061,-0.017337621335924293,0.28230128014588873
-11.395877812639476,0.9504321544947716,0.9222198097544885
-9.998053884683891,1.7736292899777466,1.6627686207531023
-8.600229956728308,2.5117095418274924,2.3833135508997194
-8.5,2.577768989857799,2.577768989857799
-7.8,2.924684992131465,2.924684992131465
-7.2,3.222726129851625,3.222726129851625
-6.5,3.5846348930327983,3.5846348930327983
-5.9,3.934417388942727,3.934417388942727
-5.2,4.414820614983133,4.414820614983133
-4.5,4.965940257195611,4.965940257195611
-3.963,5.417396867837907,5.417396867837907
-3.27,6.0101032245661905,6.0101032245661905
-2.864,6.353319561122924,6.353319561122924
-2.577,6.5910844971048075,6.5910844971048075
-2.171,6.916944468722006,6.916944468722006
-1.884,7.138294242074185,7.138294242074185
-1.191,7.630761965685277,7.630761965685277
-0.497,8.048663839399044,8.048663839399044
-0.274,8.163405192301125,8.163405192301125
-0.051,8.267094506995184,8.267094506995184
0.196,8.36858696165271,8.36858696165271
0.419,8.447865072622212,8.447865072622212
0.642,8.515776122126095,8.515776122126095
0.873,8.574562927928426,8.574562927928426
1.112,8.624006729515479,8.624006729515479
1.335,8.660939034504732,8.660939034504732
1.679,8.703274201801552,8.703274201801552
2.028,8.732179598174902,8.732179598174902
2.275,8.746338370516913,8.746338370516913
3.003,8.769175169857963,8.769175169857963
