Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,15.153441844776822,0.06932104468349573,21.18,21.18
31,0.041666666666666664,8.757655517982762,0.040062834285664366,22.396399981236897,20.13229901789178
32,0.043010752688172046,0.8247111801042812,0.0037727297304864776,21.32811415368109,20.019618268850543
33,0.04435483870967742,0.0,0.0,20.583349485012544,20.460128015165466
34,0.0456989247311828,0.0,0.0,20.709279368697057,20.709279368697057
35,0.04704301075268817,0.0,0.0,20.833378448909418,20.833378448909418
36,0.04838709677419355,0.0,0.0,20.923935754080496,20.923935754080496
37,0.04973118279569892,-0.4266271709889775,-0.0019516517426378685,20.978509452488428,20.978509452488428
38,0.051075268817204304,-1.5427336595597607,-0.007057400559196202,20.97436154541421,21.038104620995306
39,0.05241935483870968,-2.2424996728887625,-0.010258555225896004,20.92191128882711,21.15241369221332
40,0.053763440860215055,-3.0638111175464773,-0.014015732502014848,20.932933000646553,21.26798860858678
41,0.05510752688172043,-0.04168818802811075,-0.00019070708652679682,20.93799573995448,21.395764857611105
42,0.056451612903225805,0.0,0.0,21.260524607612528,21.266753309160425
43,0.05779569892473118,0.0,0.0,21.209646319043532,21.209646319043532
44,0.05913978494623656,0.0,0.0,21.182476650271195,21.182476650271195
45,0.06048387096774194,0.0,0.0,21.16721288456302,21.16721288456302
46,0.06182795698924731,0.0,0.0,21.157034845572518,21.157034845572518
47,0.06317204301075269,0.0,0.0,21.153988989354076,21.153988989354076
48,0.06451612903225806,0.0,0.0,21.152401393886223,21.152401393886223
49,0.06586021505376344,0.0,0.0,21.1516432877389,21.1516432877389
50,0.06720430107526881,0.0,0.0,21.151916619225457,21.151916619225457
51,0.06854838709677419,0.0,0.0,21.156143873854248,21.156143873854248
52,0.06989247311827956,0.0,0.0,21.158476232325874,21.158476232325874
53,0.07123655913978495,0.0,0.0,21.158795946437102,21.158795946437102
54,0.07258064516129033,0.0,0.0,21.159003084440325,21.159003084440325
55,0.0739247311827957,0.0,0.0,21.159283308563623,21.159283308563623
56,0.07526881720430108,-4.807676749215889,-0.021993232835817608,21.159611677846886,21.159611677846886
57,0.07661290322580645,-8.112413109262487,-0.037111103695032774,20.774033360011334,21.49235634371708
58,0.07795698924731183,-10.438289158207471,-0.047751073093982375,20.685016423380247,21.8971055661558
59,0.0793010752688172,-13.391382945211758,-0.06126031729476696,20.727806820836406,22.287408974647985
60,0.08064516129032258,-12.865407949506439,-0.05885418827449705,20.72730983528907,22.72813864615279
61,0.08198924731182795,-16.646310041640355,-0.07615033033631376,21.04234171748717,22.964583728951098
62,0.08333333333333333,-18.270795862138357,-0.08358171492233522,20.90755584239726,23.394708727364467
63,0.0846774193548387,-18.58535218998683,-0.08502068657521923,21.0456589163712,23.775528931136726
64,0.08602150537634409,-18.539062059124447,-0.08480892740771222,21.270492292265452,24.047360691437852
65,0.08736559139784947,-8.374723850815988,-0.03831107231090593,21.469529156612985,24.23948127030038
66,0.08870967741935484,-3.6653121162377893,-0.016767363321901485,22.440275983750656,23.691557410941236
67,0.09005376344086022,-3.074097813293673,-0.014062790094794185,22.57194567065891,23.119586053506648
68,0.0913978494623656,-2.204872022655598,-0.01008642350494,22.32482569460413,22.784131764590754
69,0.09274193548387097,-1.5134977874361506,-0.0069236579270865,22.19870006008569,22.52813365818723
70,0.09408602150537634,0.0,0.0,22.09322344388508,22.31935766696497
71,0.09543010752688172,0.0,0.0,22.08971632726038,22.08971632726038
72,0.0967741935483871,0.0,0.0,21.95098838623841,21.95098838623841
73,0.09811827956989247,0.0,0.0,21.854555928868688,21.854555928868688
74,0.09946236559139784,0.0,0.0,21.782339894903707,21.782339894903707
