ln(t/ts),H: 76.39 m,H: 76.39 m bhw
-48.084798755335456,-1.7223338398641364,1.4028919003644404e-05
-46.71527792834704,-1.7174291099874732,1.701454930284668e-05
-45.34575710135862,-1.71252438011081,2.0000179602048977e-05
-43.97623627437021,-1.707619650234147,2.2985809901251256e-05
-42.606715447381795,-1.7027149203574838,2.5971440200453535e-05
-41.23719462039338,-1.6978101904808207,2.895707049965581e-05
-39.86767379340496,-1.6929054606041576,3.1942700798858106e-05
-38.49815296641655,-1.6880007307274945,3.492833109806038e-05
-37.128632139428134,-1.6830960008508313,3.7913961397262664e-05
-35.759111312439714,-1.6781912709741682,4.089959169646496e-05
-34.3895904854513,-1.673286541097505,4.3885221995667235e-05
-33.02006965846289,-1.668381811220842,4.687085229486952e-05
-31.650548831474467,-1.6634770813441788,4.985648259407181e-05
-30.281028004486053,-1.658572351467516,5.284211289327409e-05
-28.911507177497636,-1.6536676215908526,5.582774319247638e-05
-27.541986350509223,-1.6487628917141897,5.881337349167865e-05
-26.172465523520806,-1.6438581618375265,6.179900379088093e-05
-24.80294469653239,-1.6389534319608634,6.478463409008322e-05
-23.433423869543976,-1.6340487020842003,6.77702643892855e-05
-22.06390304255556,-1.6291439722075371,7.075589468848779e-05
-20.694382215567146,-1.624239242330874,7.374152498769006e-05
-19.32486138857873,-1.619334512454211,7.672715528689235e-05
-17.95534056159031,-1.6144297825775478,7.971278558609464e-05
-16.5858197346019,-1.6095250527008846,8.269841588529692e-05
-15.216298907613478,-1.5426006036320548,0.00021230822233878256
-13.846778080625064,-1.1986495805929644,0.004332629120875865
-12.477257253636651,-0.5035343797988339,0.0965026359839998
-11.107736426648238,0.43967692851371243,0.541179849163948
-9.738215599659817,1.3247552570144068,1.2443485660131375
-8.5,2.0418921929769573,2.0418921929769573
-7.8,2.386984958090074,2.386984958090074
-7.2,2.682641139818551,2.682641139818551
-6.5,3.0246490259603838,3.0246490259603838
-5.9,3.325406272027332,3.325406272027332
-5.2,3.7417096344240908,3.7417096344240908
-4.5,4.314426060075127,4.314426060075127
-3.963,4.891581522073193,4.891581522073193
-3.27,5.791195280494407,5.791195280494407
-2.864,6.371846284490135,6.371846284490135
-2.577,6.793570193053981,6.793570193053981
-2.171,7.391110795662089,7.391110795662089
-1.884,7.806885692329896,7.806885692329896
-1.191,8.748903500000619,8.748903500000619
-0.497,9.559073238675815,9.559073238675815
-0.274,9.78295661990078,9.78295661990078
-0.051,9.985359241833818,9.985359241833818
0.196,10.183736944726151,10.183736944726151
0.419,10.338767121821666,10.338767121821666
0.642,10.471833350632814,10.471833350632814
0.873,10.587101789386361,10.587101789386361
1.112,10.684108001526118,10.684108001526118
1.335,10.756682195913205,10.756682195913205
1.679,10.839928234530602,10.839928234530602
2.028,10.896895414380266,10.896895414380266
2.275,10.9248647338843,10.9248647338843
3.003,10.970109243406743,10.970109243406743
