Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,14.430740099593056,0.047226250925060526,25.64,25.64
31,0.041666666666666664,9.263856664295723,0.03031703269149455,27.102601577474154,24.96083619476225
32,0.043010752688172046,3.113849900113571,0.010190430685525623,26.03071446796255,24.655801790091438
33,0.04435483870967742,2.0652904518117245,0.0067588997125062646,25.282994997116933,24.82084711856064
34,0.0456989247311828,1.4949484442041028,0.004892390124052108,25.30905994588698,25.00253598631123
35,0.04704301075268817,0.07883017856578146,0.00025798079431282303,25.339524912339705,25.117649332526188
36,0.04838709677419355,-0.5295150331227866,-0.0017328986351541073,25.257050011624404,25.245350282684655
37,0.04973118279569892,-1.6751744592161446,-0.005482200414407378,25.28218741080537,25.360776378504948
38,0.051075268817204304,-2.3127554967252184,-0.00756875743467504,25.24075188269014,25.48937604486
39,0.05241935483870968,-1.572340465004519,-0.005145664382246324,25.267581794495495,25.61083374327825
40,0.053763440860215055,-1.1707731691830867,-0.003831489381873629,25.426665768871995,25.660027630740657
41,0.05510752688172043,0.40911117376293027,0.0013388632055620644,25.497061111471204,25.67082360926818
42,0.056451612903225805,0.9580164190178633,0.0031352185322872936,25.669448275344003,25.608729272465503
43,0.05779569892473118,1.1875370674866497,0.0038863511604312366,25.683996340359894,25.541810535046974
44,0.05913978494623656,1.460648846866175,0.004780140760587015,25.67113967068075,25.494889127446182
45,0.06048387096774194,1.6224599155756507,0.005309686028576521,25.670115141974385,25.453330201290417
46,0.06182795698924731,0.0,0.0,25.657746416530543,25.41694598231611
47,0.06317204301075269,0.0,0.0,25.46805986861003,25.46805986861003
