ln(t/ts),H: 84.29 m,H: 84.29 m bhw
-48.28159321996737,-1.7248988902800406,1.3954611131637555e-05
-46.912072392978956,-1.7199922498739046,1.6925957262516045e-05
-45.542551565990536,-1.7150856094677687,1.989730339339455e-05
-44.17303073900212,-1.7101789690616327,2.286864952427304e-05
-42.80350991201371,-1.7052723286554967,2.5839995655151527e-05
-41.43398908502529,-1.7003656882493605,2.8811341786030033e-05
-40.064468258036875,-1.6954590478432245,3.1782687916908525e-05
-38.69494743104846,-1.6905524074370886,3.4754034047787016e-05
-37.32542660406004,-1.6856457670309526,3.772538017866552e-05
-35.95590577707163,-1.6807391266248166,4.069672630954401e-05
-34.586384950083215,-1.6758324862186806,4.36680724404225e-05
-33.216864123094794,-1.6709258458125447,4.6639418571301004e-05
-31.84734329610638,-1.6660192054064087,4.961076470217949e-05
-30.477822469117967,-1.6611125650002727,5.258211083305798e-05
-29.10830164212955,-1.6562059245941365,5.555345696393648e-05
-27.738780815141137,-1.6512992841880005,5.852480309481497e-05
-26.36925998815272,-1.6463926437818646,6.149614922569347e-05
-24.999739161164303,-1.6414860033757286,6.446749535657197e-05
-23.63021833417589,-1.6365793629695926,6.743884148745045e-05
-22.260697507187473,-1.6316727225634566,7.041018761832895e-05
-20.89117668019906,-1.6267660821573207,7.338153374920744e-05
-19.521655853210643,-1.6218594417511847,7.635287988008595e-05
-18.152135026222226,-1.6169528013450487,7.932422601096445e-05
-16.782614199233812,-1.6120461609389127,8.229557214184293e-05
-15.413093372245392,-1.5450889152785479,0.00021134351662095168
-14.043572545256978,-1.2009174025145795,0.004318291736142331
-12.674051718268565,-0.505159866003873,0.0963643645147213
-11.304530891280152,0.4390233773139562,0.5409866241674514
-9.935010064291731,1.3246116819353022,1.244282401414341
-8.565489237303321,2.084274313105462,1.9628767485093062
-8.5,2.1416973997997384,2.1416973997997384
-7.8,2.4872725255095793,2.4872725255095793
-7.2,2.7834993013865974,2.7834993013865974
-6.5,3.128222416863265,3.128222416863265
-5.9,3.4222796850467176,3.4222796850467176
-5.2,3.7626011218495266,3.7626011218495266
-4.5,4.098305217311166,4.098305217311166
-3.963,4.351172995226727,4.351172995226727
-3.27,4.66864839356423,4.66864839356423
-2.864,4.848532118574081,4.848532118574081
-2.577,4.972244860396923,4.972244860396923
-2.171,5.141254333573019,5.141254333573019
-1.884,5.255866273704939,5.255866273704939
-1.191,5.511418903109122,5.511418903109122
-0.497,5.729288358038347,5.729288358038347
-0.274,5.789302456218295,5.789302456218295
-0.051,5.843691603248916,5.843691603248916
0.196,5.89707281998541,5.89707281998541
0.419,5.938906626886364,5.938906626886364
0.642,5.974815342318454,5.974815342318454
0.873,6.005987768030257,6.005987768030257
1.112,6.0322801853789105,6.0322801853789105
1.335,6.051956741822199,6.051956741822199
1.679,6.074568938110412,6.074568938110412
2.028,6.090035398932844,6.090035398932844
2.275,6.097618209444715,6.097618209444715
3.003,6.109855893749418,6.109855893749418
