Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,12.254645116883497,0.04891697680432033,6.1,0.0
2,0.002688172043010753,12.228631548714405,0.04881313821098793,7.171544710770678,5.333105216006492
3,0.004032258064516129,12.539060128865568,0.05005227875808802,6.731646996442804,4.8971100521536135
4,0.005376344086021506,12.134462431942293,0.0484372425031246,6.4851046722297845,4.60399729227231
5,0.006720430107526882,14.972022447826815,0.05976395626382384,6.244381453097162,4.423971741527457
6,0.008064516129032258,13.39091777450942,0.05345264656107998,6.34927144557918,4.103171528196932
7,0.009408602150537635,14.260984917871642,0.05692570137940465,5.990656623048623,3.9817537235366203
8,0.010752688172043012,11.781371599993824,0.04702780666295937,5.9668301436432705,3.8273999392442413
9,0.012096774193548387,11.091144924573923,0.0442726226532061,5.634119827409268,3.866680734286839
10,0.013440860215053764,9.4822924452095,0.037850551784241016,5.5666827769488,3.902791356429592
11,0.01478494623655914,9.352051180576249,0.03733066656029009,5.423723718285035,4.001192036142734
12,0.016129032258064516,8.600432484277293,0.03433042347027234,5.453584097057962,4.050591184293807
13,0.01747311827956989,8.663732166822085,0.034583097380714536,5.4063335985906855,4.116098377550742
14,0.01881720430107527,8.556729689753219,0.03415597463347389,5.442552468756215,4.142821041560448
15,0.020161290322580645,10.28472431133208,0.0410536262599014,5.44299595099044,4.159317014748489
16,0.021505376344086023,10.219863814697147,0.04079472203385927,5.598226475623507,4.055314119829169
17,0.0228494623655914,12.407431473929963,0.049526855475826026,5.527854320553981,3.9946723239439654
18,0.024193548387096774,12.50975150872839,0.04993528727626684,5.675831260639526,3.8144707860855305
19,0.025537634408602152,14.454525865049684,0.05769826051379777,5.571404719497018,3.694694213074706
20,0.026881720430107527,13.680015228761928,0.054606639461647496,5.657984687633204,3.489519507700206
21,0.028225806451612902,15.376446720962292,0.06137830026149836,5.456013191373193,3.4037399475824035
22,0.02956989247311828,14.621012701331868,0.05836282751112518,5.535532674116107,3.2287611053492586
23,0.030913978494623656,16.255185053714207,0.06488596794426715,5.350067237142919,3.1566257341699484
24,0.03225806451612903,14.669744785701967,0.05855735180930123,5.431357231942794,2.992757508130587
25,0.033602150537634407,16.177317772994726,0.0645751444215588,5.1799353838986555,2.9791831030358598
26,0.03494623655913978,15.356849832941577,0.061300075187854616,5.283795462083102,2.8568773726927166
27,0.036290322580645164,17.403770800273502,0.06947078796853746,5.124555036754559,2.8207233893455403
28,0.03763440860215054,16.969517635637466,0.06773737571717511,5.267166476992294,2.65625614120744
29,0.038978494623655914,19.08667523702594,0.07618845269985548,5.119530657743118,2.5737668978875266
30,0.04032258064516129,53.23173796820007,0.21248560579339837,5.239802448626225,2.3764231141123093
31,0.041666666666666664,32.75680530988361,0.13075563349603667,8.093813090767172,0.10799803678010744
32,0.043010752688172046,16.54237484630098,0.06603234601465695,4.987672161126892,0.07350255200268573
33,0.04435483870967742,8.642401040923428,0.03449794973418196,3.4576977041284738,0.9760138230723134
34,0.0456989247311828,5.7235052685635495,0.022846567304996734,3.196035666427387,1.8995043306211168
35,0.04704301075268817,5.113400383104452,0.020411206162707286,3.432635702502012,2.573996546993437
36,0.04838709677419355,5.454871821270729,0.021774260764517384,3.775467432149754,3.0083560937814138
37,0.04973118279569892,3.3399687291235765,0.013332183126592494,4.111479074905013,3.293140257301561
38,0.051075268817204304,2.3455567299130986,0.00936277983213892,4.136793875695737,3.6357324117094434
39,0.05241935483870968,2.1589527342468147,0.008617910989301104,4.26832076242193,3.9164407945931425
40,0.053763440860215055,2.834785235279816,0.011315637644077102,4.436157802195837,4.112272129774353
41,0.05510752688172043,8.040447073490647,0.032095124684470004,4.6346265151973,4.209352581435424
42,0.056451612903225805,11.469035358176928,0.04578105128568157,5.173925973506121,3.9676996556912534
43,0.05779569892473118,12.565940815973626,0.050159578637864834,5.36161730601016,3.641034835590847
44,0.05913978494623656,13.678454414671782,0.05460040914604755,5.281800419633532,3.39666040418523
45,0.06048387096774194,14.135079247933236,0.056423122587675775,5.234154252876077,3.182115162113787
46,0.06182795698924731,0.0,0.0,5.1382658849007985,3.0177240248007497
47,0.06317204301075269,0.0,0.0,3.7911618213477105,3.7911618213477105
48,0.06451612903225806,0.6656004975531589,0.002656883474731917,4.217715338719969,4.217715338719969
49,0.06586021505376344,2.703850275495388,0.01079298339097064,4.535586150326654,4.435732892173094
50,0.06720430107526881,4.3555384304449145,0.017386041810289757,4.870336332840617,4.4647052364695545
51,0.06854838709677419,6.3041281100976745,0.02516424470817611,5.064702143252298,4.4112851087221685
52,0.06989247311827956,6.344189005078077,0.025324156141908024,5.2314035887497585,4.285659506639277
53,0.07123655913978495,7.761755046505779,0.03098266722123546,5.170742352516831,4.218988342674856
54,0.07258064516129033,41.78524770243636,0.16679454795527157,5.256288152639516,4.0918711589134364
