ln(t/ts),H: 131.59 m,H: 131.59 m bhw
-49.17246681372833,-1.7454860768341292,1.3374096504444631e-05
-47.77342500432373,-1.7404581192070068,1.629519906878625e-05
-46.374383194919126,-1.7354301615798844,1.9216301633127872e-05
-44.975341385514525,-1.730402203952762,2.213740419746949e-05
-43.576299576109925,-1.7253742463256398,2.5058506761811113e-05
-42.177257766705324,-1.7203462886985175,2.797960932615273e-05
-40.77821595730073,-1.715318331071395,3.090071189049434e-05
-39.37917414789612,-1.7102903734442727,3.382181445483597e-05
-37.98013233849153,-1.7052624158171503,3.6742917019177575e-05
-36.58109052908692,-1.700234458190028,3.966401958351921e-05
-35.18204871968233,-1.6952065005629058,4.2585122147860816e-05
-33.78300691027773,-1.6901785429357834,4.550622471220244e-05
-32.38396510087313,-1.685150585308661,4.842732727654406e-05
-30.984923291468526,-1.6801226276815386,5.134842984088568e-05
-29.585881482063925,-1.6750946700544163,5.42695324052273e-05
-28.186839672659325,-1.6700667124272939,5.7190634969568915e-05
-26.787797863254724,-1.6650387548001717,6.011173753391054e-05
-25.388756053850123,-1.6600107971730493,6.303284009825216e-05
-23.989714244445523,-1.654982839545927,6.595394266259379e-05
-22.590672435040922,-1.6499548819188046,6.88750452269354e-05
-21.19163062563632,-1.6449269242916822,7.179614779127702e-05
-19.792588816231724,-1.6398989666645598,7.471725035561864e-05
-18.393547006827124,-1.6348710090374377,7.763835291996026e-05
-16.99450519742252,-1.6298430514103153,8.055945548430187e-05
-15.595463388017926,-1.4270825217253056,0.0008047080821542754
-14.196421578613325,-0.8859895901600188,0.026380969607529444
-12.797379769208725,0.0046594365926600125,0.29310976621352575
-11.398337959804124,0.9713785962471172,0.93947633321825
-9.999296150399523,1.792267367394281,1.680604606450377
-8.600254340994923,2.5298658083299794,2.4012833604386126
-8.5,2.5940391363748785,2.5940391363748785
-7.8,2.9409616672156713,2.9409616672156713
-7.2,3.239134206791812,3.239134206791812
-6.5,3.6025885940536897,3.6025885940536897
-5.9,3.9560081949482755,3.9560081949482755
-5.2,4.441372956509166,4.441372956509166
-4.5,4.995596473118002,4.995596473118002
-3.963,5.448100293260279,5.448100293260279
-3.27,6.041230197084747,6.041230197084747
-2.864,6.384471438564432,6.384471438564432
-2.577,6.622208997150195,6.622208997150195
-2.171,6.947996483309646,6.947996483309646
-1.884,7.169283542930638,7.169283542930638
-1.191,7.661590968096517,7.661590968096517
-0.497,8.079339907050059,8.079339907050059
-0.274,8.194034606861694,8.194034606861694
-0.051,8.297679963840611,8.297679963840611
0.196,8.399126769312755,8.399126769312755
0.419,8.47836713210255,8.47836713210255
0.642,8.546243869727213,8.546243869727213
0.873,8.60499940414174,8.60499940414174
1.112,8.654415614316076,8.654415614316076
1.335,8.691326347026193,8.691326347026193
1.679,8.733635753481549,8.733635753481549
2.028,8.76252268196554,8.76252268196554
2.275,8.776672067161936,8.776672067161936
3.003,8.799493133938498,8.799493133938498
