Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,11.167823727837451,0.04243358573854574,21.18,21.18
31,0.041666666666666664,6.454240171691827,0.024523717456246517,22.191190943408806,20.512849068984348
32,0.043010752688172046,0.6077978310225313,0.0023094062015062734,21.36533112472141,20.395364028917285
33,0.04435483870967742,0.0,0.0,20.755408908195385,20.6640668010983
34,0.0456989247311828,0.0,0.0,20.83772072674809,20.83772072674809
35,0.04704301075268817,0.0,0.0,20.927321806017876,20.927321806017876
36,0.04838709677419355,0.0,0.0,20.979231055473388,20.979231055473388
37,0.04973118279569892,-0.44013359102493355,-0.001672344310433262,21.013174989867192,21.013174989867192
38,0.051075268817204304,-1.591574451301457,-0.006047392274847183,21.009415423251156,21.075560327948804
39,0.05241935483870968,-2.3134940787122775,-0.008790418951541333,20.94463313078487,21.18382082867313
40,0.053763440860215055,-3.1608070959519017,-0.012009893975560695,20.94296894007202,21.29064939090662
41,0.05510752688172043,-0.043007977803197824,-0.00016341435520731115,20.934127698144714,21.409145484545725
42,0.056451612903225805,0.0,0.0,21.294125549536908,21.300588947584775
43,0.05779569892473118,0.0,0.0,21.241880635684637,21.241880635684637
44,0.05913978494623656,0.0,0.0,21.213797452728425,21.213797452728425
45,0.06048387096774194,0.0,0.0,21.198322361825475,21.198322361825475
46,0.06182795698924731,0.0,0.0,21.187663778638232,21.187663778638232
47,0.06317204301075269,0.0,0.0,21.179607867419026,21.179607867419026
48,0.06451612903225806,0.0,0.0,21.17276193640608,21.17276193640608
49,0.06586021505376344,0.0,0.0,21.170765378451687,21.170765378451687
50,0.06720430107526881,0.0,0.0,21.169530031442523,21.169530031442523
51,0.06854838709677419,0.0,0.0,21.168714460969664,21.168714460969664
52,0.06989247311827956,0.0,0.0,21.16818741755041,21.16818741755041
53,0.07123655913978495,0.0,0.0,21.167863200618005,21.167863200618005
54,0.07258064516129033,0.0,0.0,21.167683710624157,21.167683710624157
55,0.0739247311827957,0.0,0.0,21.167608621903177,21.167608621903177
56,0.07526881720430108,-4.959881076524631,-0.018845707457674322,21.167609392639246,21.167609392639246
57,0.07661290322580645,-8.369240771469041,-0.03180000907047208,20.718572903279572,21.463962184643943
58,0.07795698924731183,-10.768750805787713,-0.04091725673242803,20.58720393004383,21.844964402111824
59,0.0793010752688172,-13.815335415236316,-0.052493147647730345,20.603487175128137,22.221854894126462
60,0.08064516129032258,-13.272708786199868,-0.05043136782845889,20.56936363834314,22.645583365810154
61,0.08198924731182795,-17.1733089548834,-0.06525220094002067,20.896259750432762,22.89093154019195
62,0.08333333333333333,-18.849223726292422,-0.07162005513222243,20.72125409765464,23.302122514261587
63,0.0846774193548387,-19.173738467898374,-0.07285309072151398,20.850741605689663,23.683472695577443
64,0.08602150537634409,-19.125982856181835,-0.07267163711930326,21.081121679784218,23.962622045851358
65,0.08736559139784947,-8.639855904529421,-0.03282824614966613,21.289067124063827,24.163390600090803
66,0.08870967741935484,-3.781350775683756,-0.014367729672123328,22.397065519856007,23.695495035484925
67,0.09005376344086022,-3.1714194541111325,-0.012050216998274188,22.59246705515748,23.16074244196343
68,0.0913978494623656,-2.2746751896561443,-0.008642921578984084,22.353663372739593,22.830276023593974
69,0.09274193548387097,-1.561413012322591,-0.005932789999766731,22.234913501205764,22.576760105750406
70,0.09408602150537634,0.0,0.0,22.133007509929282,22.3676624351606
71,0.09543010752688172,0.0,0.0,22.131407510996667,22.131407510996667
72,0.0967741935483871,0.0,0.0,21.971104823441962,21.971104823441962
73,0.09811827956989247,0.0,0.0,21.86639331722585,21.86639331722585
74,0.09946236559139784,0.0,0.0,21.791487063516996,21.791487063516996
