ln(t/ts),H: 103.39 m,H: 103.39 m bhw
-48.690013696730794,-1.7321345668756023,1.3747389107151323e-05
-47.307600292173795,-1.7271763123393775,1.6706453678840862e-05
-45.9251868876168,-1.7222180578031527,1.9665518250530387e-05
-44.542773483059804,-1.7172598032669277,2.2624582822219928e-05
-43.160360078502805,-1.712301548730703,2.5583647393909466e-05
-41.77794667394581,-1.7073432941944782,2.854271196559899e-05
-40.395533269388814,-1.7023850396582534,3.1501776537288535e-05
-39.01311986483182,-1.6974267851220286,3.446084110897806e-05
-37.63070646027482,-1.6924685305858036,3.74199056806676e-05
-36.248293055717824,-1.6875102760495788,4.0378970252357135e-05
-34.86587965116083,-1.682552021513354,4.333803482404666e-05
-33.48346624660383,-1.6775937669771293,4.6297099395736203e-05
-32.10105284204684,-1.6726355124409045,4.925616396742573e-05
-30.71863943748984,-1.6676772579046795,5.2215228539115266e-05
-29.336226032932842,-1.6627190033684547,5.5174293110804803e-05
-27.953812628375847,-1.65776074883223,5.8133357682494335e-05
-26.57139922381885,-1.6528024942960051,6.109242225418388e-05
-25.188985819261855,-1.6478442397597803,6.405148682587341e-05
-23.80657241470486,-1.6428859852235553,6.701055139756294e-05
-22.42415901014786,-1.6379277306873306,6.996961596925247e-05
-21.041745605590865,-1.6329694761511058,7.292868054094202e-05
-19.65933220103387,-1.628011221614881,7.588774511263155e-05
-18.27691879647687,-1.6230529670786562,7.884680968432109e-05
-16.894505391919875,-1.6180947125424312,8.180587425601062e-05
-15.51209198736288,-1.5033917340296963,0.0003402256881395345
-14.12967858280588,-1.0755656125894348,0.009835367798005652
-12.747265178248888,-0.2900229892805775,0.1653845516181817
-11.364851773691889,0.6774318305310834,0.70848476571616
-9.98243836913489,1.533359147665032,1.435770130828342
-8.6000249645779,2.280466749440872,2.1551328902830593
-8.5,2.354293288740398,2.354293288740398
-7.8,2.7007153559537755,2.7007153559537755
-7.2,2.9973213589070764,2.9973213589070764
-6.5,3.3422695993700846,3.3422695993700846
-5.9,3.6363797207355106,3.6363797207355106
-5.2,3.9765566188639068,3.9765566188639068
-4.5,4.311810169136988,4.311810169136988
-3.963,4.56410008290786,4.56410008290786
-3.27,4.880539759357914,4.880539759357914
-2.864,5.059689518835202,5.059689518835202
-2.577,5.182836065627039,5.182836065627039
-2.171,5.350981755444914,5.350981755444914
-1.884,5.464950446664729,5.464950446664729
-1.191,5.718859533301255,5.718859533301255
-0.497,5.9350240221607535,5.9350240221607535
-0.274,5.994489791580969,5.994489791580969
-0.051,6.0483391358365,6.0483391358365
0.196,6.101141079583889,6.101141079583889
0.419,6.14247879932682,6.14247879932682
0.642,6.177927091334366,6.177927091334366
0.873,6.208668687974546,6.208668687974546
1.112,6.234571471392082,6.234571471392082
1.335,6.25393861839897,6.25393861839897
1.679,6.276173451141589,6.276173451141589
2.028,6.291366025539146,6.291366025539146
2.275,6.298808941807965,6.298808941807965
3.003,6.310811509875727,6.310811509875727
