Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,10.781906196462577,0.029711697552320948,25.64,25.64
31,0.041666666666666664,6.92147685306368,0.019073512895251242,26.88720336482624,25.28277981596359
32,0.043010752688172046,2.326508363478575,0.006411158805230523,26.02769816401547,24.99773367966422
33,0.04435483870967742,1.5430787171138765,0.004252261827074044,25.402468230741032,25.0562674071598
34,0.0456989247311828,1.1169485267363966,0.0030779749149357637,25.409166909470876,25.17954593277396
35,0.04704301075268817,-0.23319161461785703,-0.0006426061031338153,25.42972213956894,25.263512335244055
36,0.04838709677419355,-0.8522967559749153,-0.0023486740634656262,25.32169325119125,25.356393805163137
37,0.04973118279569892,-1.8225925209255132,-0.0050225179811551135,25.32674692646864,25.453574684101522
38,0.051075268817204304,-2.427301893415477,-0.0066889155230267314,25.283527890612792,25.554742489151337
39,0.05241935483870968,-1.644493932628194,-0.004531731723737906,25.295036772641804,25.656236383084753
40,0.053763440860215055,-1.224499029349814,-0.003374351821488556,25.461920021268707,25.706632296018054
41,0.05510752688172043,0.2990483992069385,0.0008240876361600548,25.533061988930175,25.715276065221516
42,0.056451612903225805,0.7157805554832819,0.00197247638690541,25.715453179673382,25.67095267250938
43,0.05779569892473118,0.8872665697045139,0.00244504037477111,25.71597230901709,25.60945912311939
44,0.05913978494623656,1.0913216331383055,0.003007354887464016,25.698088135620477,25.56605662350998
45,0.06048387096774194,1.2122185346370808,0.0033405104637500406,25.698624761079227,25.53622841894032
46,0.06182795698924731,0.0,0.0,25.690305036232143,25.509918384011257
47,0.06317204301075269,0.0,0.0,25.52939598243436,25.52939598243436
