Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,18.3,0.0
2,0.002688172043010753,0.0,0.0,18.3,18.3
3,0.004032258064516129,0.0,0.0,18.3,18.3
4,0.005376344086021506,0.0,0.0,18.3,18.3
5,0.006720430107526882,0.0,0.0,18.3,18.3
6,0.008064516129032258,0.0,0.0,18.3,18.3
7,0.009408602150537635,0.0,0.0,18.3,18.3
8,0.010752688172043012,0.0,0.0,18.3,18.3
9,0.012096774193548387,0.0,0.0,18.3,18.3
10,0.013440860215053764,0.0,0.0,18.3,18.3
11,0.01478494623655914,0.0,0.0,18.3,18.3
12,0.016129032258064516,0.0,0.0,18.3,18.3
13,0.01747311827956989,0.0,0.0,18.3,18.3
14,0.01881720430107527,0.0,0.0,18.3,18.3
15,0.020161290322580645,0.0,0.0,18.3,18.3
16,0.021505376344086023,0.0,0.0,18.3,18.3
17,0.0228494623655914,0.0,0.0,18.3,18.3
18,0.024193548387096774,0.0,0.0,18.3,18.3
19,0.025537634408602152,0.0,0.0,18.3,18.3
20,0.026881720430107527,0.0,0.0,18.3,18.3
21,0.028225806451612902,0.0,0.0,18.3,18.3
22,0.02956989247311828,0.0,0.0,18.3,18.3
23,0.030913978494623656,0.0,0.0,18.3,18.3
24,0.03225806451612903,0.0,0.0,18.3,18.3
25,0.033602150537634407,0.0,0.0,18.3,18.3
26,0.03494623655913978,0.0,0.0,18.3,18.3
27,0.036290322580645164,0.0,0.0,18.3,18.3
28,0.03763440860215054,0.0,0.0,18.3,18.3
29,0.038978494623655914,0.0,0.0,18.3,18.3
30,0.04032258064516129,18.322151660848295,0.08148526325291201,18.3,18.3
31,0.041666666666666664,10.588953601273964,0.04709292269512472,19.794854404992485,17.055246119628688
32,0.043010752688172046,0.9971650977415527,0.004434755371538289,18.498487855990767,16.915181181296433
33,0.04435483870967742,0.0,0.0,17.58335805995183,17.434257571416637
34,0.0456989247311828,0.0,0.0,17.73152789646892,17.73152789646892
35,0.04704301075268817,0.0,0.0,17.88045473868781,17.88045473868781
36,0.04838709677419355,0.0,0.0,17.984858482414044,17.984858482414044
37,0.04973118279569892,-0.5183188349628362,-0.002305152118467614,18.054217610061382,18.054217610061382
38,0.051075268817204304,-1.8743014216073621,-0.008335699189814041,18.051472023825013,18.128973323945708
39,0.05241935483870968,-2.7244627086498316,-0.012116675221691443,17.985858800492345,18.26611255010392
40,0.053763440860215055,-3.72229224245519,-0.01655438558173633,17.997490815505888,18.40486440065807
41,0.05510752688172043,-0.05064790646210454,-0.00022524963594163232,18.001866270219598,18.55843969329449
42,0.056451612903225805,0.0,0.0,18.39808304726739,18.405656143852788
43,0.05779569892473118,0.0,0.0,18.337474988655213,18.337474988655213
44,0.05913978494623656,0.0,0.0,18.30481219976687,18.30481219976687
45,0.06048387096774194,0.0,0.0,18.28640782061662,18.28640782061662
46,0.06182795698924731,0.0,0.0,18.274016146791393,18.274016146791393
47,0.06317204301075269,0.0,0.0,18.269051985145396,18.269051985145396
48,0.06451612903225806,0.0,0.0,18.267092874889116,18.267092874889116
49,0.06586021505376344,0.0,0.0,18.26615515921212,18.26615515921212
50,0.06720430107526881,0.0,0.0,18.265837520634925,18.265837520634925
51,0.06854838709677419,0.0,0.0,18.265943516865555,18.265943516865555
52,0.06989247311827956,0.0,0.0,18.271138533843157,18.271138533843157
53,0.07123655913978495,0.0,0.0,18.274211000890364,18.274211000890364
54,0.07258064516129033,0.0,0.0,18.274734470420956,18.274734470420956
55,0.0739247311827957,0.0,0.0,18.275069401145565,18.275069401145565
56,0.07526881720430108,-5.840953368616732,-0.025976841131970064,18.275462714656307,18.275462714656307
57,0.07661290322580645,-9.855951044521746,-0.04383299409025219,17.799345850668928,18.672710755582344
58,0.07795698924731183,-12.681709566095787,-0.0564001685838269,17.684360806060962,19.158065731198647
59,0.0793010752688172,-16.269488862167854,-0.07235632623634161,17.731753774764364,19.627978478225028
60,0.08064516129032258,-15.630470146220652,-0.06951437790754557,17.725743129265606,20.158428291493188
61,0.08198924731182795,-20.22397215632594,-0.0899433497594727,18.108520311366654,20.445656599143405
62,0.08333333333333333,-22.197596095800545,-0.09872077226132812,17.939583239374603,20.96356004668546
63,0.0846774193548387,-22.579757571832786,-0.10042038315070588,18.10429568074337,21.423377375125476
64,0.08602150537634409,-22.523518662709286,-0.10017026829521228,18.376763208442142,21.752987358877704
65,0.08736559139784947,-10.174638196221613,-0.0452503116047161,18.618926131588868,21.98674119425753
66,0.08870967741935484,-4.453069178551269,-0.019804416043179878,19.813861665613366,21.335218088096834
67,0.09005376344086022,-3.734789777815969,-0.016609966660734915,19.985874504080257,20.65171689217303
68,0.0913978494623656,-2.6787480398301393,-0.011913365485354512,19.688366943742498,20.24680905298781
69,0.09274193548387097,-1.8387821105819901,-0.00817773191266017,19.536352052438346,19.93689018028293
70,0.09408602150537634,0.0,0.0,19.40862280029371,19.683565547105136
71,0.09543010752688172,0.0,0.0,19.402754204190256,19.402754204190256
72,0.0967741935483871,0.0,0.0,19.233170941136983,19.233170941136983
73,0.09811827956989247,0.0,0.0,19.11608728166736,19.11608728166736
74,0.09946236559139784,0.0,0.0,19.028290195524463,19.028290195524463
75,0.10080645161290322,0.0,0.0,18.95930675790929,18.95930675790929
76,0.10215053763440861,0.0,0.0,18.904572625170385,18.904572625170385
77,0.10349462365591398,0.0,0.0,18.859035898807203,18.859035898807203
78,0.10483870967741936,0.0018794734826542356,8.358701223841802e-06,18.818535094847253,18.818535094847253
79,0.10618279569892473,0.0,0.0,18.782387983223508,18.782106956124696
80,0.10752688172043011,0.0,0.0,18.749411688868776,18.749411688868776
81,0.10887096774193548,-3.149378910916319,-0.014006431907643318,18.719302694120717,18.719302694120717
82,0.11021505376344086,-8.837730795127749,-0.039304598811841195,18.43541341682076,18.90632233176732
83,0.11155913978494623,-10.97678263687793,-0.04881773928044104,18.060079561283608,19.381535739483684
84,0.11290322580645161,-10.96033851140322,-0.04874460628175869,18.139305348276586,19.780601917330088
85,0.11424731182795698,-14.594161358804476,-0.06490553633058399,18.3750414759879,20.01387924744874
86,0.11559139784946236,-16.891076805111865,-0.07512075358653438,18.236085237192412,20.418268100679626
87,0.11693548387096774,-17.787610525993014,-0.079107964674696,18.298442842031864,20.824070553262057
88,0.11827956989247312,-16.62961521006399,-0.07395793890748505,18.4796669610393,21.139348317021405
89,0.1196236559139785,-5.884365859869964,-0.026169912248491464,18.78707485918931,21.27360768869618
90,0.12096774193548387,-2.5531149212033606,-0.011354629375421373,19.783665452156853,20.663521582714896
91,0.12231182795698925,-1.2385715307551022,-0.005508377460754463,19.767698967687622,20.149451881924268
92,0.12365591397849462,0.0,0.0,19.599277030395744,19.78447366507502
93,0.125,0.0,0.0,19.482137679186387,19.482137679186387
94,0.12634408602150538,0.0,0.0,19.290816287384594,19.290816287384594
95,0.12768817204301075,0.0,0.0,19.166149523812955,19.166149523812955
96,0.12903225806451613,0.0,0.0,19.078123921653464,19.078123921653464
97,0.1303763440860215,0.0,0.0,19.01068204370501,19.01068204370501
98,0.13172043010752688,0.0,0.0,18.957142827934373,18.957142827934373
99,0.13306451612903225,0.0,0.0,18.91265778885825,18.91265778885825
100,0.13440860215053763,0.0,0.0,18.87470353590586,18.87470353590586
101,0.135752688172043,0.0,0.0,18.841835876471006,18.841835876471006
102,0.13709677419354838,8.93564342769912,0.0397400518518852,18.81301903532702,18.81301903532702
103,0.13844086021505375,5.208856341982732,0.023165676069587336,19.51568978699242,18.179593283551096
104,0.13978494623655913,0.49806047290337235,0.0022150558243180774,18.86198665132125,18.083135659586528
105,0.14112903225806453,-1.062948270685207,-0.004727317034826984,18.388074185958327,18.313602004773735
106,0.1424731182795699,-4.302112106693438,-0.019133055115275924,18.351590582371287,18.510527258760934
107,0.14381720430107528,-6.594752080377404,-0.0293292577915689,18.178549696190288,18.82182032238243
108,0.14516129032258066,-7.084787019523741,-0.03150862115230288,18.16478501456357,19.1508612011246
109,0.14650537634408603,-10.187464614091885,-0.04530735534368833,18.313861173075665,19.37320952789801
110,0.1478494623655914,-11.644085248641634,-0.051785476366970735,18.19795096013093,19.721225244736676
111,0.14919354838709678,-13.108927945928734,-0.0583001638895943,18.289535953827567,20.03061052919128
112,0.15053763440860216,-12.683025096133765,-0.05640601922372149,18.36556209852736,20.32566636344537
113,0.15188172043010753,-4.38630602912395,-0.019507496068529546,18.591948762699964,20.48837016996804
114,0.1532258064516129,-2.3676251858486403,-0.010529689150284488,19.394172245579615,20.050031915446183
115,0.15456989247311828,-2.1903575132312745,-0.009741315424488774,19.35408529137936,19.708102968770785
116,0.15591397849462366,-1.7256465273159907,-0.007674576881725616,19.187864081559844,19.515375920902375
117,0.15725806451612903,-1.3237521007140962,-0.005887206393929027,19.109787490571723,19.367813709945636
118,0.1586021505376344,0.0,0.0,19.04749337749087,19.245426583700134
119,0.15994623655913978,0.0,0.0,19.081440913228075,19.081440913228075
120,0.16129032258064516,0.0,0.0,18.984010922049947,18.984010922049947
121,0.16263440860215053,0.0,0.0,18.91704908647513,18.91704908647513
122,0.1639784946236559,0.0,0.0,18.866798618763536,18.866798618763536
123,0.16532258064516128,0.0,0.0,18.82724538371262,18.82724538371262
124,0.16666666666666666,0.0,0.0,18.802045729213077,18.802045729213077
125,0.16801075268817203,0.0,0.0,18.779466753416482,18.779466753416482
126,0.1693548387096774,0.10587700618952194,0.0004708735022764215,18.756621038173257,18.756621038173257
127,0.17069892473118278,0.0,0.0,18.74448692090817,18.728655727675218
128,0.17204301075268819,-2.67644586226368,-0.011903126865538984,18.712649828389136,18.712649828389136
129,0.17338709677419356,-7.156812289102968,-0.031828943686531566,18.477697511592357,18.877891407773966
