ln(t/ts),H: 123.05 m,H: 123.05 m bhw
-49.038214445005735,-1.741107608000131,1.3495233961020217e-05
-47.64379711590954,-1.7360995498627168,1.6430495565924722e-05
-46.24937978681335,-1.7310914917253024,1.9365757170829228e-05
-44.85496245771716,-1.7260834335878883,2.2301018775733733e-05
-43.460545128620964,-1.721075375450474,2.523628038063824e-05
-42.06612779952477,-1.7160673173130596,2.8171541985542745e-05
-40.67171047042858,-1.7110592591756453,3.110680359044725e-05
-39.277293141332386,-1.706051201038231,3.404206519535176e-05
-37.88287581223619,-1.7010431429008166,3.697732680025626e-05
-36.48845848314,-1.6960350847634025,3.991258840516077e-05
-35.09404115404381,-1.6910270266259881,4.284785001006527e-05
-33.699623824947615,-1.6860189684885738,4.578311161496978e-05
-32.30520649585142,-1.6810109103511595,4.871837321987428e-05
-30.910789166755226,-1.6760028522137451,5.165363482477879e-05
-29.516371837659033,-1.6709947940763308,5.4588896429683305e-05
-28.12195450856284,-1.6659867359389167,5.75241580345878e-05
-26.727537179466648,-1.6609786778015023,6.0459419639492316e-05
-25.333119850370455,-1.655970619664088,6.339468124439683e-05
-23.938702521274262,-1.6509625615266736,6.632994284930133e-05
-22.54428519217807,-1.6459545033892593,6.926520445420584e-05
-21.149867863081877,-1.640946445251845,7.220046605911034e-05
-19.755450533985684,-1.6359383871144308,7.513572766401484e-05
-18.36103320488949,-1.6309303289770165,7.807098926891935e-05
-16.966615875793295,-1.6259222708396022,8.100625087382386e-05
-15.572198546697102,-1.4499410655080647,0.0006214056639751083
-14.17778121760091,-0.9417544953958681,0.02027787312514451
-12.783363888504716,-0.07860969813821754,0.2532333707397823
-11.388946559408524,0.8913472511647674,0.8741638429477093
-9.994529230312331,1.7212467644347254,1.6127970602189712
-8.600111901216142,2.460840433256341,2.3330038673775877
-8.5,2.5307696527808834,2.5307696527808834
-7.8,2.8776375128578757,2.8776375128578757
-7.2,3.175337815222916,3.175337815222916
-6.5,3.5333729623203767,3.5333729623203767
-5.9,3.8738885792758206,3.8738885792758206
-5.2,4.341043931500405,4.341043931500405
-4.5,4.882967663228225,4.882967663228225
-3.963,5.330734482070921,5.330734482070921
-3.27,5.921394957431206,5.921394957431206
-2.864,6.264193265049891,6.264193265049891
-2.577,6.501857302737134,6.501857302737134
-2.171,6.827751476149723,6.827751476149723
-1.884,7.049203492501313,7.049203492501313
-1.191,7.542053268724374,7.542053268724374
-0.497,7.9604055574738535,7.9604055574738535
-0.274,8.075294272582436,8.075294272582436
-0.051,8.179125874113824,8.179125874113824
0.196,8.280768959545775,8.280768959545775
0.419,8.360173681576214,8.360173681576214
0.642,8.42820093591796,8.42820093591796
0.873,8.48709468504984,8.48709468504984
1.112,8.536633620220755,8.536633620220755
1.335,8.573640671978184,8.573640671978184
1.679,8.616065599565976,8.616065599565976
2.028,8.645035563793153,8.645035563793153
2.275,8.659227205492646,8.659227205492646
3.003,8.682119131195787,8.682119131195787
