ln(t/ts),H: 122.46 m,H: 122.46 m bhw
-49.02869045970675,-1.74081861569543,1.3503272956590935e-05
-47.63460541429159,-1.735811967695406,1.6439414305913507e-05
-46.240520368876425,-1.7308053196953823,1.9375555655236094e-05
-44.846435323461264,-1.7257986716953584,2.2311697004558667e-05
-43.4523502780461,-1.7207920236953347,2.5247838353881254e-05
-42.05826523263094,-1.7157853756953108,2.8183979703203828e-05
-40.66418018721578,-1.7107787276952868,3.11201210525264e-05
-39.27009514180061,-1.7057720796952631,3.405626240184899e-05
-37.87601009638545,-1.7007654316952392,3.699240375117156e-05
-36.48192505097029,-1.6957587836952155,3.992854510049413e-05
-35.08784000555512,-1.6907521356951916,4.2864686449816716e-05
-33.69375496013996,-1.6857454876951676,4.580082779913929e-05
-32.2996699147248,-1.680738839695144,4.873696914846186e-05
-30.905584869309635,-1.67573219169512,5.167311049778445e-05
-29.511499823894475,-1.6707255436950963,5.4609251847107024e-05
-28.11741477847931,-1.6657188956950724,5.7545393196429604e-05
-26.723329733064148,-1.6607122476950484,6.0481534545752184e-05
-25.329244687648984,-1.6557055996950247,6.341767589507476e-05
-23.93515964223382,-1.6506989516950008,6.635381724439734e-05
-22.54107459681866,-1.645692303694977,6.928995859371991e-05
-21.146989551403497,-1.6406856556949532,7.22260999430425e-05
-19.752904505988333,-1.6356790076949292,7.516224129236507e-05
-18.358819460573173,-1.6306723596949055,7.809838264168765e-05
-16.964734415158006,-1.6256657116948816,8.103452399101023e-05
-15.570649369742846,-1.4513854735723832,0.0006137671724860492
-14.176564324327686,-0.945696130307742,0.01988095545350586
-12.782479278912518,-0.08456274654668755,0.25050013659846926
-11.388394233497358,0.8855443212403041,0.8694952439317174
-9.994309188082198,1.716116851471647,1.6079162875909179
-8.600224142667031,2.455871737587279,2.328092893561664
-8.5,2.526142515902744,2.526142515902744
-7.8,2.873003582707949,2.873003582707949
-7.2,3.170673046503596,3.170673046503596
-6.5,3.528368292803484,3.528368292803484
-5.9,3.868058505992217,3.868058505992217
-5.2,4.333985641785244,4.333985641785244
-4.5,4.874987910616259,4.874987910616259
-3.963,5.322344847943849,5.322344847943849
-3.27,5.91274623038025,5.91274623038025
-2.864,6.255479111697868,6.255479111697868
-2.577,6.493120593709648,6.493120593709648
-2.171,6.8190058486179135,6.8190058486179135
-1.884,7.0404623964746875,7.0404623964746875
-1.191,7.53334410576417,7.53334410576417
-0.497,7.951741343914579,7.951741343914579
-0.274,8.066645450354653,8.066645450354653
-0.051,8.170492133643569,8.170492133643569
0.196,8.27215136479769,8.27215136479769
0.419,8.351569783894401,8.351569783894401
0.642,8.419609677147845,8.419609677147845
0.873,8.478515119829733,8.478515119829733
1.112,8.528064503153448,8.528064503153448
1.335,8.565079785610262,8.565079785610262
1.679,8.607514626358778,8.607514626358778
2.028,8.636491734211402,8.636491734211402
2.275,8.65068701538011,8.65068701538011
3.003,8.673585047183966,8.673585047183966
