ln(t/ts),H: 122.47 m,H: 122.47 m bhw
-49.02875034339063,-1.7408204242539604,1.3503222686639847e-05
-47.63466529797547,-1.7358137748974631,1.6439354152280388e-05
-46.2405802525603,-1.7308071255409658,1.9375485617920947e-05
-44.84649520714514,-1.7258004761844685,2.231161708356149e-05
-43.45241016172997,-1.7207938268279712,2.5247748549202045e-05
-42.05832511631481,-1.715787177471474,2.8183880014842587e-05
-40.66424007089965,-1.7107805281149768,3.112001148048313e-05
-39.270155025484485,-1.7057738787584795,3.405614294612369e-05
-37.876069980069325,-1.7007672294019822,3.699227441176423e-05
-36.481984934654164,-1.695760580045485,3.992840587740477e-05
-35.087899889239,-1.6907539306889876,4.2864537343045325e-05
-33.69381484382384,-1.6857472813324903,4.580066880868587e-05
-32.29972979840868,-1.680740631975993,4.8736800274326417e-05
-30.90564475299351,-1.6757339826194957,5.167293173996697e-05
-29.51155970757835,-1.6707273332629984,5.4609063205607515e-05
-28.117474662163186,-1.665720683906501,5.754519467124806e-05
-26.723389616748022,-1.6607140345500038,6.048132613688861e-05
-25.32930457133286,-1.6557073851935067,6.341745760252916e-05
-23.935219525917695,-1.6507007358370094,6.635358906816971e-05
-22.541134480502535,-1.645694086480512,6.928972053381025e-05
-21.14704943508737,-1.6406874371240148,7.22258519994508e-05
-19.752964389672208,-1.6356807877675175,7.516198346509135e-05
-18.358879344257048,-1.6306741384110202,7.809811493073189e-05
-16.96479429884188,-1.6256674890545229,8.103424639637245e-05
-15.57070925342672,-1.4513871868592287,0.0006137653683735871
-14.17662420801156,-0.9456975746093389,0.019880921310992186
-12.782539162596393,-0.08456357433453046,0.25049999435585946
-11.388454117181233,0.8855440902984484,0.8694951530429913
-9.994369071766073,1.716116805479061,1.607916265137875
-8.600284026350906,2.4558717273616026,2.3280928884479244
-8.5,2.526171653451798,2.526171653451798
-7.8,2.8730327640790603,2.8730327640790603
-7.2,3.170702420686848,3.170702420686848
-6.5,3.528399786296105,3.528399786296105
-5.9,3.868095152936986,3.868095152936986
-5.2,4.3340299842657135,4.3340299842657135
-4.5,4.875038063835446,4.875038063835446
-3.963,5.322397605930464,5.322397605930464
-3.27,5.912800649224675,5.912800649224675
-2.864,6.255533954878567,6.255533954878567
-2.577,6.493175585343284,6.493175585343284
-2.171,6.819060902658792,6.819060902658792
-1.884,7.040517424794132,7.040517424794132
-1.191,7.533398935886016,7.533398935886016
-0.497,7.951795890677619,7.951795890677619
-0.274,8.066699899747789,8.066699899747789
-0.051,8.170546487519562,8.170546487519562
0.196,8.272205616333355,8.272205616333355
0.419,8.351623948551826,8.351623948551826
0.642,8.419663761607445,8.419663761607445
0.873,8.478569130061606,8.478569130061606
1.112,8.528118447042042,8.528118447042042
1.335,8.565133677226054,8.565133677226054
1.679,8.607568455003234,8.607568455003234
2.028,8.636545517471662,8.636545517471662
2.275,8.650740775517136,8.650740775517136
3.003,8.673638768525107,8.673638768525107
