ln(t/ts),H: 121.88 m,H: 121.88 m bhw
-49.01916814827673,-1.7405323955077352,1.3511240252746515e-05
-47.625406995629106,-1.7355271253683513,1.6448264083976427e-05
-46.231645842981486,-1.7305218552289674,1.9385287915206336e-05
-44.837884690333865,-1.7255165850895835,2.2322311746436246e-05
-43.444123537686245,-1.7205113149501996,2.5259335577666156e-05
-42.050362385038625,-1.7155060448108157,2.819635940889607e-05
-40.656601232391004,-1.7105007746714318,3.1133383240125976e-05
-39.262840079743384,-1.705495504532048,3.407040707135589e-05
-37.869078927095764,-1.700490234392664,3.70074309025858e-05
-36.47531777444814,-1.69548496425328,3.994445473381571e-05
-35.08155662180052,-1.6904796941138962,4.288147856504562e-05
-33.6877954691529,-1.6854744239745123,4.5818502396275536e-05
-32.29403431650528,-1.6804691538351284,4.875552622750544e-05
-30.900273163857662,-1.6754638836957445,5.1692550058735355e-05
-29.50651201121004,-1.6704586135563606,5.462957388996526e-05
-28.11275085856242,-1.6654533434169767,5.7566597721195175e-05
-26.7189897059148,-1.6604480732775928,6.050362155242509e-05
-25.32522855326718,-1.655442803138209,6.3440645383655e-05
-23.93146740061956,-1.650437532998825,6.63776692148849e-05
-22.53770624797194,-1.645432262859441,6.931469304611482e-05
-21.14394509532432,-1.6404269927200572,7.225171687734473e-05
-19.7501839426767,-1.6354217225806733,7.518874070857463e-05
-18.35642279002908,-1.6304164524412896,7.812576453980455e-05
-16.96266163738146,-1.6254111823019057,8.106278837103446e-05
-15.568900484733838,-1.4527889089832102,0.0006063194463314233
-14.175139332086218,-0.949533809211856,0.019493988750920573
-12.781378179438597,-0.090358978509057,0.2478483084407749
-11.387617026790977,0.879882384089176,0.8649483504240885
-9.993855874143357,1.711113068664183,1.6031577525087042
-8.600094721495736,2.45102734361113,2.3233053043263197
-8.5,2.5215023691476404,2.5215023691476404
-7.8,2.8683562911818576,2.8683562911818576
-7.2,3.1659952694827216,3.1659952694827216
-6.5,3.5233563701844286,3.5233563701844286
-5.9,3.862232929478277,3.862232929478277
-5.2,4.326940705219599,4.326940705219599
-4.5,4.867016311900507,4.867016311900507
-3.963,5.31395466977246,5.31395466977246
-3.27,5.9040868957492085,5.9040868957492085
-2.864,6.2467502383226,6.2467502383226
-2.577,6.4843670582221575,6.4843670582221575
-2.171,6.810241380984794,6.810241380984794
-1.884,7.031701577284316,7.031701577284316
-1.191,7.524614389988846,7.524614389988846
-0.497,7.9430568019349455,7.9430568019349455
-0.274,8.05797648596201,8.05797648596201
-0.051,8.161838467163424,8.161838467163424
0.196,8.263514102436398,8.263514102436398
0.419,8.34294645653312,8.34294645653312
0.642,8.41099921821019,8.41099921821019
0.873,8.469916575864627,8.469916575864627
1.112,8.51947661187387,8.51947661187387
1.335,8.556500289281026,8.556500289281026
1.679,8.598945245249983,8.598945245249983
2.028,8.627929644172776,8.627929644172776
2.275,8.642128640345147,8.642128640345147
3.003,8.6650329052965,8.6650329052965
