ln(t/ts),H: 120.70 m,H: 120.70 m bhw
-48.999665515604576,-1.7399545749561844,1.3527340744825206e-05
-47.606585120260256,-1.734952182786716,1.646609007685836e-05
-46.21350472491593,-1.7299497906172476,1.9404839408891533e-05
-44.82042432957161,-1.724947398447779,2.234358874092469e-05
-43.42734393422728,-1.7199450062783106,2.528233807295786e-05
-42.03426353888296,-1.7149426141088422,2.8221087404991017e-05
-40.64118314353864,-1.7099402219393738,3.115983673702417e-05
-39.24810274819431,-1.7049378297699052,3.4098586069057343e-05
-37.85502235284999,-1.6999354376004367,3.7037335401090505e-05
-36.461941957505665,-1.6949330454309683,3.997608473312367e-05
-35.068861562161345,-1.6899306532615,4.291483406515683e-05
-33.67578116681702,-1.6849282610920313,4.5853583397189996e-05
-32.2827007714727,-1.679925868922563,4.879233272922316e-05
-30.889620376128374,-1.6749234767530945,5.173108206125632e-05
-29.496539980784053,-1.669921084583626,5.4669831393289474e-05
-28.10345958543973,-1.6649186924141577,5.760858072532264e-05
-26.710379190095406,-1.659916300244689,6.0547330057355804e-05
-25.317298794751082,-1.6549139080752207,6.348607938938897e-05
-23.924218399406758,-1.6499115159057522,6.642482872142213e-05
-22.531138004062438,-1.6449091237362838,6.936357805345529e-05
-21.138057608718114,-1.6399067315668152,7.230232738548846e-05
-19.74497721337379,-1.6349043393973468,7.524107671752161e-05
-18.351896818029466,-1.6299019472278784,7.817982604955477e-05
-16.958816422685146,-1.62489955505841,8.111857538158792e-05
-15.565736027340819,-1.4557604948354874,0.0005906214040924384
-14.172655631996498,-0.9576162935643899,0.018679723020666714
-12.779575236652171,-0.10253375009929831,0.24232664290836028
-11.38649484130785,0.8679587330754472,0.8554026727459341
-9.99341444596353,1.7005840806147534,1.59315254421575
-8.600334050619201,2.4408413801683193,2.3132406067346145
-8.5,2.5119494311294175,2.5119494311294175
-7.8,2.858787629464971,2.858787629464971
-7.2,3.1563651875526273,3.1563651875526273
-6.5,3.5130588422946087,3.5130588422946087
-5.9,3.85030322313044,3.85030322313044
-5.2,4.312538196100217,4.312538196100217
-4.5,4.850698070063136,4.850698070063136
-3.963,5.296751648455398,5.296751648455398
-3.27,5.886301259693961,5.886301259693961
-2.864,6.228809450695795,6.228809450695795
-2.577,6.466369262821592,6.466369262821592
-2.171,6.7922150106523596,6.7922150106523596
-1.884,7.013679984584321,7.013679984584321
-1.191,7.50665402594117,7.50665402594117
-0.497,7.925189738883958,7.925189738883958
-0.274,8.040141929706998,8.040141929706998
-0.051,8.144035935819513,8.144035935819513
0.196,8.245745993190159,8.245745993190159
0.419,8.325207644631934,8.325207644631934
0.642,8.393287491210714,8.393287491210714
0.873,8.45222995426778,8.45222995426778
1.112,8.50181245608115,8.50181245608115
1.335,8.538853847264878,8.538853847264878
1.679,8.581320159571174,8.581320159571174
2.028,8.610319957689978,8.610319957689978
2.275,8.624526801428626,8.624526801428626
3.003,8.647444234225254,8.647444234225254
