Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,12.118094034047326,0.05019938393537935,6.1,0.0
2,0.002688172043010753,12.092370329914937,0.05009282311019069,7.133520254751729,5.317772710756078
3,0.004032258064516129,12.399339865894795,0.05136444895744214,6.697236144912841,4.8853429820161995
4,0.005376344086021506,11.999250520955684,0.04970707292300771,6.451946490124439,4.594057712779612
5,0.006720430107526882,14.805192167716822,0.0613307277345877,6.21414097204147,4.416200668723246
6,0.008064516129032258,13.241705430550136,0.0548539607796204,6.31138636023309,4.093010166634849
7,0.009408602150537635,14.102077588098153,0.05841806517943075,5.959798329103745,3.9756914187033354
8,0.010752688172043012,11.650094110198705,0.04826068732244684,5.940107225937213,3.8270841157119135
9,0.012096774193548387,10.967558493885948,0.04543327342744083,5.61563877731694,3.8700152734492788
10,0.013440860215053764,9.376633138978047,0.0388428415922723,5.55020513876745,3.906851213393522
11,0.01478494623655914,9.247843126955212,0.038309327060827694,5.41182360377705,4.006850301439897
12,0.016129032258064516,8.504599568890013,0.03523042961837642,5.44283663026895,4.057160929300841
13,0.01747311827956989,8.567193915612163,0.03548972762633552,5.396679230240073,4.122369447159362
14,0.01881720430107527,8.461383745947598,0.03505140743205946,5.432556680573998,4.148867903485695
15,0.020161290322580645,10.170123665781846,0.04212988784659209,5.431749855658037,4.163915432823662
16,0.021505376344086023,10.105985896811754,0.04186419618912168,5.581034511027356,4.05716639972274
17,0.0228494623655914,12.2691779229849,0.050825251181987476,5.510453926837758,3.996196072406673
18,0.024193548387096774,12.370357825905634,0.05124439042772956,5.651827057958037,3.8134414489742
19,0.025537634408602152,14.293461946843136,0.059210877718834445,5.547552510712582,3.694006336072639
20,0.026881720430107527,13.527581529141434,0.056038206750217145,5.628746588845505,3.487046883243571
21,0.028225806451612902,15.20511002129505,0.06298739336352087,5.430199139537072,3.4032572071896627
22,0.02956989247311828,14.458093653290435,0.05989286700004193,5.505803313775788,3.2275043420249365
23,0.030913978494623656,16.074056746887194,0.06658701803839409,5.323563734192225,3.157195989556626
24,0.03225806451612903,14.506282725698446,0.06009249094589536,5.40125717877004,2.992757213494629
25,0.033602150537634407,15.997057125850908,0.06626804596832934,5.155603211290989,2.9820149260632443
26,0.03494623655913978,15.185731497515318,0.06290711754187875,5.258193332721198,2.8612308148688235
27,0.036290322580645164,17.20984403001267,0.07129203367322444,5.103867157470427,2.8284718194808303
28,0.03763440860215054,16.780429662362636,0.06951317829807495,5.24122428482885,2.662540546095149
29,0.038978494623655914,18.87399619601744,0.07818580865743005,5.095358193060531,2.5810169228063042
30,0.04032258064516129,52.638587257471244,0.2180561269890742,5.210753456521296,2.382716956555637
31,0.041666666666666664,32.39180271758857,0.1341835222940755,7.959220364656725,0.07197462587845276
32,0.043010752688172046,16.358046440508787,0.067763449548477,4.9278004423098265,0.07428667481438281
33,0.04435483870967742,8.546100478223602,0.0354023477496808,3.448290213087086,0.9972378804786037
34,0.0456989247311828,5.659729383208524,0.02344551275801091,3.2080378712287327,1.9275096866416186
35,0.04704301075268817,5.0564227756235285,0.020946306204585995,3.4489895723161705,2.6009486429119777
36,0.04838709677419355,5.394089265201373,0.02234509463656259,3.7920643602407855,3.0344215155453753
37,0.04973118279569892,3.3027521192380376,0.013681699548723815,4.140403476499771,3.332165455911356
38,0.051075268817204304,2.319420655937196,0.009608234404511636,4.158692961088553,3.6638161238496547
39,0.05241935483870968,2.1348959516275166,0.008843838085158253,4.28286894453537,3.9353322487746296
40,0.053763440860215055,2.8031977849870175,0.011612288323559868,4.446226322932204,4.126338387588363
41,0.05510752688172043,7.950853964600091,0.03293653025481501,4.640611366374101,4.220586610077978
42,0.056451612903225805,11.341238169249138,0.04698124701468156,5.163554409087089,3.972216603131067
43,0.05779569892473118,12.425921026831597,0.05147456181013709,5.342354395456206,3.6430091606506583
44,0.05913978494623656,13.526038106893493,0.05603181310070583,5.260172593657372,3.3983009558435677
45,0.06048387096774194,13.977574860097382,0.05790231078551759,5.210272889844765,3.183562220363296
46,0.06182795698924731,0.0,0.0,5.114520899681764,3.0201529939756733
47,0.06317204301075269,0.0,0.0,3.8131110328371713,3.8131110328371713
48,0.06451612903225806,0.6581838430674277,0.002726536313827406,4.239328614705473,4.239328614705473
49,0.06586021505376344,2.6737218075206526,0.011075932170110235,4.5548075519244025,4.456186787537732
50,0.06720430107526881,4.307005528566557,0.017841834164089444,4.882528444259561,4.481904072828456
51,0.06854838709677419,6.233882459443476,0.025823950376221993,5.071981043152479,4.426629167808229
52,0.06989247311827956,6.273496963807357,0.025988054047012547,5.232689174578946,4.298618459044849
53,0.07123655913978495,7.675267347661749,0.03179490861429374,5.165684610930891,4.225678148504318
54,0.07258064516129033,41.31964296513684,0.17116723268955616,5.247900964951032,4.097856428502405
55,0.0739247311827957,24.906719289145627,0.10317645338067667,8.053547590666675,1.8623066230748075
56,0.07526881720430108,12.822237561831292,0.05311630892354385,5.410261587614002,1.6782956323085043
57,0.07661290322580645,7.214984535052845,0.029888180248917828,4.184801187945038,2.2635463853324853
