ln(t/ts),H: 117.21 m,H: 117.21 m bhw
-48.940979966251184,-1.7382819044999995,1.357407090560969e-05
-47.5499131112396,-1.7332879959225567,1.651772874877309e-05
-46.15884625622802,-1.7282940873451138,1.9461386591936478e-05
-44.76777940121643,-1.7233001787676707,2.240504443509988e-05
-43.37671254620485,-1.7183062701902279,2.5348702278263265e-05
-41.98564569119326,-1.713312361612785,2.8292360121426667e-05
-40.59457883618168,-1.7083184530353421,3.123601796459005e-05
-39.203511981170095,-1.7033245444578993,3.4179675807753453e-05
-37.81244512615851,-1.6983306358804562,3.7123333650916855e-05
-36.42137827114693,-1.6933367273030133,4.0066991494080244e-05
-35.03031141613534,-1.6883428187255705,4.3010649337243646e-05
-33.63924456112376,-1.6833489101481276,4.595430718040703e-05
-32.24817770611217,-1.6783550015706847,4.889796502357043e-05
-30.85711085110059,-1.6733610929932417,5.1841622866733824e-05
-29.466043996089002,-1.6683671844157988,5.4785280709897226e-05
-28.07497714107742,-1.663373275838356,5.772893855306062e-05
-26.683910286065835,-1.658379367260913,6.067259639622401e-05
-25.29284343105425,-1.65338545868347,6.36162542393874e-05
-23.901776576042668,-1.6483915501060271,6.65599120825508e-05
-22.51070972103108,-1.6433976415285843,6.950356992571421e-05
-21.119642866019497,-1.6384037329511414,7.24472277688776e-05
-19.728576011007913,-1.6334098243736985,7.539088561204099e-05
-18.33750915599633,-1.6284159157962554,7.833454345520438e-05
-16.946442300984746,-1.6234220072188126,8.127820129836778e-05
-15.555375445973162,-1.4645792256412338,0.0005439926096347917
-14.164308590961575,-0.9807260158344755,0.016651369304627052
-12.773241735949995,-0.13840901008027162,0.22641468915021773
-11.382174880938408,0.8325257276358059,0.8272693204546574
-9.99110802592682,1.6693477319213441,1.5635316086847846
-8.60004117091524,2.4106815492522458,2.2834543522117063
-8.5,2.482850904279421,2.482850904279421
-7.8,2.8296333758597694,2.8296333758597694
-7.2,3.1270342082372817,3.1270342082372817
-6.5,3.4818529235180042,3.4818529235180042
-5.9,3.8144571701769965,3.8144571701769965
-5.2,4.269449952345351,4.269449952345351
-4.5,4.8017129896279265,4.8017129896279265
-3.963,5.244893718595193,5.244893718595193
-3.27,5.832448717774038,5.832448717774038
-2.864,6.1743917503988595,6.1743917503988595
-2.577,6.4117297780325755,6.4117297780325755
-2.171,6.737441631633111,6.737441631633111
-1.884,6.958900051643758,6.958900051643758
-1.191,7.452038933703407,7.452038933703407
-0.497,7.8708611535526884,7.8708611535526884
-0.274,7.98591572989709,7.98591572989709
-0.051,8.089911378689024,8.089911378689024
0.196,8.191731305444328,8.191731305444328
0.419,8.271286896198927,8.271286896198927
0.642,8.339453814590977,8.339453814590977
0.873,8.39847719187696,8.39847719187696
1.112,8.44813225217567,8.44813225217567
1.335,8.485230924820932,8.485230924820932
1.679,8.527766393317771,8.527766393317771
2.028,8.556816098649241,8.556816098649241
2.275,8.571048384924023,8.571048384924023
3.003,8.594008516295519,8.594008516295519
