Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,13.992881979582453,0.059691826004161924,21.18,21.18
31,0.041666666666666664,8.086931096991096,0.03449780285816741,22.35101972452321,20.256245388402988
32,0.043010752688172046,0.7615488500006405,0.003248668967138985,21.35333791175145,20.142701264871434
33,0.04435483870967742,0.0,0.0,20.637650247508567,20.52364421293964
34,0.0456989247311828,0.0,0.0,20.746886418398528,20.746886418398528
35,0.04704301075268817,0.0,0.0,20.86019975758162,20.86019975758162
36,0.04838709677419355,0.0,0.0,20.93211611195088,20.93211611195088
37,0.04973118279569892,-0.43047552019132124,-0.0018363529319982304,20.98900139061879,20.98900139061879
38,0.051075268817204304,-1.5566497395750887,-0.006640466598640809,20.98747761041462,21.051921023382768
39,0.05241935483870968,-2.262727924660473,-0.009652504878599836,20.92900458089105,21.162039486034118
40,0.053763440860215055,-3.0914479299018867,-0.013187717312408611,20.93529670243311,21.274033525420506
41,0.05510752688172043,-0.04206423230295906,-0.00017944057838053778,20.93570334888952,21.39850191993869
42,0.056451612903225805,0.0,0.0,21.269846525746186,21.276143661277338
43,0.05779569892473118,0.0,0.0,21.219975925341426,21.219975925341426
44,0.05913978494623656,0.0,0.0,21.192837388907858,21.192837388907858
45,0.06048387096774194,0.0,0.0,21.17731247226344,21.17731247226344
46,0.06182795698924731,0.0,0.0,21.166886691379617,21.166886691379617
47,0.06317204301075269,0.0,0.0,21.160522639357303,21.160522639357303
48,0.06451612903225806,0.0,0.0,21.15853505200323,21.15853505200323
49,0.06586021505376344,0.0,0.0,21.157452570664827,21.157452570664827
50,0.06720430107526881,0.0,0.0,21.15691295659956,21.15691295659956
51,0.06854838709677419,0.0,0.0,21.156723364860984,21.156723364860984
52,0.06989247311827956,0.0,0.0,21.156763315075494,21.156763315075494
53,0.07123655913978495,0.0,0.0,21.15776421168334,21.15776421168334
54,0.07258064516129033,0.0,0.0,21.160967712031646,21.160967712031646
55,0.0739247311827957,0.0,0.0,21.162648688782852,21.162648688782852
56,0.07526881720430108,-4.851043933120473,-0.02069392644180747,21.162981381536486,21.162981381536486
57,0.07661290322580645,-8.18559034840959,-0.03491867047342828,20.75724557901817,21.48346068962369
58,0.07795698924731183,-10.532446737675981,-0.04493005650878919,20.652977396220173,21.878383614386067
59,0.0793010752688172,-13.512178622045983,-0.057641207609784556,20.686073344444793,22.262810656660385
60,0.08064516129032258,-12.981459119678131,-0.055377226805931414,20.674018052811235,22.696829725477027
61,0.08198924731182795,-16.796466474064033,-0.07165155510619745,20.992024878660597,22.935386328358682
62,0.08333333333333333,-18.435605812051417,-0.07864391167023385,20.846466875859107,23.36094580584026
63,0.0846774193548387,-18.75299956488284,-0.07999787239801429,20.979118713478684,23.738981476722437
64,0.08602150537634409,-18.706291878364617,-0.07979862344409823,21.20402523222669,24.01140274538731
65,0.08736559139784947,-8.450267238679508,-0.036047747878952575,21.405831422436073,24.206216661727687
66,0.08870967741935484,-3.6983747102731535,-0.015776788514756373,22.41853124026824,23.683560343691834
67,0.09005376344086022,-3.1018274157948245,-0.013231994857723289,22.576134853484646,23.12979209434043
68,0.0913978494623656,-2.2247608578415683,-0.009490542278632988,22.33231852901241,22.79667093869914
69,0.09274193548387097,-1.5271501480898968,-0.006514625154062251,22.207867947858006,22.54092099267118
70,0.09408602150537634,0.0,0.0,22.103074246007253,22.33169297818042
71,0.09543010752688172,0.0,0.0,22.09558775958855,22.09558775958855
72,0.0967741935483871,0.0,0.0,21.952810965805753,21.952810965805753
73,0.09811827956989247,0.0,0.0,21.855645930192168,21.855645930192168
74,0.09946236559139784,0.0,0.0,21.782580032220867,21.782580032220867
