Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,13.640234092189887,0.057453514847649344,21.18,21.18
31,0.041666666666666664,7.883124678055785,0.03320421172213442,22.330787370026158,20.28802278371605
32,0.043010752688172046,0.742356335299893,0.003126851082183407,21.355366028059525,20.1747874681197
33,0.04435483870967742,0.0,0.0,20.652655203990566,20.541479748941605
34,0.0456989247311828,0.0,0.0,20.75815964073701,20.75815964073701
35,0.04704301075268817,0.0,0.0,20.86849713062789,20.86849713062789
36,0.04838709677419355,0.0,0.0,20.936141020723674,20.936141020723674
37,0.04973118279569892,-0.431218344010654,-0.0018163185003093549,20.992771381692695,20.992771381692695
38,0.051075268817204304,-1.5593358772314196,-0.0065680197546085116,20.991347945327224,21.055927303434913
39,0.05241935483870968,-2.2666324630610775,-0.009547196990204758,20.931517856535603,21.165044355175024
40,0.053763440860215055,-3.0967824984216894,-0.01304384060057188,20.936796845178012,21.276248242744067
41,0.05510752688172043,-0.04213681787921366,-0.00017748289914190402,20.936201866973082,21.399976724246457
42,0.056451612903225805,0.0,0.0,21.272613167762405,21.278923587272928
43,0.05779569892473118,0.0,0.0,21.222711389136613,21.222711389136613
44,0.05913978494623656,0.0,0.0,21.195539777010033,21.195539777010033
45,0.06048387096774194,0.0,0.0,21.179929391607356,21.179929391607356
46,0.06182795698924731,0.0,0.0,21.16946005673112,21.16946005673112
47,0.06317204301075269,0.0,0.0,21.162380861681125,21.162380861681125
48,0.06451612903225806,0.0,0.0,21.16027976366472,21.16027976366472
49,0.06586021505376344,0.0,0.0,21.1591029875995,21.1591029875995
50,0.06720430107526881,0.0,0.0,21.158478535151044,21.158478535151044
51,0.06854838709677419,0.0,0.0,21.158212262580584,21.158212262580584
52,0.06989247311827956,0.0,0.0,21.158182600014605,21.158182600014605
53,0.07123655913978495,0.0,0.0,21.15831084945527,21.15831084945527
54,0.07258064516129033,0.0,0.0,21.160660786792366,21.160660786792366
55,0.0739247311827957,0.0,0.0,21.163068506940657,21.163068506940657
56,0.07526881720430108,-4.8594148411352895,-0.020468157719222176,21.163924833092032,21.163924833092032
57,0.07661290322580645,-8.199715313014773,-0.03453771117847129,20.754199579861556,21.48194666107512
58,0.07795698924731183,-10.550621411834276,-0.04443987396695986,20.64707523837479,21.875066484422543
59,0.0793010752688172,-13.535495088745588,-0.05701234764708343,20.678259229517863,22.25832271215272
60,0.08064516129032258,-13.003859782646158,-0.054773066653364476,20.66385174677219,22.690930595902472
61,0.08198924731182795,-16.825450271730425,-0.07086984361644871,20.982485435909204,22.92994645965672
62,0.08333333333333333,-18.467418090517185,-0.07778591425119265,20.834929064232817,23.354712356184717
63,0.0846774193548387,-18.78535953451489,-0.07912510339926337,20.966900174940115,23.73258494405207
64,0.08602150537634409,-18.738571249726927,-0.07892802823203438,21.19187875473913,24.005178507430486
65,0.08736559139784947,-8.4648489268132,-0.03565447045943561,21.394038850378674,24.200331578808346
66,0.08870967741935484,-3.7047565849646293,-0.015604665288190779,22.4150769478167,23.682774664680668
67,0.09005376344086022,-3.1071798950412353,-0.013087635082178322,22.577386815239898,23.132212011165105
68,0.0913978494623656,-2.2285998806895795,-0.009387001386433818,22.334099411637656,22.799431385413627
69,0.09274193548387097,-1.5297853815758673,-0.006443551227937567,22.21006198271196,22.54381761201852
70,0.09408602150537634,0.0,0.0,22.105530416569497,22.334631426201536
71,0.09543010752688172,0.0,0.0,22.097222195883337,22.097222195883337
72,0.0967741935483871,0.0,0.0,21.953536438136144,21.953536438136144
73,0.09811827956989247,0.0,0.0,21.856229335869745,21.856229335869745
74,0.09946236559139784,0.0,0.0,21.782988597301546,21.782988597301546
