ln(t/ts),H: 118.65 m,H: 118.65 m bhw
-48.96547197311134,-1.7389681380767046,1.3554877248973991e-05
-47.57356100554511,-1.73397068453706,1.649655872320734e-05
-46.181650037978876,-1.7289732309974153,1.9438240197440692e-05
-44.789739070412644,-1.7239757774577704,2.2379921671674044e-05
-43.39782810284641,-1.7189783239181258,2.5321603145907395e-05
-42.005917135280185,-1.7139808703784811,2.8263284620140733e-05
-40.61400616771395,-1.7089834168388365,3.1204966094374084e-05
-39.22209520014772,-1.7039859632991916,3.4146647568607435e-05
-37.83018423258149,-1.698988509759547,3.7088329042840786e-05
-36.438273265015255,-1.6939910562199023,4.003001051707414e-05
-35.04636229744902,-1.6889936026802577,4.297169199130749e-05
-33.65445132988279,-1.683996149140613,4.5913373465540834e-05
-32.26254036231656,-1.6789986956009681,4.8855054939774185e-05
-30.870629394750324,-1.6740012420613235,5.1796736414007536e-05
-29.478718427184095,-1.6690037885216789,5.473841788824088e-05
-28.086807459617862,-1.6640063349820342,5.768009936247423e-05
-26.69489649205163,-1.6590088814423893,6.062178083670758e-05
-25.302985524485397,-1.6540114279027447,6.356346231094094e-05
-23.911074556919164,-1.6490139743631,6.650514378517429e-05
-22.519163589352935,-1.6440165208234554,6.944682525940763e-05
-21.127252621786702,-1.6390190672838107,7.238850673364098e-05
-19.73534165422047,-1.6340216137441659,7.533018820787433e-05
-18.343430686654237,-1.6290241602045212,7.827186968210768e-05
-16.951519719088004,-1.6240267066648766,8.121355115634104e-05
-15.559608751521772,-1.4608689566469915,0.0005635834384131041
-14.16769778395554,-0.9710694629543448,0.017483417046361683
-12.775786816389306,-0.12339233860836143,0.23300427009357763
-11.383875848823081,0.8474110492280138,0.8390447079852551
-9.991964881256848,1.6824600989428224,1.5759543586661915
-8.600053913690617,2.4233310291021137,2.2959444337486916
-8.5,2.49505599669285,2.49505599669285
-7.8,2.841863216986593,2.841863216986593
-7.2,3.1393363564698813,3.1393363564698813
-6.5,3.494913743203905,3.494913743203905
-5.9,3.829406058217555,3.829406058217555
-5.2,4.287385598427656,4.287385598427656
-4.5,4.822132793584202,4.822132793584202
-3.963,5.266549716348836,5.266549716348836
-3.27,5.8549799421682,5.8549799421682
-2.864,6.197176271623453,6.197176271623453
-2.577,6.434615773711725,6.434615773711725
-2.171,6.760392011862047,6.760392011862047
-1.884,6.981856885541321,6.981856885541321
-1.191,7.474930429205869,7.474930429205869
-0.497,7.8936320711933785,7.8936320711933785
-0.274,8.008643111621392,8.008643111621392
-0.051,8.112595408822598,8.112595408822598
0.196,8.21436837105268,8.21436837105268
0.419,8.293883735148897,8.293883735148897
0.642,8.362013329913271,8.362013329913271
0.873,8.421001988772076,8.421001988772076
1.112,8.47062589074682,8.47062589074682
1.335,8.507699953671574,8.507699953671574
1.679,8.550205694910298,8.550205694910298
2.028,8.579233940441455,8.579233940441455
2.275,8.593455285031844,8.593455285031844
3.003,8.61639705248929,8.61639705248929
