Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,13.30732228442102,0.05539317073590613,21.18,21.18
31,0.041666666666666664,7.690724366616732,0.032013473395886075,22.311361822332387,20.31772621266607
32,0.043010752688172046,0.7242379373367036,0.0030147188787393205,21.356862885552342,20.204677522208026
33,0.04435483870967742,0.0,0.0,20.66667960410348,20.558177945326033
34,0.0456989247311828,0.0,0.0,20.76880185381868,20.76880185381868
35,0.04704301075268817,0.0,0.0,20.876339911081313,20.876339911081313
36,0.04838709677419355,0.0,0.0,20.940033528614194,20.940033528614194
37,0.04973118279569892,-0.4322347545162843,-0.0017992239943676036,20.996363793180016,20.996363793180016
38,0.051075268817204304,-1.563011336286995,-0.006506204025317876,20.994948294410175,21.059703515627586
39,0.05241935483870968,-2.271975067520875,-0.009457342366333266,20.933769333537864,21.16793177371427
40,0.053763440860215055,-3.1040818220909303,-0.012921076883408971,20.938094042396425,21.278469837171183
41,0.05510752688172043,-0.04223613717989073,-0.0001758124969115552,20.936544357081694,21.401582170367632
42,0.056451612903225805,0.0,0.0,21.275380080936777,21.28170768504051
43,0.05779569892473118,0.0,0.0,21.225365583449843,21.225365583449843
44,0.05913978494623656,0.0,0.0,21.19814457390212,21.19814457390212
45,0.06048387096774194,0.0,0.0,21.182443767355352,21.182443767355352
46,0.06182795698924731,0.0,0.0,21.171928117108926,21.171928117108926
47,0.06317204301075269,0.0,0.0,21.16416047987108,21.16416047987108
48,0.06451612903225806,0.0,0.0,21.16194823984386,21.16194823984386
49,0.06586021505376344,0.0,0.0,21.160679504115667,21.160679504115667
50,0.06720430107526881,0.0,0.0,21.15997265990091,21.15997265990091
51,0.06854838709677419,0.0,0.0,21.159632155189186,21.159632155189186
52,0.06989247311827956,0.0,0.0,21.159535271636845,21.159535271636845
53,0.07123655913978495,0.0,0.0,21.159602366669827,21.159602366669827
54,0.07258064516129033,0.0,0.0,21.16021154332949,21.16021154332949
55,0.0739247311827957,0.0,0.0,21.163165309188116,21.163165309188116
56,0.07526881720430108,-4.870868807239346,-0.020275519124345585,21.164795191146247,21.164795191146247
57,0.07661290322580645,-8.21904259095432,-0.03421265524315251,20.75098198025717,21.480710869103103
58,0.07795698924731183,-10.575489932834978,-0.044021622603308885,20.64110918713281,21.872444510383648
59,0.0793010752688172,-13.56739915683126,-0.056475768894270924,20.670520244659684,22.254886570892744
60,0.08064516129032258,-13.03451075072394,-0.05425756317025047,20.653844014897842,22.686443024037448
61,0.08198924731182795,-16.8651089844352,-0.07020284332845626,20.97329545067649,22.926059818429405
62,0.08333333333333333,-18.510947031295743,-0.07705382251005521,20.82371179824591,23.350356987536614
63,0.0846774193548387,-18.829637884562192,-0.07838040771402423,20.955162659496676,23.728378967141232
64,0.08602150537634409,-18.782739316654652,-0.07818518734407699,21.18059852479253,24.001559481583424
65,0.08736559139784947,-8.484801142430385,-0.035318904006186896,21.38309635656461,24.197031207500064
66,0.08870967741935484,-3.7134889442579246,-0.015457800053132837,22.412861197737104,23.68401112083545
67,0.09005376344086022,-3.1145037260703834,-0.012964459187841691,22.579658255183883,23.135994356252233
68,0.0913978494623656,-2.2338528398065582,-0.009298654463276733,22.336659056927118,22.803258227069822
69,0.09274193548387097,-1.533391188134864,-0.006382906949561722,22.212946728712904,22.54761124445897
70,0.09408602150537634,0.0,0.0,22.108601158057677,22.338326057693802
71,0.09543010752688172,0.0,0.0,22.099506136549696,22.099506136549696
72,0.0967741935483871,0.0,0.0,21.954828749075283,21.954828749075283
73,0.09811827956989247,0.0,0.0,21.8573173715881,21.8573173715881
74,0.09946236559139784,0.0,0.0,21.783856870900504,21.783856870900504
