Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,15.04763468348648,0.06197130083771918,21.18,21.18
31,0.041666666666666664,8.696506197623187,0.035815183791073193,22.468308656613555,20.213186312388192
32,0.043010752688172046,0.8189527293348068,0.0033727271447634303,21.385919799018147,20.082612943457878
33,0.04435483870967742,0.0,0.0,20.60072886718857,20.4779960498632
34,0.0456989247311828,0.0,0.0,20.715411194478577,20.715411194478577
35,0.04704301075268817,0.0,0.0,20.83689994123544,20.83689994123544
36,0.04838709677419355,0.0,0.0,20.907385115511584,20.907385115511584
37,0.04973118279569892,-0.43366340773972,-0.0017859740795569273,20.97092875425392,20.97092875425392
38,0.051075268817204304,-1.5681775131400155,-0.006458290786418103,20.97495582032636,21.03994703397803
39,0.05241935483870968,-2.279484562002437,-0.009387696240513698,20.915870956234993,21.150886772606103
40,0.053763440860215055,-3.1143416553287766,-0.012825922990117582,20.921561788344263,21.263178040812814
41,0.05510752688172043,-0.042375739081165535,-0.00017451777173335459,20.920877986498017,21.38761057286198
42,0.056451612903225805,0.0,0.0,21.263765691114575,21.27011635539272
43,0.05779569892473118,0.0,0.0,21.214738302462255,21.214738302462255
44,0.05913978494623656,0.0,0.0,21.188411100466507,21.188411100466507
45,0.06048387096774194,0.0,0.0,21.173501522885626,21.173501522885626
46,0.06182795698924731,0.0,0.0,21.163676154330844,21.163676154330844
47,0.06317204301075269,0.0,0.0,21.156144792796344,21.156144792796344
48,0.06451612903225806,0.0,0.0,21.15422244206138,21.15422244206138
49,0.06586021505376344,0.0,0.0,21.15337764345488,21.15337764345488
50,0.06720430107526881,0.0,0.0,21.15305280633452,21.15305280633452
51,0.06854838709677419,0.0,0.0,21.15305640815553,21.15305640815553
52,0.06989247311827956,0.0,0.0,21.153271081585757,21.153271081585757
53,0.07123655913978495,0.0,0.0,21.153621580134764,21.153621580134764
54,0.07258064516129033,0.0,0.0,21.15405846838232,21.15405846838232
55,0.0739247311827957,0.0,0.0,21.156601395991867,21.156601395991867
56,0.07526881720430108,-4.886968351178572,-0.020126205363534922,21.159347636872408,21.159347636872408
57,0.07661290322580645,-8.246208758340059,-0.033960705086397217,20.742080020942407,21.474468316915548
58,0.07795698924731183,-10.610444798504824,-0.043697436870377616,20.629830304841065,21.86565307813628
59,0.0793010752688172,-13.61224309484531,-0.056059867856346215,20.657830956393166,22.247971310713226
60,0.08064516129032258,-13.077593347866712,-0.05385799752856761,20.6392141889863,22.679220755061483
61,0.08198924731182795,-16.920852748818913,-0.06968585283895568,20.959911110598537,22.919792087761792
62,0.08333333333333333,-18.572130737299915,-0.0764863797751366,20.808086663784604,23.34393990051187
63,0.0846774193548387,-18.89187495036689,-0.07780319568912464,20.93949235417787,23.722815307354168
64,0.08602150537634409,-18.844821369958584,-0.07760941296856357,21.165793173916338,23.997034775736825
65,0.08736559139784947,-8.512845713987131,-0.035058807169576565,21.369234278766893,24.193424168953857
66,0.08870967741935484,-3.7257630334998795,-0.015343965125127413,22.4083120042893,23.68409447684116
67,0.09005376344086022,-3.1247980065306225,-0.012868985816908927,22.579247659443205,23.13761125896327
68,0.0913978494623656,-2.241236329974632,-0.009230176953040086,22.336474679443597,22.80477431283723
69,0.09274193548387097,-1.5384594623558216,-0.006335901699747959,22.213119390286167,22.5490035496725
70,0.09408602150537634,0.0,0.0,22.108955373292503,22.339517477052965
71,0.09543010752688172,0.0,0.0,22.09980729747671,22.09980729747671
72,0.0967741935483871,0.0,0.0,21.953785812541273,21.953785812541273
73,0.09811827956989247,0.0,0.0,21.85580691929462,21.85580691929462
74,0.09946236559139784,0.0,0.0,21.782153973573564,21.782153973573564
