ln(t/ts),H: 121.46 m,H: 121.46 m bhw
-49.012264316475246,-1.740326568292679,1.351697294689338e-05
-47.618748095664465,-1.7353223321065463,1.645460619852436e-05
-46.22523187485368,-1.7303180959204136,1.9392239450155355e-05
-44.831715654042895,-1.725313859734281,2.232987270178634e-05
-43.43819943323211,-1.7203096235481483,2.5267505953417333e-05
-42.044683212421326,-1.7153053873620157,2.820513920504832e-05
-40.65116699161054,-1.710301151175883,3.114277245667931e-05
-39.257650770799756,-1.7052969149897503,3.4080405708310296e-05
-37.864134549988975,-1.7002926788036177,3.7018038959941275e-05
-36.47061832917819,-1.695288442617485,3.9955672211572274e-05
-35.0771021083674,-1.6902842064313524,4.2893305463203266e-05
-33.68358588755662,-1.6852799702452197,4.583093871483425e-05
-32.290069666745836,-1.680275734059087,4.876857196646523e-05
-30.89655344593505,-1.6752714978729544,5.170620521809622e-05
-29.503037225124267,-1.6702672616868217,5.464383846972721e-05
-28.109521004313482,-1.665263025500689,5.75814717213582e-05
-26.716004783502697,-1.6602587893145564,6.0519104972989185e-05
-25.322488562691913,-1.6552545531284237,6.345673822462018e-05
-23.928972341881128,-1.650250316942291,6.639437147625117e-05
-22.535456121070343,-1.6452460807561584,6.933200472788215e-05
-21.14193990025956,-1.6402418445700258,7.226963797951314e-05
-19.748423679448777,-1.635237608383893,7.520727123114413e-05
-18.354907458637992,-1.6302333721977604,7.814490448277511e-05
-16.961391237827208,-1.6252291360116278,8.10825377344061e-05
-15.567875017016426,-1.453860128984104,0.0006006726105662521
-14.174358796205638,-0.9524438816080093,0.019201060108468785
-12.780842575394857,-0.09474613826630117,0.24584206062085115
-11.387326354584069,0.8755952017174103,0.8615118732503424
-9.993810133773287,1.7073265525908752,1.5995584566601662
-8.600293912962497,2.4473631014082433,2.31968441504514
-8.5,2.5181268645844828,2.5181268645844828
-7.8,2.864975384542129,2.864975384542129
-7.2,3.1625924566272516,3.1625924566272516
-6.5,3.519714611019272,3.519714611019272
-5.9,3.8580079319873666,3.8580079319873666
-5.2,4.321836252133714,4.321836252133714
-4.5,4.86123614718807,4.86123614718807
-3.963,5.307865363048492,5.307865363048492
-3.27,5.897796044390016,5.897796044390016
-2.864,6.240406382862887,6.240406382862887
-2.577,6.478004004823471,6.478004004823471
-2.171,6.803869151111051,6.803869151111051
-1.884,7.025331450192736,7.025331450192736
-1.191,7.518266323431343,7.518266323431343
-0.497,7.936741657664999,7.936741657664999
-0.274,8.051672761701745,8.051672761701745
-0.051,8.155545978398424,8.155545978398424
0.196,8.257233678039196,8.257233678039196
0.419,8.336676291970978,8.336676291970978
0.642,8.404738534243254,8.404738534243254
0.873,8.463664675556187,8.463664675556187
1.112,8.513232568725671,8.513232568725671
1.335,8.550262439935649,8.550262439935649
1.679,8.592714861486193,8.592714861486193
2.028,8.62170464272511,8.62170464272511
2.275,8.635906381589052,8.635906381589052
3.003,8.658815248505746,8.658815248505746
