Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,12.988432470364865,0.05346695519998665,21.18,21.18
31,0.041666666666666664,7.506427810870223,0.03090025223532287,22.29234303535635,20.345796404208862
32,0.043010752688172046,0.7068826726009804,0.002909886491217345,21.35795043570497,20.232979289222136
33,0.04435483870967742,0.0,0.0,20.6800345690208,20.574095681621763
34,0.0456989247311828,0.0,0.0,20.77899809531662,20.77899809531662
35,0.04704301075268817,0.0,0.0,20.88385880299035,20.88385880299035
36,0.04838709677419355,0.0,0.0,20.94469692687973,20.94469692687973
37,0.04973118279569892,-0.4334696989249293,-0.001784380449746438,20.999483046278346,20.999483046278346
38,0.051075268817204304,-1.5674770394499824,-0.00645252803496507,20.997912403628394,21.062875514771484
39,0.05241935483870968,-2.278466361607941,-0.009379319572144348,20.935785093941018,21.170699288360098
40,0.053763440860215055,-3.112950540883471,-0.012814478382125754,20.939241380456348,21.280709916439445
41,0.05510752688172043,-0.04235681068175071,-0.0001743620490234464,20.93677058139913,21.403301350382314
42,0.056451612903225805,0.0,0.0,21.278140043281375,21.28448796150221
43,0.05779569892473118,0.0,0.0,21.227937620473146,21.227937620473146
44,0.05913978494623656,0.0,0.0,21.200609287979123,21.200609287979123
45,0.06048387096774194,0.0,0.0,21.184841578940325,21.184841578940325
46,0.06182795698924731,0.0,0.0,21.174269493800857,21.174269493800857
47,0.06317204301075269,0.0,0.0,21.16608503847018,21.16608503847018
48,0.06451612903225806,0.0,0.0,21.163566188103555,21.163566188103555
49,0.06586021505376344,0.0,0.0,21.162204217909146,21.162204217909146
50,0.06720430107526881,0.0,0.0,21.16141658402124,21.16141658402124
51,0.06854838709677419,0.0,0.0,21.161003481396307,21.161003481396307
52,0.06989247311827956,0.0,0.0,21.160840992883713,21.160840992883713
53,0.07123655913978495,0.0,0.0,21.160848503639826,21.160848503639826
54,0.07258064516129033,0.0,0.0,21.160972137727306,21.160972137727306
55,0.0739247311827957,0.0,0.0,21.16290162076949,21.16290162076949
56,0.07526881720430108,-4.884785439661641,-0.020108246692574078,21.165097088635655,21.165097088635655
57,0.07661290322580645,-8.242525340978606,-0.03393040185152364,20.747588484183552,21.479660091988936
58,0.07795698924731183,-10.605705323950048,-0.043658445521714884,20.63508920552179,21.870377603197003
59,0.0793010752688172,-13.606162776724194,-0.0560098454749407,20.662823119453222,22.2522758895532
60,0.08064516129032258,-13.071751847148601,-0.05380993988239165,20.64395715675518,22.683081614329762
61,0.08198924731182795,-16.913294540603225,-0.06962367195194018,20.964354536765512,22.923388052112287
62,0.08333333333333333,-18.563834936065472,-0.07641813075836681,20.812345060220242,23.347101781998198
63,0.0846774193548387,-18.883436325755046,-0.07773377167372555,20.943525957156055,23.72564538830564
64,0.08602150537634409,-18.83640376324479,-0.07754016186604366,21.16959379542383,23.999611154966985
65,0.08736559139784947,-8.509043195203388,-0.03502752409505429,21.37282626883754,24.195794965940678
66,0.08870967741935484,-3.724098809291588,-0.01533027366089262,22.411583600046132,23.68681441821478
67,0.09005376344086022,-3.1234022214413053,-0.012857502783832835,22.58245805891246,23.140580219367692
68,0.0913978494623656,-2.240235214304283,-0.009221940839584226,22.339727142227005,22.807824280641302
69,0.09274193548387097,-1.5377722631277158,-0.0063302481564291475,22.216358098285642,22.552097019770713
70,0.09408602150537634,0.0,0.0,22.112165188451304,22.342627596066162
71,0.09543010752688172,0.0,0.0,22.102969904049914,22.102969904049914
72,0.0967741935483871,0.0,0.0,21.956880160085646,21.956880160085646
73,0.09811827956989247,0.0,0.0,21.85884313254983,21.85884313254983
74,0.09946236559139784,0.0,0.0,21.78514525320749,21.78514525320749
