ln(t/ts),H: 124.13 m,H: 124.13 m bhw
-49.05574000893163,-1.7416465965624917,1.348025507816105e-05
-47.66072355438638,-1.7366359822662598,1.641383312620563e-05
-46.26570709984113,-1.731625367970028,1.9347411174250216e-05
-44.87069064529588,-1.7266147536737961,2.22809892222948e-05
-43.47567419075063,-1.7216041393775643,2.5214567270339378e-05
-42.08065773620538,-1.7165935250813324,2.8148145318383963e-05
-40.68564128166014,-1.7115829107851006,3.1081723366428534e-05
-39.29062482711489,-1.7065722964888688,3.401530141447311e-05
-37.89560837256964,-1.701561682192637,3.6948879462517696e-05
-36.50059191802439,-1.6965510678964053,3.988245751056228e-05
-35.10557546347914,-1.6915404536001735,4.281603555860686e-05
-33.71055900893389,-1.6865298393039416,4.574961360665145e-05
-32.31554255438864,-1.6815192250077098,4.868319165469603e-05
-30.920526099843393,-1.676508610711478,5.1616769702740606e-05
-29.525509645298147,-1.671497996415246,5.455034775078518e-05
-28.130493190752897,-1.6664873821190143,5.748392579882976e-05
-26.735476736207648,-1.6614767678227824,6.041750384687435e-05
-25.3404602816624,-1.6564661535265506,6.335108189491893e-05
-23.94544382711715,-1.6514555392303187,6.628465994296352e-05
-22.550427372571903,-1.646444924934087,6.921823799100809e-05
-21.155410918026654,-1.641434310637855,7.215181603905268e-05
-19.760394463481404,-1.6364236963416232,7.508539408709726e-05
-18.365378008936155,-1.6314130820453914,7.801897213514185e-05
-16.970361554390905,-1.6264024677491595,8.095255018318642e-05
-15.575345099845656,-1.44735312751936,0.0006351425369138322
-14.180328645300406,-0.9346596522017728,0.0209927746368438
-12.785312190755157,-0.06786631027424106,0.25821681785728234
-11.390295736209914,0.9017910183648533,0.8825902696462052
-9.995279281664665,1.7304866655274878,1.6215943324424673
-8.600262827119414,2.469796055762508,2.341856897948632
-8.5,2.5392387729653496,2.5392387729653496
-7.8,2.8861181819111934,2.8861181819111934
-7.2,3.1838760994388267,3.1838760994388267
-6.5,3.5425512389212455,3.5425512389212455
-5.9,3.884615066030623,3.884615066030623
-5.2,4.354051214464399,4.354051214464399
-4.5,4.897654569448388,4.897654569448388
-3.963,5.34615151202531,5.34615151202531
-3.27,5.93726135599927,5.93726135599927
-2.864,6.2801689553882,6.2801689553882
-2.577,6.5178688378519585,6.5178688378519585
-2.171,6.8437740406874354,6.8437740406874354
-1.884,7.065215378014631,7.065215378014631
-1.191,7.558004258794164,7.558004258794164
-0.497,7.976274536904429,7.976274536904429
-0.274,8.091135461684809,8.091135461684809
-0.051,8.194939921426142,8.194939921426142
0.196,8.296554022174844,8.296554022174844
0.419,8.375934205184915,8.375934205184915
0.642,8.443938842762103,8.443938842762103
0.873,8.502811690979362,8.502811690979362
1.112,8.552331969061388,8.552331969061388
1.335,8.589324331724066,8.589324331724066
1.679,8.63173157884795,8.63173157884795
2.028,8.660688807061929,8.660688807061929
2.275,8.674873961240092,8.674873961240092
3.003,8.697755003387655,8.697755003387655
