Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,21.18,0.0
2,0.002688172043010753,0.0,0.0,21.18,21.18
3,0.004032258064516129,0.0,0.0,21.18,21.18
4,0.005376344086021506,0.0,0.0,21.18,21.18
5,0.006720430107526882,0.0,0.0,21.18,21.18
6,0.008064516129032258,0.0,0.0,21.18,21.18
7,0.009408602150537635,0.0,0.0,21.18,21.18
8,0.010752688172043012,0.0,0.0,21.18,21.18
9,0.012096774193548387,0.0,0.0,21.18,21.18
10,0.013440860215053764,0.0,0.0,21.18,21.18
11,0.01478494623655914,0.0,0.0,21.18,21.18
12,0.016129032258064516,0.0,0.0,21.18,21.18
13,0.01747311827956989,0.0,0.0,21.18,21.18
14,0.01881720430107527,0.0,0.0,21.18,21.18
15,0.020161290322580645,0.0,0.0,21.18,21.18
16,0.021505376344086023,0.0,0.0,21.18,21.18
17,0.0228494623655914,0.0,0.0,21.18,21.18
18,0.024193548387096774,0.0,0.0,21.18,21.18
19,0.025537634408602152,0.0,0.0,21.18,21.18
20,0.026881720430107527,0.0,0.0,21.18,21.18
21,0.028225806451612902,0.0,0.0,21.18,21.18
22,0.02956989247311828,0.0,0.0,21.18,21.18
23,0.030913978494623656,0.0,0.0,21.18,21.18
24,0.03225806451612903,0.0,0.0,21.18,21.18
25,0.033602150537634407,0.0,0.0,21.18,21.18
26,0.03494623655913978,0.0,0.0,21.18,21.18
27,0.036290322580645164,0.0,0.0,21.18,21.18
28,0.03763440860215054,0.0,0.0,21.18,21.18
29,0.038978494623655914,0.0,0.0,21.18,21.18
30,0.04032258064516129,12.373516695793192,0.0498403672919009,21.18,21.18
31,0.041666666666666664,7.151048446799977,0.028804331854327445,22.255246563607955,20.399539033460012
32,0.043010752688172046,0.6734164858886501,0.002712513008409529,21.35935879993009,20.286886456179086
33,0.04435483870967742,0.0,0.0,20.705530373932344,20.604535315331567
34,0.0456989247311828,0.0,0.0,20.798665369966873,20.798665369966873
35,0.04704301075268817,0.0,0.0,20.8983811741448,20.8983811741448
36,0.04838709677419355,0.0,0.0,20.956235877205252,20.956235877205252
37,0.04973118279569892,-0.4359343784744068,-0.0017559381114115981,21.00455745356761,21.00455745356761
38,0.051075268817204304,-1.5763896084553581,-0.006349677218867194,21.00230930103016,21.067688184711656
39,0.05241935483870968,-2.291421568072326,-0.009229816824196496,20.93938279068158,21.17580046714151
40,0.053763440860215055,-3.130650568257193,-0.012610220523449534,20.941278548555236,21.28493252851559
41,0.05510752688172043,-0.042597648658032145,-0.00017158278499834146,20.936989744364443,21.406506372224328
42,0.056451612903225805,0.0,0.0,21.283532936345907,21.289921482086356
43,0.05779569892473118,0.0,0.0,21.232783915717363,21.232783915717363
44,0.05913978494623656,0.0,0.0,21.205124300050652,21.205124300050652
45,0.06048387096774194,0.0,0.0,21.189328372014376,21.189328372014376
46,0.06182795698924731,0.0,0.0,21.178639043683066,21.178639043683066
47,0.06317204301075269,0.0,0.0,21.170407740862725,21.170407740862725
48,0.06451612903225806,0.0,0.0,21.166680909857725,21.166680909857725
49,0.06586021505376344,0.0,0.0,21.165130923246984,21.165130923246984
50,0.06720430107526881,0.0,0.0,21.16418792322479,21.16418792322479
51,0.06854838709677419,0.0,0.0,21.1636352572741,21.1636352572741
52,0.06989247311827956,0.0,0.0,21.163346684054982,21.163346684054982
53,0.07123655913978495,0.0,0.0,21.163239707060274,21.163239707060274
54,0.07258064516129033,0.0,0.0,21.16325890813869,21.16325890813869
55,0.0739247311827957,0.0,0.0,21.163366218179203,21.163366218179203
56,0.07526881720430108,-4.912560001082148,-0.019787728971237296,21.16496088592184,21.16496088592184
57,0.07661290322580645,-8.289391785609789,-0.03338956429110583,20.74005485296408,21.476811816278406
58,0.07795698924731183,-10.666008650998178,-0.042962546685299,20.62290259618472,21.86609700365115
59,0.0793010752688172,-13.683526503014233,-0.05511707007196723,20.6473764633633,22.247001942270987
60,0.08064516129032258,-13.14607694884179,-0.05295223012877387,20.6241159100828,22.67629103498125
61,0.08198924731182795,-17.00946239563877,-0.0685138973889806,20.946455498700796,22.91802708870512
62,0.08333333333333333,-18.669387652761177,-0.0752000551342731,20.788416035789044,23.339395537201657
63,0.0846774193548387,-18.990806274453604,-0.0764947252392606,20.91939609085463,23.719321455828574
64,0.08602150537634409,-18.943506287956694,-0.07630420149747671,21.146980423936252,23.99511027040633
65,0.08736559139784947,-8.557425042425585,-0.034469198827881097,21.35179440591178,24.192830477566158
66,0.08870967741935484,-3.7452737846088,-0.015085914992711318,22.409634512716973,23.693026977472343
67,0.09005376344086022,-3.1411616763676165,-0.01265255913273484,22.58732357977431,23.149017796174984
68,0.0913978494623656,-2.25297304103683,-0.009074946648126565,22.34547916305718,22.816572185320556
69,0.09274193548387097,-1.546515932773102,-0.0062293464345826435,22.223122351964747,22.561010047133397
70,0.09408602150537634,0.0,0.0,22.11934520832124,22.351282605950203
71,0.09543010752688172,0.0,0.0,22.11202465063173,22.11202465063173
72,0.0967741935483871,0.0,0.0,21.961962897477743,21.961962897477743
73,0.09811827956989247,0.0,0.0,21.862047669183532,21.862047669183532
74,0.09946236559139784,0.0,0.0,21.787932904164563,21.787932904164563
