ln(t/ts),H: 82.83 m,H: 82.83 m bhw
-48.24657172459145,-1.7244048371214558,1.3968888869219777e-05
-46.877050897603034,-1.719498564461484,1.6942980237734514e-05
-45.507530070614614,-1.7145922918015124,1.9917071606249267e-05
-44.1380092436262,-1.7096860191415406,2.2891162974764003e-05
-42.76848841663779,-1.7047797464815688,2.5865254343278742e-05
-41.398967589649374,-1.6998734738215973,2.8839345711793478e-05
-40.02944676266095,-1.6949672011616255,3.181343708030823e-05
-38.65992593567254,-1.6900609285016537,3.478752844882297e-05
-37.290405108684126,-1.6851546558416821,3.7761619817337707e-05
-35.920884281695706,-1.6802483831817103,4.073571118585246e-05
-34.55136345470729,-1.6753421105217385,4.370980255436719e-05
-33.18184262771888,-1.670435837861767,4.668389392288193e-05
-31.81232180073046,-1.6655295652017952,4.9657985291396685e-05
-30.442800973742045,-1.6606232925418236,5.263207665991142e-05
-29.07328014675363,-1.6557170198818518,5.5606168028426164e-05
-27.703759319765215,-1.65081074722188,5.85802593969409e-05
-26.334238492776798,-1.6459044745619085,6.155435076545565e-05
-24.96471766578838,-1.6409982019019367,6.452844213397039e-05
-23.595196838799968,-1.636091929241965,6.750253350248513e-05
-22.22567601181155,-1.6311856565819933,7.047662487099987e-05
-20.856155184823137,-1.6262793839220215,7.345071623951461e-05
-19.48663435783472,-1.6213731112620497,7.642480760802935e-05
-18.117113530846304,-1.6164668386020782,7.93988989765441e-05
-16.74759270385789,-1.6115605659421064,8.237299034505884e-05
-15.37807187686947,-1.5446096334315436,0.00021152893993217094
-14.008551049881056,-1.2004805674861085,0.004321049028540706
-12.639030222892643,-0.5048467145293617,0.0963909797213077
-11.26950939590423,0.439149300332733,0.5410238400323651
-9.89998856891581,1.3246393398552567,1.244295146264712
-8.530467741927398,2.084280242799067,1.9628797007468324
-8.5,2.1237333155026112,2.1237333155026112
-7.8,2.469218537901892,2.469218537901892
-7.2,2.765069564042658,2.765069564042658
-6.5,3.1080122251743623,3.1080122251743623
-5.9,3.4151482703155622,3.4151482703155622
-5.2,3.8579845998369113,3.8579845998369113
-4.5,4.479291520516619,4.479291520516619
-3.963,5.09723723716191,5.09723723716191
-3.27,6.038680008454444,6.038680008454444
-2.864,6.63577181871874,6.63577181871874
-2.577,7.065757448363173,7.065757448363173
-2.171,7.670985157694241,7.670985157694241
-1.884,8.090014249088822,8.090014249088822
-1.191,9.034838696346467,9.034838696346467
-0.497,9.844022382681626,9.844022382681626
-0.274,10.067209283281652,10.067209283281652
-0.051,10.268849453702487,10.268849453702487
0.196,10.466345684684836,10.466345684684836
0.419,10.620590824752217,10.620590824752217
0.642,10.752915165023056,10.752915165023056
0.873,10.867485191522663,10.867485191522663
1.112,10.963860899038714,10.963860899038714
1.335,11.035936306546873,11.035936306546873
1.679,11.11858169496838,11.11858169496838
2.028,11.175115729699264,11.175115729699264
2.275,11.202864024276895,11.202864024276895
3.003,11.247737738849361,11.247737738849361
