Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,13.915579288747956,0.04200181341178698,25.64,25.64
31,0.041666666666666664,8.920629401169535,0.02692540524896363,27.13751942310067,25.069888617874483
32,0.043010752688172046,3.0000762883484695,0.00905522090526469,26.070913495264126,24.745451739835897
33,0.04435483870967742,1.9912828979215529,0.006010349335310262,25.314195889258926,24.868432904973126
34,0.0456989247311828,1.4420485313188125,0.004352578652055802,25.333319860970033,25.037447315801046
35,0.04704301075268817,0.06554230447612892,0.0001978283178919379,25.35931992245605,25.145054752166164
36,0.04838709677419355,-0.5279191287698003,-0.0015934342568858552,25.27002610386559,25.2602875737643
37,0.04973118279569892,-1.639335519406138,-0.00494805592901815,25.290289296585833,25.368729570660175
38,0.051075268817204304,-2.261378500627748,-0.006825587053612283,25.243224301768105,25.48680313881777
39,0.05241935483870968,-1.5376257675397758,-0.004641062311906975,25.265078113125668,25.601082511731974
40,0.053763440860215055,-1.1450015338989612,-0.0034559927247815717,25.424693713389505,25.653160120565634
41,0.05510752688172043,0.3951871737560153,0.0011928053867116472,25.495646405556847,25.665775179529987
42,0.056451612903225805,0.9257462296249899,0.0027942078153235547,25.673112917091178,25.61439447229392
43,0.05779569892473118,1.147324277890496,0.003463003533150482,25.691098455272346,25.553547485781458
44,0.05913978494623656,1.4109561022432793,0.004258731433952152,25.6812934448318,25.510819548537132
45,0.06048387096774194,1.5670311158202221,0.004729817363073446,25.68237127037947,25.472725933934225
46,0.06182795698924731,0.0,0.0,25.671366208134955,25.438530640129695
47,0.06317204301075269,0.0,0.0,25.47826408061916,25.47826408061916
