ln(t/ts),H: 87.28 m,H: 87.28 m bhw
-48.351297728259304,-1.7259350744215578,1.39247201097708e-05
-46.98057738002657,-1.7210233648572866,1.689291542888708e-05
-45.60985703179382,-1.7161116552930156,1.9861110748003377e-05
-44.239136683561085,-1.7111999457287443,2.2829306067119655e-05
-42.86841633532834,-1.7062882361644731,2.5797501386235953e-05
-41.497695987095604,-1.701376526600202,2.876569670535223e-05
-40.12697563886286,-1.6964648170359309,3.173389202446853e-05
-38.75625529063012,-1.6915531074716599,3.4702087343584806e-05
-37.385534942397385,-1.6866413979073887,3.767028266270108e-05
-36.01481459416464,-1.6817296883431174,4.063847798181738e-05
-34.6440942459319,-1.6768179787788464,4.360667330093366e-05
-33.27337389769916,-1.6719062692145752,4.657486862004996e-05
-31.90265354946642,-1.666994559650304,4.9543063939166234e-05
-30.53193320123368,-1.662082850086033,5.2511259258282525e-05
-29.161212853000944,-1.6571711405217617,5.54794545773988e-05
-27.790492504768203,-1.6522594309574905,5.8447649896515094e-05
-26.419772156535462,-1.6473477213932195,6.141584521563138e-05
-25.04905180830272,-1.6424360118289483,6.438404053474766e-05
-23.67833146006998,-1.6375243022646773,6.735223585386395e-05
-22.307611111837243,-1.632612592700406,7.032043117298023e-05
-20.936890763604502,-1.6277008831361348,7.328862649209652e-05
-19.56617041537176,-1.6227891735718638,7.625682181121281e-05
-18.19545006713902,-1.6178774640075926,7.92250171303291e-05
-16.82472971890628,-1.6129657544433214,8.219321244944538e-05
-15.454009370673539,-1.5419735020846046,0.00021916450146916954
-14.083289022440802,-1.1902333868063621,0.0046991168257486645
-12.712568674208057,-0.4860723116431376,0.10169061653822291
-11.34184832597532,0.4613976890983597,0.5559153596263944
-9.971127977742583,1.3443607766866046,1.262126721402746
-8.600407629509842,2.102652769118511,1.9808220210965384
-8.5,2.177658828524561,2.177658828524561
-7.8,2.5233946127432536,2.5233946127432536
-7.2,2.8196933999740637,2.8196933999740637
-6.5,3.1644604243190955,3.1644604243190955
-5.9,3.4585316779488005,3.4585316779488005
-5.2,3.7988353969050133,3.7988353969050133
-4.5,4.134468494541154,4.134468494541154
-3.963,4.387239833702828,4.387239833702828
-3.27,4.704537495455768,4.704537495455768
-2.864,4.884293416522254,4.884293416522254
-2.577,5.007906929343951,5.007906929343951
-2.171,5.176764227745423,5.176764227745423
-1.884,5.291262383786979,5.291262383786979
-1.191,5.546522829199097,5.546522829199097
-0.497,5.764087762931086,5.764087762931086
-0.274,5.82400373181116,5.82400373181116
-0.051,5.878296159661665,5.878296159661665
0.196,5.931573479854428,5.931573479854428
0.419,5.973318217791558,5.973318217791558
0.642,6.009144206949595,6.009144206949595
0.873,6.0402391598444005,6.0402391598444005
1.112,6.0664614578581855,6.0664614578581855
1.335,6.086082300546253,6.086082300546253
1.679,6.1086265021609485,6.1086265021609485
2.028,6.12404358700306,6.12404358700306
2.275,6.1316011693401675,6.1316011693401675
3.003,6.143796440972359,6.143796440972359
