Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,40.12989965317658,0.45978353398783084,9.13,0.0
2,0.002688172043010753,38.67404311702955,0.44310323154615805,11.110195219000904,5.1425870071996735
3,0.004032258064516129,41.784420831685814,0.4787400128499072,9.508325339032304,3.7572135923456527
4,0.005376344086021506,39.904518209275096,0.45720125300362957,8.822302316481988,2.6086547610291917
5,0.006720430107526882,43.07261064995723,0.49349929389000036,8.03872826993191,2.1046359195466864
6,0.008064516129032258,41.148783101749224,0.47145726945079397,7.76027380656561,1.3550630475086722
7,0.009408602150537635,43.42972021825983,0.4975908341319168,7.181214541630009,1.0620909438667012
8,0.010752688172043012,35.857911951838325,0.4108377449514914,6.985713341561245,0.5273977900494689
9,0.012096774193548387,30.65691805704148,0.3512479783718101,6.249541580035383,0.9172090381847003
10,0.013440860215053764,23.386757042212214,0.2679509765614865,5.984137177438911,1.4252302893865145
11,0.01478494623655914,23.113716321838133,0.26482264510735487,5.7362107157077356,2.258429695105098
12,0.016129032258064516,19.87216912918536,0.22768300517037215,6.002764363051407,2.565586485221181
13,0.01747311827956989,20.714304290000925,0.23733166822912818,5.975220964950573,3.020084752138184
14,0.01881720430107527,17.991782214111414,0.20613869659872747,6.201904903644551,3.121537061932942
15,0.020161290322580645,19.280555102904085,0.22090465809970258,6.1526169599382285,3.4771079700379355
16,0.021505376344086023,22.39439939251663,0.25658115727212333,6.373918059787242,3.5067591594517213
17,0.0228494623655914,27.634786275732974,0.31662226431331575,6.575646055060568,3.2454358410273008
18,0.024193548387096774,28.255208180542045,0.32373067421271595,6.751052170274112,2.641558278295692
19,0.025537634408602152,30.70493858977401,0.3517981678922066,6.539760011548708,2.338004865843807
20,0.026881720430107527,30.16815178418474,0.3456479971565482,6.492165343089333,1.9261174522448452
21,0.028225806451612902,32.12311468527579,0.3680467511840229,6.257298954758195,1.7710751695483065
22,0.02956989247311828,32.014536894016665,0.3668027341042603,6.226017380438291,1.449076380305235
23,0.030913978494623656,34.07848985064777,0.39045022868027435,6.038985032457832,1.2781903402980603
24,0.03225806451612903,32.09861937855636,0.3677660991318894,6.005538869292074,0.9378193475361187
25,0.033602150537634407,33.7110368205077,0.3862401794593074,5.716415605497997,0.9431172357924478
26,0.03494623655913978,32.397260173806664,0.3711877403874078,5.725592734213523,0.7125161529848679
27,0.036290322580645164,33.278785355490314,0.3812877099073089,5.522816824857326,0.7051083948845691
28,0.03763440860215054,30.757601133196953,0.35240154269585805,5.50372823581712,0.5549305940947767
29,0.038978494623655914,30.589325761176344,0.3504735477120822,5.278256994569274,0.7043778001506136
30,0.04032258064516129,68.54952264750628,0.7853979712992979,5.281115277171349,0.7322598555653017
31,0.041666666666666664,42.58471494888918,0.487909287147066,7.142938358409275,-3.0508746787965504
32,0.043010752688172046,23.74088616795437,0.27200836873861495,4.388433451461475,-1.944223665115429
33,0.04435483870967742,16.568015835037382,0.18982606330033103,3.5710140414221243,0.04057144187009616
34,0.0456989247311828,12.089826091032469,0.13851773897952369,3.909207565916171,1.445423001167191
35,0.04704301075268817,9.71050012033277,0.11125689574861523,4.305536382486729,2.5076912325205214
36,0.04838709677419355,9.992964557722443,0.11449319831531324,4.711274564818375,3.2672525074592644
37,0.04973118279569892,6.843085101054436,0.07840383051875449,5.149282372176013,3.6632557967225003
38,0.051075268817204304,5.443211057275134,0.062364940799384504,5.273673194954885,4.256056624865241
39,0.05241935483870968,4.81579780740519,0.05517642839867737,5.537592926435947,4.72814781731041
40,0.053763440860215055,5.958101891956084,0.06826424106261882,5.800044106404281,5.083899914910628
41,0.05510752688172043,13.477097191655266,0.15441223198239984,6.099410210404907,5.213397085914797
42,0.056451612903225805,17.229862694222277,0.1974090946685814,6.615163740762479,4.611021279225101
43,0.05779569892473118,18.073772909806568,0.20707809520541834,6.646040832616468,4.083834821864346
44,0.05913978494623656,18.95063645059776,0.21712465453136828,6.510391423106226,3.8226898198889194
45,0.06048387096774194,19.19542494070015,0.2199292894303223,6.429949296726978,3.611851701696111
46,0.06182795698924731,0.0,0.0,6.331840400698818,3.4773409752045206
47,0.06317204301075269,0.09938039575863636,0.0011386390189340552,5.3018270045858,5.3018270045858
48,0.06451612903225806,2.28808735769348,0.026215487715776302,5.978204355933363,5.963425767625222
