Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,7.3046935134853115,0.07973464160870633,13.09,0.0
2,0.002688172043010753,8.26598738894904,0.09022767906458902,13.460857209227836,12.373674038454011
3,0.004032258064516129,8.206944989310108,0.08958319965333963,13.229609206678184,11.999353294845102
4,0.005376344086021506,8.54849603935744,0.09331141227667902,13.02593658132751,11.804468157036657
5,0.006720430107526882,9.741435955618552,0.10633299032210966,12.911512567841791,11.639209902129847
6,0.008064516129032258,12.144046967505208,0.1325587761958429,12.862882987077363,11.41303088711344
7,0.009408602150537635,13.003938947331651,0.1419449576567196,12.853994859692799,11.046553731083549
8,0.010752688172043012,8.25570902199615,0.09011548518488709,12.708232150400855,10.772810280720835
9,0.012096774193548387,5.635223260890644,0.06151147974417536,12.301676835354295,11.072950688945811
10,0.013440860215053764,5.943857035083212,0.06488038267325187,12.228092655894734,11.389382601669565
11,0.01478494623655914,4.905465651104977,0.05354578462362493,12.352254466484341,11.467609364523751
12,0.016129032258064516,3.511834911110369,0.03833355876045837,12.335944018491658,11.605846350349278
13,0.01747311827956989,2.0346200658258113,0.022208967625952914,12.318752484561404,11.79607377027357
14,0.01881720430107527,1.8590112283315734,0.020292103120265567,12.32372300064678,12.020903355934658
15,0.020161290322580645,2.7892439869482355,0.03044609185148996,12.417247393017242,12.140564227872735
16,0.021505376344086023,3.906354769056168,0.04263995428858736,12.536167102817863,12.121034131640632
17,0.0228494623655914,4.1795388138561425,0.04562190443682154,12.606741138948461,12.025344649670762
18,0.024193548387096774,5.501119961717777,0.060047670416877266,12.593482521499741,11.971427092119743
19,0.025537634408602152,6.416560938996382,0.07004019893330045,12.639674222006555,11.820923232420695
20,0.026881720430107527,7.49685720325697,0.0818322111926818,12.625724075480932,11.67072479258931
21,0.028225806451612902,7.259235443137056,0.07923844242652982,12.61155537837903,11.495771811275384
22,0.02956989247311828,7.2178915901227425,0.078787152129855,12.515053358098307,11.434635871465403
23,0.030913978494623656,7.8206454401915355,0.08536653319831163,12.465382056282523,11.391117920386256
24,0.03225806451612903,6.8556615222803154,0.07483321695297274,12.459311745280125,11.295337638567949
25,0.033602150537634407,7.672279212646774,0.08374703636955652,12.35668056354134,11.336328399855752
26,0.03494623655913978,8.060646873338783,0.08798627736995189,12.394547188102766,11.252654947713946
27,0.036290322580645164,7.987699400120657,0.08719001663395111,12.370665214443987,11.170970852173165
28,0.03763440860215054,8.227507445642946,0.08980764987609939,12.318881046226947,11.130043712397743
29,0.038978494623655914,10.335911656896684,0.11282201096328917,12.29681601742867,11.072287210599718
30,0.04032258064516129,109.87849708141313,1.199382639273737,12.36620429774984,10.827874292905939
31,0.041666666666666664,63.71153747469321,0.695445551207046,17.30915997525916,0.955557645975969
32,0.043010752688172046,26.400879131700133,0.2881797342810743,11.075817453348172,1.593405741106028
33,0.04435483870967742,12.68140410571227,0.1384243171321904,8.664182540623509,4.7348470479529485
34,0.0456989247311828,9.005968515463195,0.0983049693452679,8.856877287901007,6.96945941060608
35,0.04704301075268817,7.7356801041129195,0.0844390910532189,9.58035506171124,8.23996516192216
36,0.04838709677419355,8.312041118720286,0.09073038018836313,10.107800561721795,8.956472144156368
37,0.04973118279569892,-1.1235573302681472,-0.012264229962609471,10.520134541158502,9.283024291102162
38,0.051075268817204304,-3.100198132677896,-0.03384032287853082,10.263683830640874,10.430906811127604
39,0.05241935483870968,0.9575438697597318,0.010452104135369417,10.684159831031813,11.145573198983465
