ln(t/ts),H: 121.24 m,H: 121.24 m bhw
-49.00858416331774,-1.7402174257884038,1.3520013966421192e-05
-47.615185191034136,-1.7352136925016062,1.6457997038000492e-05
-46.22178621875053,-1.7302099592148088,1.9395980109579792e-05
-44.828387246466924,-1.7252062259280112,2.233396318115909e-05
-43.43498827418332,-1.7202024926412138,2.5271946252738392e-05
-42.04158930189971,-1.7151987593544162,2.820992932431769e-05
-40.64819032961611,-1.7101950260676189,3.1147912395896986e-05
-39.2547913573325,-1.7051912927808213,3.408589546747629e-05
-37.861392385048894,-1.700187559494024,3.702387853905559e-05
-36.46799341276529,-1.6951838262072263,3.996186161063489e-05
-35.07459444048168,-1.690180092920429,4.2899844682214186e-05
-33.68119546819808,-1.6851763596336313,4.583782775379349e-05
-32.28779649591447,-1.6801726263468337,4.8775810825372786e-05
-30.894397523630865,-1.6751688930600364,5.171379389695209e-05
-29.50099855134726,-1.6701651597732388,5.4651776968531386e-05
-28.107599579063653,-1.6651614264864414,5.758976004011069e-05
-26.714200606780047,-1.6601576931996438,6.0527743111689986e-05
-25.32080163449644,-1.6551539599128464,6.34657261832693e-05
-23.927402662212835,-1.6501502266260488,6.640370925484859e-05
-22.53400368992923,-1.6451464933392514,6.934169232642789e-05
-21.140604717645623,-1.6401427600524539,7.227967539800718e-05
-19.747205745362017,-1.6351390267656563,7.521765846958648e-05
-18.35380677307841,-1.6301352934788589,7.815564154116579e-05
-16.960407800794805,-1.6251315601920613,8.109362461274509e-05
-15.567008828511199,-1.4543628177141612,0.0005979785384056765
-14.173609856227593,-0.9538282676512795,0.01906099964504922
-12.780210883943987,-0.09683825371733171,0.24489325036024218
-11.38681191166038,0.8735433085407632,0.8598680048252605
-9.993412939376775,1.7055135156283663,1.5978353998844501
-8.600013967093167,2.4456088528913207,2.3179510014620424
-8.5,2.5163252978507407,2.5163252978507407
-7.8,2.863170865295454,2.863170865295454
-7.2,3.16077633736985,3.16077633736985
-6.5,3.517772361566869,3.517772361566869
-5.9,3.8557573326027854,3.8557573326027854
-5.2,4.319118839121998,4.319118839121998
-4.5,4.858157550839374,4.858157550839374
-3.963,5.3046201983468775,5.3046201983468775
-3.27,5.8944413647161475,5.8944413647161475
-2.864,6.237022594591222,6.237022594591222
-2.577,6.474609544156772,6.474609544156772
-2.171,6.800469378039804,6.800469378039804
-1.884,7.021932612575181,7.021932612575181
-1.191,7.514879068145082,7.514879068145082
-0.497,7.933371994030939,7.933371994030939
-0.274,8.04830922295123,8.04830922295123
-0.051,8.152188472470542,8.152188472470542
0.196,8.253882655504388,8.253882655504388
0.419,8.333330786886062,8.333330786886062
0.642,8.401398129578064,8.401398129578064
0.873,8.4603289982104,8.4603289982104
1.112,8.509901121418327,8.509901121418327
1.335,8.546934327802125,8.546934327802125
1.679,8.589390770196566,8.589390770196566
2.028,8.618383450636639,8.618383450636639
2.275,8.632586666943784,8.632586666943784
3.003,8.655498012928582,8.655498012928582
