ln(t/ts),H: 87.49 m,H: 87.49 m bhw
-48.35614726361527,-1.726009878862548,1.392256488606851e-05
-46.98524602180771,-1.7210974654112559,1.689073700292834e-05
-45.61434478000015,-1.7161850519599637,1.985890911978817e-05
-44.243443538192594,-1.7112726385086716,2.2827081236648e-05
-42.872542296385035,-1.7063602250573795,2.579525335350783e-05
-41.50164105457747,-1.7014478116060876,2.8763425470367673e-05
-40.13073981276991,-1.6965353981547955,3.17315975872275e-05
-38.75983857096235,-1.6916229847035034,3.469976970408733e-05
-37.38893732915479,-1.6867105712522112,3.766794182094716e-05
-36.018036087347234,-1.6817981578009191,4.063611393780699e-05
-34.647134845539675,-1.676885744349627,4.360428605466682e-05
-33.27623360373211,-1.6719733308983349,4.6572458171526666e-05
-31.905332361924554,-1.6670609174470428,4.954063028838649e-05
-30.534431120116995,-1.6621485039957506,5.250880240524632e-05
-29.163529878309433,-1.6572360905444588,5.5476974522106155e-05
-27.792628636501874,-1.6523236770931666,5.8445146638965985e-05
-26.421727394694315,-1.6474112636418745,6.141331875582581e-05
-25.050826152886756,-1.6424988501905824,6.438149087268564e-05
-23.679924911079198,-1.6375864367392903,6.734966298954547e-05
-22.309023669271635,-1.6326740232879982,7.03178351064053e-05
-20.938122427464076,-1.627761609836706,7.328600722326513e-05
-19.567221185656518,-1.622849196385414,7.625417934012496e-05
-18.196319943848955,-1.6179367829341218,7.922235145698481e-05
-16.825418702041397,-1.61302436948283,8.219052357384464e-05
-15.454517460233838,-1.5414245923647303,0.0002203733050019415
-14.083616218426279,-1.188549860445439,0.004756966282747827
-12.71271497661872,-0.48313687780975184,0.10250505604519485
-11.341813734811161,0.46478778300782647,0.5581867536815539
-9.970912493003596,1.347336958015188,1.2648194149965737
-8.600011251196038,2.105422781205325,1.983527607280063
-8.5,2.180169951528247,2.180169951528247
-7.8,2.525916727453304,2.525916727453304
-7.2,2.82222044058536,2.82222044058536
-6.5,3.166990455023403,3.166990455023403
-5.9,3.4610626194546747,3.4610626194546747
-5.2,3.801365013441688,3.801365013441688
-4.5,4.136993085450379,4.136993085450379
-3.963,4.389757673394778,4.389757673394778
-3.27,4.707042957234384,4.707042957234384
-2.864,4.886790001575811,4.886790001575811
-2.577,5.010396630456,5.010396630456
-2.171,5.179243381802838,5.179243381802838
-1.884,5.293733657378863,5.293733657378863
-1.191,5.548973884875011,5.548973884875011
-0.497,5.766517764593214,5.766517764593214
-0.274,5.8264269513865194,5.8264269513865194
-0.051,5.880712696034735,5.880712696034735
0.196,5.933982838372219,5.933982838372219
0.419,5.975721423976349,5.975721423976349
0.642,6.011541699658092,6.011541699658092
0.873,6.0426313026899345,6.0426313026899345
1.112,6.068848759299736,6.068848759299736
1.335,6.088465755609599,6.088465755609599
1.679,6.111005263541793,6.111005263541793
2.028,6.126418940272943,6.126418940272943
2.275,6.133974781369067,6.133974781369067
3.003,6.146167125843128,6.146167125843128
