ln(t/ts),H: 82.52 m,H: 82.52 m bhw
-48.239175818118575,-1.7243026901496408,1.3971842786905164e-05
-46.86965499113016,-1.7193964935365702,1.6946502095890516e-05
-45.50013416414174,-1.7144902969234994,1.9921161404875882e-05
-44.13061333715333,-1.7095841003104288,2.289582071386123e-05
-42.761092510164914,-1.7046779036973583,2.587048002284658e-05
-41.3915716831765,-1.6997717070842877,2.8845139331831933e-05
-40.02205085618808,-1.6948655104712171,3.18197986408173e-05
-38.65253002919967,-1.6899593138581464,3.479445794980265e-05
-37.283009202211254,-1.6850531172450758,3.7769117258788004e-05
-35.91348837522284,-1.6801469206320052,4.074377656777335e-05
-34.54396754823442,-1.6752407240189346,4.3718435876758715e-05
-33.17444672124601,-1.6703345274058639,4.669309518574407e-05
-31.80492589425759,-1.6654283307927933,4.966775449472943e-05
-30.435405067269176,-1.6605221341797227,5.264241380371478e-05
-29.06588424028076,-1.6556159375666522,5.561707311270013e-05
-27.696363413292346,-1.6507097409535816,5.8591732421685484e-05
-26.32684258630393,-1.6458035443405108,6.156639173067084e-05
-24.957321759315512,-1.6408973477274402,6.45410510396562e-05
-23.5878009323271,-1.6359911511143697,6.751571034864156e-05
-22.218280105338682,-1.631084954501299,7.049036965762691e-05
-20.84875927835027,-1.6261787578882283,7.346502896661226e-05
-19.47923845136185,-1.6212725612751577,7.643968827559763e-05
-18.109717624373438,-1.6163663646620872,7.941434758458298e-05
-16.74019679738502,-1.6114601680490166,8.238900689356833e-05
-15.370675970396604,-1.544510541026282,0.00021156729954787843
-14.001155143408191,-1.200390252374652,0.00432161935763688
-12.631634316419778,-0.504781973533057,0.09639648351635721
-11.262113489431357,0.4391753327367089,0.5410315345849033
-9.892592662442944,1.324645057959546,1.2442977812351412
-8.523071835454529,2.0842814687480984,1.9628803111098456
-8.5,2.1199498080660226,2.1199498080660226
-7.8,2.465417437665772,2.465417437665772
-7.2,2.76125766647467,2.76125766647467
-6.5,3.1041327682382267,3.1041327682382267
-5.9,3.4109164659182776,3.4109164659182776
-5.2,3.852456545629012,3.852456545629012
-4.5,4.471505431318517,4.471505431318517
-3.963,5.087593422101115,5.087593422101115
-3.27,6.027150484283648,6.027150484283648
-2.864,6.623505572178285,6.623505572178285
-2.577,7.053122119216863,7.053122119216863
-2.171,7.658007540281037,7.658007540281037
-1.884,8.07689238164973,8.07689238164973
-1.191,9.021594198181408,9.021594198181408
-0.497,9.830824197933904,9.830824197933904
-0.274,10.054042850293479,10.054042850293479
-0.051,10.25571764324887,10.25571764324887
0.196,10.453253810916635,10.453253810916635
0.419,10.607534461249669,10.607534461249669
0.642,10.739892338487874,10.739892338487874
0.873,10.854493914572172,10.854493914572172
1.112,10.950898089271773,10.950898089271773
1.335,11.022996013021103,11.022996013021103
1.679,11.105668509021667,11.105668509021667
2.028,11.162222091588468,11.162222091588468
2.275,11.18998036184368,11.18998036184368
3.003,11.234870814765639,11.234870814765639
