ln(t/ts),H: 82.53 m,H: 82.53 m bhw
-48.23949271061586,-1.7243070514114573,1.3971716710224993e-05
-46.86997188362745,-1.7194008515513386,1.694635176896065e-05
-45.50045105663903,-1.7144946516912198,1.9920986827696326e-05
-44.130930229650616,-1.7095884518311013,2.2895621886431982e-05
-42.7614094026622,-1.7046822519709826,2.5870256945167645e-05
-41.39188857567379,-1.6997760521108638,2.88448920039033e-05
-40.02236774868537,-1.694869852250745,3.181952706263898e-05
-38.652846921696955,-1.6899636523906263,3.479416212137463e-05
-37.28332609470854,-1.6850574525305075,3.7768797180110296e-05
-35.91380526772012,-1.680151252670389,4.0743432238845965e-05
-34.54428444073171,-1.6752450528102703,4.371806729758163e-05
-33.174763613743295,-1.6703388529501515,4.6692702356317284e-05
-31.805242786754874,-1.6654326530900327,4.966733741505296e-05
-30.43572195976646,-1.660526453229914,5.2641972473788616e-05
-29.066201132778044,-1.6556202533697952,5.5616607532524286e-05
-27.69668030578963,-1.6507140535096767,5.859124259125994e-05
-26.327159478801214,-1.645807853649558,6.15658776499956e-05
-24.957638651812797,-1.6409016537894392,6.454051270873127e-05
-23.588117824824383,-1.6359954539293204,6.751514776746693e-05
-22.218596997835967,-1.6310892540692017,7.048978282620259e-05
-20.849076170847553,-1.6261830542090832,7.346441788493826e-05
-19.479555343859136,-1.6212768543489644,7.643905294367392e-05
-18.11003451687072,-1.6163706544888456,7.941368800240958e-05
-16.740513689882306,-1.611464454628727,8.238832306114524e-05
-15.370992862893885,-1.544514771864809,0.00021156566171376043
-14.001472035905472,-1.2003941084453134,0.004321595005390547
-12.631951208917059,-0.504784737670023,0.096396248521005
-11.262430381928645,0.4391742213001264,0.5410312060653137
-9.892909554940225,1.324644813855628,1.2442976687491416
-8.523388727951811,2.0842814164516157,1.96288028507644
-8.5,2.120112881386024,2.120112881386024
-7.8,2.4655812704167634,2.4655812704167634
-7.2,2.761421960824444,2.761421960824444
-6.5,3.1042999230786856,3.1042999230786856
-5.9,3.411098686030073,3.411098686030073
-5.2,3.8526944885327232,3.8526944885327232
-4.5,4.4718406733059135,4.4718406733059135
-3.963,5.0880087932269555,5.0880087932269555
-3.27,6.027647232957979,6.027647232957979
-2.864,6.62403412365428,6.62403412365428
-2.577,7.053666605697094,7.053666605697094
-2.171,7.658566807385579,7.658566807385579
-1.884,8.077457879158057,8.077457879158057
-1.191,9.022164996238837,9.022164996238837
-0.497,9.831393001369724,9.831393001369724
-0.274,10.054610284251126,10.054610284251126
-0.051,10.256283583616808,10.256283583616808
0.196,10.453818028251952,10.453818028251952
0.419,10.60809714640294,10.60809714640294
0.642,10.740453576555709,10.740453576555709
0.873,10.85505379126049,10.85505379126049
1.112,10.951456737555686,10.951456737555686
1.335,11.023553689684832,11.023553689684832
1.679,11.106225015924847,11.106225015924847
2.028,11.162777754952746,11.162777754952746
2.275,11.19053559473385,11.19053559473385
3.003,11.235425325362865,11.235425325362865
