Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,13.414646181397485,0.040633358726781324,25.64,25.64
31,0.041666666666666664,8.611572141765112,0.02608470587343105,27.079790084783728,25.08669564552559
32,0.043010752688172046,2.894598224603975,0.008767823350670346,26.054266837072664,24.774793914944926
33,0.04435483870967742,1.9198697004912533,0.005815341917621301,25.32493635837973,24.894868539420404
34,0.0456989247311828,1.3896864817760943,0.004209401319139684,25.343494524428092,25.058247968357488
35,0.04704301075268817,-0.013034509100055474,-3.9481912301534464e-05,25.368744374341958,25.162270318918782
36,0.04838709677419355,-0.6271796645018369,-0.0018997456920768845,25.27499069747104,25.276927312664203
37,0.04973118279569892,-1.7259528150566568,-0.005227961955265615,25.293098328856757,25.386282173203533
38,0.051075268817204304,-2.3565663367164196,-0.0071381089018987326,25.24840731077544,25.504842472135245
39,0.05241935483870968,-1.6004347644589427,-0.0048477640799242695,25.269452108937195,25.619581303396732
40,0.053763440860215055,-1.1916923356996976,-0.0036096712141085534,25.432694807105737,25.67048099887738
41,0.05510752688172043,0.3783491543103862,0.0011460307415627048,25.504316198050883,25.681373075695806
42,0.056451612903225805,0.8905607895645269,0.002697534883966002,25.68346134229729,25.627247739243057
43,0.05779569892473118,1.1039204834738163,0.003343807686335901,25.69742036044102,25.565104402681072
44,0.05913978494623656,1.3578019797147147,0.00411282222248923,25.686100213008114,25.52208412587151
45,0.06048387096774194,1.5082196450590326,0.004568441764900739,25.68596822278501,25.48423143906455
46,0.06182795698924731,0.0,0.0,25.674574888873554,25.450489650463346
