Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,14.436745401139113,0.042943362155912726,25.64,25.64
31,0.041666666666666664,9.267711785541383,0.02756761946717725,27.210723359074265,25.065177598466718
32,0.043010752688172046,3.1151457177563446,0.009266273457693316,26.099348674774838,24.72200917203401
33,0.04435483870967742,2.0661499151419296,0.006145943674212563,25.30537467245222,24.84241106793513
34,0.0456989247311828,1.4955705617213817,0.004448705471847938,25.323846811371023,25.016781813822295
35,0.04704301075268817,0.056274250127453386,0.00016739268000701666,25.35020873435907,25.12794152736534
36,0.04838709677419355,-0.565051984062652,-0.0016807965586623753,25.25475311074503,25.246389800633402
37,0.04973118279569892,-1.720028953670684,-0.005116376594845795,25.2749217857777,25.358898115292583
38,0.051075268817204304,-2.367800616573999,-0.007043230074730531,25.225024492282667,25.48065003163582
39,0.05241935483870968,-1.609320736435389,-0.0047870653176658555,25.247071244600615,25.59896666380316
40,0.053763440860215055,-1.1983088782384703,-0.003564474589181286,25.414763342690545,25.653935759158063
41,0.05510752688172043,0.4087695892215593,0.0012159209032584332,25.4892371600988,25.667326228109935
42,0.056451612903225805,0.9584150941684495,0.002850889541996179,25.676148625537646,25.615398516364813
43,0.05779569892473118,1.1880312568447948,0.0035339029052354615,25.69499993090809,25.552563156894387
44,0.05913978494623656,1.461256690727113,0.004346635860717864,25.684907153943566,25.508345515169257
45,0.06048387096774194,1.6231350965415732,0.004828157340314204,25.686230281759975,25.469062699258895
46,0.06182795698924731,0.0,0.0,25.674945148549913,25.433719683355847
47,0.06317204301075269,0.0,0.0,25.47292230276055,25.47292230276055
