ln(t/ts),H: 84.07 m,H: 84.07 m bhw
-48.276237615359484,-1.7248222161763753,1.3956825911392022e-05
-46.90671678837107,-1.7199156328347238,1.692859789815219e-05
-45.53719596138265,-1.7150090494930723,1.9900369884912374e-05
-44.16767513439424,-1.7101024661514208,2.2872141871672546e-05
-42.798154307405824,-1.7051958828097693,2.584391385843271e-05
-41.4286334804174,-1.7002892994681178,2.8815685845192895e-05
-40.05911265342899,-1.6953827161264663,3.1787457831953066e-05
-38.68959182644058,-1.6904761327848148,3.475922981871324e-05
-37.320070999452156,-1.6855695494431633,3.773100180547342e-05
-35.95055017246374,-1.6806629661015118,4.070277379223359e-05
-34.58102934547533,-1.6757563827598603,4.367454577899375e-05
-33.21150851848691,-1.6708497994182088,4.6646317765753936e-05
-31.841987691498495,-1.6659432160765573,4.961808975251411e-05
-30.472466864510082,-1.6610366327349058,5.258986173927428e-05
-29.102946037521665,-1.6561300493932543,5.556163372603445e-05
-27.73342521053325,-1.6512234660516028,5.853340571279462e-05
-26.363904383544835,-1.6463168827099512,6.150517769955479e-05
-24.994383556556418,-1.6414102993682997,6.447694968631498e-05
-23.624862729568004,-1.6365037160266482,6.744872167307515e-05
-22.255341902579588,-1.6315971326849967,7.042049365983532e-05
-20.885821075591174,-1.6266905493433452,7.339226564659549e-05
-19.516300248602757,-1.6217839660016937,7.636403763335568e-05
-18.14677942161434,-1.6168773826600422,7.933580962011585e-05
-16.777258594625927,-1.6119707993183907,8.230758160687602e-05
-15.407737767637506,-1.545014533302697,0.0002113722811350568
-14.038216940649093,-1.2008496073552177,0.004318719519828278
-12.66869611366068,-0.5051112646524,0.09636849449945643
-11.299175286672266,0.4390429211647719,0.5409923998164327
-9.929654459683846,1.3246159744183963,1.2442843793749072
-8.560133632695432,2.0842752333811765,1.9628772066907128
-8.5,2.138945022873462,2.138945022873462
-7.8,2.4845004010367977,2.4845004010367977
-7.2,2.780396712927552,2.780396712927552
-6.5,3.1236365003450426,3.1236365003450426
-5.9,3.432249355976771,3.432249355976771
-5.2,3.880370240007692,3.880370240007692
-4.5,4.510767916461652,4.510767916461652
-3.963,5.136153342102233,5.136153342102233
-3.27,6.085127339128691,6.085127339128691
-2.864,6.685156720686919,6.685156720686919
-2.577,7.116612791277437,7.116612791277437
-2.171,7.723202973195064,7.723202973195064
-1.884,8.142805540911098,8.142805540911098
-1.191,9.08811557042207,9.08811557042207
-0.497,9.897112289323873,9.897112289323873
-0.274,10.120171998696483,10.120171998696483
-0.051,10.321673623413497,10.321673623413497
0.196,10.51901014007868,10.51901014007868
0.419,10.673113329120016,10.673113329120016
0.642,10.805303629599129,10.805303629599129
0.873,10.919747583047503,10.919747583047503
1.112,11.016009550731052,11.016009550731052
1.335,11.087994999420596,11.087994999420596
1.679,11.170532092800917,11.170532092800917
2.028,11.226988033923686,11.226988033923686
2.275,11.254696474782964,11.254696474782964
3.003,11.299503314950185,11.299503314950185
