Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,0.0,0.0,25.64,0.0
2,0.002688172043010753,0.0,0.0,25.64,25.64
3,0.004032258064516129,0.0,0.0,25.64,25.64
4,0.005376344086021506,0.0,0.0,25.64,25.64
5,0.006720430107526882,0.0,0.0,25.64,25.64
6,0.008064516129032258,0.0,0.0,25.64,25.64
7,0.009408602150537635,0.0,0.0,25.64,25.64
8,0.010752688172043012,0.0,0.0,25.64,25.64
9,0.012096774193548387,0.0,0.0,25.64,25.64
10,0.013440860215053764,0.0,0.0,25.64,25.64
11,0.01478494623655914,0.0,0.0,25.64,25.64
12,0.016129032258064516,0.0,0.0,25.64,25.64
13,0.01747311827956989,0.0,0.0,25.64,25.64
14,0.01881720430107527,0.0,0.0,25.64,25.64
15,0.020161290322580645,0.0,0.0,25.64,25.64
16,0.021505376344086023,0.0,0.0,25.64,25.64
17,0.0228494623655914,0.0,0.0,25.64,25.64
18,0.024193548387096774,0.0,0.0,25.64,25.64
19,0.025537634408602152,0.0,0.0,25.64,25.64
20,0.026881720430107527,0.0,0.0,25.64,25.64
21,0.028225806451612902,0.0,0.0,25.64,25.64
22,0.02956989247311828,0.0,0.0,25.64,25.64
23,0.030913978494623656,0.0,0.0,25.64,25.64
24,0.03225806451612903,0.0,0.0,25.64,25.64
25,0.033602150537634407,0.0,0.0,25.64,25.64
26,0.03494623655913978,0.0,0.0,25.64,25.64
27,0.036290322580645164,0.0,0.0,25.64,25.64
28,0.03763440860215054,0.0,0.0,25.64,25.64
29,0.038978494623655914,0.0,0.0,25.64,25.64
30,0.04032258064516129,12.787757101093835,0.03802936233956143,25.64,25.64
31,0.041666666666666664,8.20913882619948,0.02441306262304577,27.031559348285224,25.13107434341514
32,0.043010752688172046,2.759328759100896,0.008205935752786895,26.047038084007074,24.827016064605843
33,0.04435483870967742,1.8301509457384966,0.005442664644109243,25.343647703629934,24.93356305088583
34,0.0456989247311828,1.3247440845864376,0.0039396410489857476,25.35999251142356,25.087999979697468
35,0.04704301075268817,-0.06420454538817306,-0.00019093715192672824,25.383333909643834,25.186453702415662
36,0.04838709677419355,-0.6788251784087991,-0.002018750314917811,25.286345952748835,25.295887874353234
37,0.04973118279569892,-1.7465161379731655,-0.005193944060541443,25.301544399936496,25.402429728168435
38,0.051075268817204304,-2.370411349518074,-0.007049338784900819,25.257450184405286,25.517013116727302
39,0.05241935483870968,-1.6089121173021896,-0.004784725061454462,25.27635056154338,25.62863526553949
40,0.053763440860215055,-1.1980046182335842,-0.0035627320218160775,25.439828998702893,25.678941559952985
41,0.05510752688172043,0.35949500288172254,0.0010690980142781482,25.51108294751584,25.68912744701007
42,0.056451612903225805,0.8489433792522977,0.0025246628568348227,25.690248164283872,25.636820901246164
43,0.05779569892473118,1.0523324141907868,0.0031295191458949197,25.702043883690664,25.57587600690837
44,0.05913978494623656,1.294349599175733,0.0038492512417920115,25.69025475405658,25.53385969920077
45,0.06048387096774194,1.4377379928855978,0.0042756723206858,25.689699144829987,25.497336091258795
46,0.06182795698924731,0.0,0.0,25.678500568267346,25.464827484331668
47,0.06317204301075269,0.0,0.0,25.498622613562485,25.498622613562485
