ln(t/ts),H: 84.84 m,H: 84.84 m bhw
-48.29457963300845,-1.7250865205235657,1.3949193138099235e-05
-46.92505880602004,-1.7201797404857535,1.6919497443553924e-05
-45.55553797903162,-1.7152729604479413,1.9889801749008626e-05
-44.186017152043206,-1.7103661804101291,2.2860106054463315e-05
-42.81649632505479,-1.705459400372317,2.5830410359918004e-05
-41.44697549806638,-1.700552620334505,2.8800714665372693e-05
-40.07745467107796,-1.6956458402966927,3.1771018970827396e-05
-38.707933844089546,-1.6907390602588805,3.4741323276282085e-05
-37.33841301710113,-1.6858322802210683,3.7711627581736774e-05
-35.96889219011271,-1.6809255001832561,4.0681931887191476e-05
-34.5993713631243,-1.676018720145444,4.3652236192646165e-05
-33.229850536135885,-1.6711119401076318,4.6622540498100854e-05
-31.860329709147464,-1.6662051600698196,4.959284480355556e-05
-30.49080888215905,-1.6612983800320074,5.2563149109010246e-05
-29.121288055170634,-1.6563915999941952,5.553345341446494e-05
-27.75176722818222,-1.651484819956383,5.850375771991963e-05
-26.382246401193804,-1.646578039918571,6.147406202537433e-05
-25.012725574205387,-1.6416712598807588,6.444436633082902e-05
-23.643204747216974,-1.6367644798429466,6.74146706362837e-05
-22.273683920228557,-1.6318576998051344,7.038497494173841e-05
-20.904163093240143,-1.6269509197673222,7.33552792471931e-05
-19.534642266251726,-1.62204413972951,7.632558355264778e-05
-18.16512143926331,-1.6171373596916978,7.929588785810249e-05
-16.795600612274896,-1.6122305796538856,8.226619216355718e-05
-15.426079785286475,-1.5452709368753266,0.00021127314559335123
-14.056558958298062,-1.2010833064674526,0.00431724510653215
-12.687038131309649,-0.5052788022884807,0.09635425880935965
-11.317517304321235,0.43897554922647325,0.5409724905620876
-9.947996477332815,1.3246011775715218,1.2442775610935517
-8.578475650344403,2.084272061112123,1.9628756273117556
-8.5,2.1483771787953136,2.1483771787953136
-7.8,2.4939755839540125,2.4939755839540125
-7.2,2.789901515850319,2.789901515850319
-6.5,3.133346489681927,3.133346489681927
-5.9,3.4429245004180933,3.4429245004180933
-5.2,3.8943820447571356,3.8943820447571356
-4.5,4.53042659563618,4.53042659563618
-3.963,5.160400980300024,5.160400980300024
-3.27,6.114003437492542,6.114003437492542
-2.864,6.715834205345094,6.715834205345094
-2.577,7.148190972494386,7.148190972494386
-2.171,7.755614706310934,7.755614706310934
-1.884,8.17556753526299,8.17556753526299
-1.191,9.121172527140347,9.121172527140347
-0.497,9.930052688437103,9.930052688437103
-0.274,10.153033915971479,10.153033915971479
-0.051,10.354450172493976,10.354450172493976
0.196,10.551688357094084,10.551688357094084
0.419,10.70570420103039,10.70570420103039
0.642,10.837812043375115,10.837812043375115
0.873,10.952178459156258,10.952178459156258
1.112,11.04837048747532,11.04837048747532
1.335,11.120300623365273,11.120300623365273
1.679,11.202771135776938,11.202771135776938
2.028,11.259179064254175,11.259179064254175
2.275,11.286863001961253,11.286863001961253
3.003,11.331628723266224,11.331628723266224
