ln(t/ts),H: 92.78 m,H: 92.78 m bhw
-48.47355431416184,-1.7279357493640954,1.3867211017857714e-05
-47.09861414823518,-1.7230074259662351,1.683343703363065e-05
-45.723673982308526,-1.7180791025683748,1.9799663049403568e-05
-44.348733816381866,-1.7131507791705145,2.2765889065176503e-05
-42.973793650455214,-1.7082224557726544,2.5732115080949422e-05
-41.598853484528554,-1.703294132374794,2.8698341096722355e-05
-40.2239133186019,-1.6983658089769338,3.166456711249528e-05
-38.84897315267524,-1.6934374855790735,3.463079312826821e-05
-37.47403298674859,-1.6885091621812132,3.759701914404113e-05
-36.09909282082193,-1.683580838783353,4.0563245159814065e-05
-34.72415265489528,-1.6786525153854928,4.352947117558699e-05
-33.34921248896862,-1.6737241919876324,4.649569719135992e-05
-31.974272323041962,-1.6687958685897721,4.946192320713285e-05
-30.599332157115306,-1.6638675451919118,5.2428149222905774e-05
-29.22439199118865,-1.6589392217940515,5.53943752386787e-05
-27.849451825261994,-1.6540108983961914,5.836060125445163e-05
-26.474511659335338,-1.649082574998331,6.132682727022455e-05
-25.099571493408682,-1.6441542516004708,6.429305328599748e-05
-23.724631327482026,-1.6392259282026105,6.72592793017704e-05
-22.34969116155537,-1.6342976048047502,7.022550531754333e-05
-20.974750995628714,-1.62936928140689,7.319173133331626e-05
-19.599810829702058,-1.6244409580090298,7.615795734908919e-05
-18.224870663775402,-1.6195126346111695,7.912418336486211e-05
-16.849930497848746,-1.6145843112133091,8.209040938063505e-05
-15.474990331922086,-1.5294112247945266,0.00024717147201534534
-14.100050165995434,-1.151053911808764,0.006065637706193913
-12.725110000068774,-0.4166801255293771,0.12225288915509955
-11.350169834142122,0.5401093984487682,0.6096693379689815
-9.975229668215462,1.4133357143891745,1.3248967856853038
-8.600289502288813,2.167102908316654,2.0438601918023687
-8.5,2.241239098219748,2.241239098219748
-7.8,2.5872433103766626,2.5872433103766626
-7.2,2.8836623541584356,2.8836623541584356
-6.5,3.2285017771116604,3.2285017771116604
-5.9,3.5225932273546787,3.5225932273546787
-5.2,3.862859577012392,3.862859577012392
-4.5,4.19836246841759,4.19836246841759
-3.963,4.450962127104902,4.450962127104902
-3.27,4.767947829006796,4.767947829006796
-2.864,4.9474810689709114,4.9474810689709114
-2.577,5.070922245661662,5.070922245661662
-2.171,5.23951594033937,5.23951594033937
-1.884,5.353817392426523,5.353817392426523
-1.191,5.608573977561487,5.608573977561487
-0.497,5.825614987011217,5.825614987011217
-0.274,5.885362290144355,5.885362290144355
-0.051,5.939488574164919,5.939488574164919
0.196,5.992587510526564,5.992587510526564
0.419,6.034179400867242,6.034179400867242
0.642,6.069863478021859,6.069863478021859
0.873,6.100825584911021,6.100825584911021
1.112,6.126927692146738,6.126927692146738
1.335,6.14645306332879,6.14645306332879
1.679,6.168880786529152,6.168880786529152
2.028,6.184213309809148,6.184213309809148
2.275,6.191727693129856,6.191727693129856
3.003,6.203850350622699,6.203850350622699
