ln(t/ts),H: 95.91 m,H: 95.91 m bhw
-48.539949034349306,-1.729128822258816,1.3833044371465465e-05
-47.162719520842224,-1.7241914020649722,1.679759716492092e-05
-45.78549000733515,-1.7192539818711283,1.9762149958376362e-05
-44.40826049382807,-1.7143165616772846,2.272670275183182e-05
-43.03103098032099,-1.709379141483441,2.569125554528726e-05
-41.65380146681391,-1.704441721289597,2.865580833874272e-05
-40.27657195330683,-1.6995043010957533,3.162036113219817e-05
-38.89934243979975,-1.6945668809019094,3.4584913925653614e-05
-37.52211292629267,-1.6896294607080657,3.754946671910907e-05
-36.144883412785596,-1.684692040514222,4.051401951256451e-05
-34.767653899278514,-1.6797546203203781,4.347857230601997e-05
-33.39042438577144,-1.6748172001265345,4.644312509947541e-05
-32.01319487226436,-1.6698797799326908,4.9407677892930866e-05
-30.63596535875728,-1.6649423597388469,5.237223068638632e-05
-29.258735845250197,-1.6600049395450032,5.5336783479841775e-05
-27.881506331743118,-1.6550675193511593,5.830133627329722e-05
-26.50427681823604,-1.6501300991573156,6.126588906675266e-05
-25.12704730472896,-1.6451926789634719,6.423044186020812e-05
-23.749817791221883,-1.640255258769628,6.719499465366357e-05
-22.3725882777148,-1.6353178385757843,7.015954744711903e-05
-20.995358764207722,-1.6303804183819404,7.312410024057447e-05
-19.618129250700644,-1.6254429981880967,7.608865303402992e-05
-18.240899737193565,-1.620505577994253,7.905320582748536e-05
-16.863670223686487,-1.615568157800409,8.201775862094082e-05
-15.486440710179409,-1.5226951656111254,0.00026223628902130233
-14.109211196672327,-1.1283067553650217,0.007110576313894536
-12.731981683165252,-0.378361621618982,0.13454671747911387
-11.35475216965817,0.5824785422738715,0.6394887738763466
-9.977522656151088,1.450381414260976,1.358906868200387
-8.600293142644011,2.2019306203595765,2.0779955341429557
-8.5,2.2759283829706294,2.2759283829706294
-7.8,2.6220696391299025,2.6220696391299025
-7.2,2.9185500408717027,2.9185500408717027
-6.5,3.26342581168168,3.26342581168168
-5.9,3.5575255520103544,3.5575255520103544
-5.2,3.8977678716832007,3.8977678716832007
-4.5,4.233196902473177,4.233196902473177
-3.963,4.485702184363994,4.485702184363994
-3.27,4.8025190556104,4.8025190556104
-2.864,4.981932776042944,4.981932776042944
-2.577,5.105281795357348,5.105281795357348
-2.171,5.2737349477634226,5.2737349477634226
-1.884,5.387931770281128,5.387931770281128
-1.191,5.6424211165989515,5.6424211165989515
-0.497,5.859184993686828,5.859184993686828
-0.274,5.918843181944343,5.918843181944343
-0.051,5.9728817443986,5.9728817443986
0.196,6.025886551989458,6.025886551989458
0.419,6.0673978369273645,6.0673978369273645
0.642,6.103007107409901,6.103007107409901
0.873,6.133899220158607,6.133899220158607
1.112,6.159938029571019,6.159938029571019
1.335,6.1794131378719825,6.1794131378719825
1.679,6.201779562159846,6.201779562159846
2.028,6.217067597077454,6.217067597077454
2.275,6.224559257411599,6.224559257411599
3.003,6.236643725854544,6.236643725854544
